"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"1","3.14130825","267","3.14111925","267","3.14113325","267","3.141475","267","3.142276","267","3.141409","267","3.141556","267","3.1411335","267","3.14220225","267","3.14131225","267","3.1415025","267","3.14153075","267","3.14098375","267","3.14071025","267","278"
"2","3.141653","265","3.14120375","265","3.14176425","265","3.14141275","265","3.14218625","265","3.1411605","265","3.1412785","265","3.141227","265","3.1419735","265","3.1418675","265","3.14234025","265","3.14190525","265","3.141231","265","3.14145775","265","265"
"3","3.1415245","269","3.1416935","269","3.1419715","269","3.1405815","269","3.14139225","269","3.14118","269","3.14173125","269","3.14207575","269","3.1416665","269","3.14156125","269","3.14161325","269","3.141429","269","3.14185775","269","3.1417175","269","269"
"4","3.14157975","274","3.14150075","274","3.141796","274","3.14135775","274","3.14157325","274","3.1413285","274","3.14224325","274","3.14169775","274","3.14195975","274","3.14141975","274","3.14200375","274","3.14166625","274","3.141713","274","3.14203225","274","275"
"5","3.14183125","268","3.1408805","268","3.14158875","268","3.141307","268","3.14132","268","3.141722","268","3.14152375","268","3.141347","268","3.14216","268","3.141377","268","3.1416155","268","3.14096075","268","3.14179475","268","3.142105","268","268"
"6","3.1421925","260","3.14236325","260","3.14122525","260","3.14210225","260","3.141667","260","3.1419135","260","3.1404695","260","3.141112","260","3.14180525","260","3.141394","260","3.14163125","260","3.1409725","260","3.141325","260","3.1416075","260","264"
"7","3.141617","271","3.14058225","271","3.14195775","271","3.14160275","271","3.14152125","271","3.14215675","271","3.14218375","271","3.14140175","271","3.14162925","271","3.1418415","271","3.14107225","271","3.141061","271","3.14140875","271","3.141342","271","271"
"8","3.14180975","270","3.14151475","270","3.141056","270","3.14102625","270","3.14173825","270","3.14142675","270","3.141536","270","3.140882","270","3.1421085","270","3.14184875","270","3.1417365","270","3.14171025","270","3.14117125","270","3.14188875","270","270"
"9","3.1413195","265","3.141733","265","3.141178","265","3.14113725","265","3.140912","265","3.1413635","265","3.14169725","265","3.14204325","265","3.1410335","265","3.141047","265","3.14165375","265","3.1423415","265","3.141796","265","3.141252","265","265"
"10","3.1422465","267","3.14116525","267","3.14132725","267","3.14138825","267","3.14242125","267","3.14157875","267","3.1421445","267","3.1415265","267","3.1411375","267","3.1421545","267","3.1411275","267","3.141698","267","3.14213425","267","3.141513","267","267"
