"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Total Runtime (ms)"
"1","3.14206375","80","3.14178775","80","3.141898","80","3.1405825","80","91"
"2","3.14204325","79","3.141443","79","3.141351","79","3.14119875","79","79"
"3","3.14160925","82","3.1411765","82","3.14163875","82","3.14187025","82","82"
"4","3.141133","84","3.142017","84","3.141283","84","3.14097875","84","84"
"5","3.14200525","81","3.1417695","81","3.142091","81","3.14092675","81","81"
"6","3.14106325","77","3.141121","77","3.142099","77","3.140991","77","78"
"7","3.14134175","88","3.14191575","88","3.1413335","88","3.142233","88","88"
"8","3.14130325","89","3.142086","89","3.14176675","89","3.1417345","89","89"
"9","3.140947","89","3.140834","89","3.14162025","89","3.1423025","89","89"
"10","3.14245775","81","3.1418655","81","3.1411435","81","3.141656","81","81"
"11","3.141572","82","3.1419185","82","3.14210425","82","3.1417765","82","82"
"12","3.140583","94","3.14101825","94","3.14192575","94","3.14145425","94","94"
"13","3.14148375","83","3.14164125","83","3.1417","83","3.14094975","83","83"
"14","3.1421835","88","3.1412905","88","3.141586","88","3.14234825","88","88"
"15","3.141368","81","3.141423","81","3.1416245","81","3.14175275","81","81"
"16","3.1410355","87","3.1410715","87","3.14127525","87","3.14099575","87","87"
"17","3.14149375","95","3.14139825","95","3.14161525","95","3.14096175","95","95"
"18","3.14148075","87","3.14138075","87","3.141544","87","3.14107675","87","87"
"19","3.1420875","89","3.140932","89","3.1415565","89","3.1415795","89","89"
"20","3.14116425","95","3.14255225","95","3.14184875","95","3.141673","95","95"
"21","3.141387","100","3.14228775","100","3.140946","100","3.1415985","100","100"
"22","3.1420475","92","3.14173875","92","3.1418295","92","3.14161375","92","92"
"23","3.141726","82","3.14129625","82","3.14157425","82","3.14216475","82","82"
"24","3.14174825","85","3.1418825","85","3.14123475","85","3.14142225","85","85"
"25","3.1420465","85","3.14140675","85","3.14209075","85","3.141868","85","85"
"26","3.14123125","80","3.1422505","80","3.14097275","80","3.1416265","80","81"
"27","3.14176375","80","3.14224175","80","3.14194725","80","3.14071275","80","80"
"28","3.14085675","94","3.141892","94","3.141282","94","3.1426915","94","94"
"29","3.141909","88","3.1419865","88","3.14135675","88","3.14196075","88","88"
"30","3.14124225","83","3.141523","83","3.14153325","83","3.14227525","83","83"
"31","3.142502","86","3.1423515","86","3.1413405","86","3.141669","86","86"
"32","3.14120725","83","3.141637","83","3.14225575","83","3.1412705","83","83"
"33","3.14179775","87","3.1411565","87","3.141223","87","3.141207","87","87"
"34","3.1414555","82","3.141771","82","3.14133925","82","3.14167125","82","82"
"35","3.141165","81","3.14147725","81","3.141187","81","3.14187075","81","81"
