"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Total Runtime (ms)"
"1","3.1410385","100","3.141078","100","3.1414595","100","3.141577","100","3.1413985","100","110"
"2","3.1417635","109","3.14156325","109","3.14138","109","3.142441","109","3.14102175","109","109"
"3","3.1412335","103","3.142016","103","3.140866","103","3.14108","103","3.14155475","103","103"
"4","3.14147425","98","3.14143175","98","3.14121325","98","3.141155","98","3.14110225","98","98"
"5","3.14126025","105","3.14182575","105","3.14126575","105","3.1414525","105","3.14093175","105","105"
"6","3.14133125","122","3.14100375","122","3.14128775","122","3.14135675","122","3.14156875","122","123"
"7","3.14159575","98","3.141695","98","3.141627","98","3.1420545","98","3.14089825","98","98"
"8","3.1414835","96","3.1420025","96","3.142203","96","3.14149125","96","3.1403925","96","103"
"9","3.141433","102","3.141701","102","3.14194175","102","3.14161375","102","3.14103525","102","102"
"10","3.14129025","108","3.1421015","108","3.14198175","108","3.141423","108","3.14128175","108","108"
"11","3.141615","100","3.14184875","100","3.141879","100","3.14115825","100","3.142121","100","100"
"12","3.14151525","100","3.14139625","100","3.14230675","100","3.14147625","100","3.14194725","100","100"
"13","3.1416355","100","3.1418795","100","3.141914","100","3.14203775","100","3.142198","100","101"
"14","3.142462","103","3.141346","103","3.14148575","103","3.141253","103","3.14142475","103","103"
"15","3.14181325","110","3.14111575","110","3.1419155","110","3.1412635","110","3.1416305","110","110"
"16","3.14198075","102","3.14157225","102","3.14126","102","3.14195875","102","3.1407325","102","102"
"17","3.14062725","97","3.14166275","97","3.141784","97","3.141505","97","3.141324","97","97"
"18","3.1422425","102","3.14146975","102","3.141578","102","3.1415175","102","3.14153925","102","102"
"19","3.141548","103","3.1422445","103","3.1411465","103","3.1405235","103","3.1415845","103","103"
"20","3.14133275","98","3.14240475","98","3.1424965","98","3.14150625","98","3.14155075","98","99"
"21","3.141718","105","3.1411175","105","3.1415365","105","3.141842","105","3.14106975","105","105"
"22","3.14131625","105","3.141269","105","3.1414265","105","3.14186075","105","3.1414465","105","105"
"23","3.14201375","101","3.14267025","101","3.14071","101","3.1417915","101","3.1416345","101","101"
"24","3.14232675","112","3.14183725","112","3.14105375","112","3.141406","112","3.14238525","112","112"
"25","3.1413695","101","3.14150325","101","3.14140825","101","3.14255","101","3.14230675","101","101"
"26","3.141688","98","3.140746","98","3.1418785","98","3.1409665","98","3.1423815","98","99"
"27","3.14203625","105","3.141488","105","3.141082","105","3.1418475","105","3.14088275","105","105"
"28","3.14173875","102","3.1412515","102","3.141378","102","3.14072425","102","3.14200425","102","102"
"29","3.14170275","100","3.14203925","100","3.14147475","100","3.14136025","100","3.141617","100","101"
"30","3.14150475","106","3.14148825","106","3.1412045","106","3.1414905","106","3.14166625","106","106"
"31","3.14204275","107","3.14134175","107","3.141506","107","3.141426","107","3.14140025","107","107"
"32","3.14186275","102","3.141479","102","3.14121925","102","3.1413035","102","3.1409665","102","102"
"33","3.141677","106","3.141032","106","3.1419415","106","3.14153525","106","3.14174575","106","106"
"34","3.1420465","103","3.141495","103","3.14140225","103","3.14171775","103","3.1408695","103","103"
"35","3.14162375","100","3.14168475","100","3.14165325","100","3.14159425","100","3.1415445","100","101"
"36","3.14146325","101","3.14172075","101","3.14139725","101","3.14222125","101","3.142297","101","101"
"37","3.141837","98","3.1420945","98","3.14155575","98","3.140308","98","3.14180875","98","99"
"38","3.1409545","105","3.141811","105","3.14175275","105","3.14232375","105","3.14146925","105","105"
"39","3.141403","100","3.1411555","100","3.1417355","100","3.14202575","100","3.1415395","100","100"
"40","3.14118625","104","3.14177275","104","3.14181075","104","3.1424365","104","3.14164975","104","104"
"41","3.141467","100","3.1411455","100","3.14128325","100","3.14132925","100","3.14107525","100","100"
"42","3.14146025","100","3.1417575","100","3.142075","100","3.14174675","100","3.14187675","100","100"
"43","3.141646","108","3.141709","108","3.141897","108","3.1417195","108","3.14155225","108","109"
"44","3.1415085","106","3.14179875","106","3.14233725","106","3.141578","106","3.14092825","106","106"
"45","3.1419275","101","3.14168475","101","3.141265","101","3.14142025","101","3.14130775","101","101"
"46","3.14147925","102","3.14192","102","3.14205125","102","3.14166025","102","3.141335","102","102"
"47","3.14115775","98","3.14148875","98","3.14163825","98","3.141355","98","3.14159175","98","98"
"48","3.140793","104","3.14189025","104","3.141501","104","3.14156025","104","3.1417105","104","104"
"49","3.14123925","99","3.1421715","99","3.1418245","99","3.143022","99","3.14143775","99","99"
"50","3.14133775","102","3.142154","102","3.14099025","102","3.14158375","102","3.1423985","102","102"
"51","3.14100825","99","3.1414435","99","3.140999","99","3.1418045","99","3.141719","99","99"
"52","3.14073425","117","3.1411085","117","3.14130925","117","3.14099725","117","3.14162425","117","117"
"53","3.1411825","106","3.1421545","106","3.1421365","106","3.14160525","106","3.1412335","106","106"
"54","3.140826","110","3.14101675","110","3.14127025","110","3.14175125","110","3.14177625","110","110"
"55","3.141472","102","3.14155575","102","3.14200625","102","3.1417905","102","3.1420825","102","102"
