"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Total Runtime (ms)"
"1","3.14145975","241","3.1406915","241","3.14200625","241","3.1410585","241","3.14176","241","3.1421945","241","3.14179075","241","3.141614","241","3.141123","241","3.141694","241","3.1408945","241","3.1416285","241","3.1428395","241","266"
"2","3.141518","250","3.14213225","250","3.141447","250","3.141154","250","3.1414465","250","3.14185575","250","3.14056425","250","3.1413265","250","3.1414915","250","3.141036","250","3.1415185","250","3.14137725","250","3.14245925","250","250"
"3","3.14093525","252","3.1414875","252","3.14189125","252","3.141274","252","3.1422345","252","3.14197675","252","3.14171025","252","3.1411755","252","3.14150425","252","3.1410445","252","3.14119275","252","3.14111625","252","3.142118","252","253"
"4","3.1419345","251","3.1410385","251","3.1412815","251","3.14088325","251","3.141967","251","3.141828","251","3.14112625","251","3.142247","251","3.14183625","251","3.1413055","251","3.14223875","251","3.1420675","251","3.1416105","251","251"
"5","3.14110725","257","3.14117275","257","3.14078925","257","3.14184125","257","3.14161425","257","3.141795","257","3.14200975","257","3.14172125","257","3.14135225","257","3.1415505","257","3.1412165","257","3.142201","257","3.14221125","257","257"
"6","3.14194525","247","3.14196225","247","3.14196425","247","3.14108925","247","3.1410625","247","3.14148575","247","3.14217","247","3.14071475","247","3.14163425","247","3.14171375","247","3.1410305","247","3.141408","247","3.14096425","247","248"
"7","3.142473","253","3.14131325","253","3.141459","253","3.14143325","253","3.14157925","253","3.1418145","253","3.14131425","253","3.14080375","253","3.14135625","253","3.14172275","253","3.14134","253","3.1416155","253","3.14200925","253","253"
"8","3.14192325","246","3.14159575","246","3.14167325","246","3.141447","246","3.14219375","246","3.14192225","246","3.142462","246","3.14114775","246","3.1418635","246","3.141346","246","3.14109325","246","3.14145125","246","3.1425","246","246"
"9","3.14209975","265","3.14142025","265","3.14137","265","3.141897","265","3.14168025","265","3.1414575","265","3.142091","265","3.1417045","265","3.14121975","265","3.14157975","265","3.1414815","265","3.14126575","265","3.141286","265","266"
"10","3.14136975","245","3.14056375","245","3.14144075","245","3.14133975","245","3.1419905","245","3.140948","245","3.1414855","245","3.14194775","245","3.1419485","245","3.141732","245","3.1415225","245","3.14208275","245","3.14131825","245","245"
"11","3.141765","251","3.14123","251","3.1409815","251","3.141608","251","3.1414135","251","3.14095675","251","3.1415425","251","3.14142025","251","3.14206775","251","3.140749","251","3.1417215","251","3.140715","251","3.14132025","251","251"
"12","3.14176675","243","3.141354","243","3.14046275","243","3.1416145","243","3.141759","243","3.14220375","243","3.1413315","243","3.141106","243","3.1421835","243","3.140925","243","3.141731","243","3.14153975","243","3.1415255","243","244"
"13","3.1406205","253","3.1412155","253","3.14200175","253","3.14125175","253","3.1415515","253","3.141948","253","3.141307","253","3.14139925","253","3.14171925","253","3.14211875","253","3.1417155","253","3.14180675","253","3.14191725","253","254"
"14","3.141804","258","3.1406655","258","3.1418385","258","3.1414895","258","3.14114225","258","3.14153775","258","3.14137975","258","3.14199725","258","3.141958","258","3.14192175","258","3.1422295","258","3.141877","258","3.141553","258","258"
"15","3.14070725","268","3.14158175","268","3.1420795","268","3.1413235","268","3.14121625","268","3.14173525","268","3.141245","268","3.14177075","268","3.141522","268","3.14164825","268","3.14113575","268","3.1415275","268","3.14231825","268","268"
"16","3.1416615","247","3.14218575","247","3.141771","247","3.1415535","247","3.14182875","247","3.141414","247","3.1407235","247","3.14134575","247","3.141707","247","3.1411775","247","3.1416305","247","3.141736","247","3.14086475","247","247"
"17","3.1422355","245","3.1416645","245","3.1417185","245","3.141684","245","3.14156675","245","3.141765","245","3.14198475","245","3.14216175","245","3.1415645","245","3.1406985","245","3.14134725","245","3.141491","245","3.142098","245","245"
"18","3.14170975","245","3.1408795","245","3.14181025","245","3.14118975","245","3.1414955","245","3.1417195","245","3.1413075","245","3.141485","245","3.14149725","245","3.1423385","245","3.1410725","245","3.1415775","245","3.14217","245","248"
"19","3.1415275","245","3.141782","245","3.14142475","245","3.14180725","245","3.1416615","245","3.1422455","245","3.141488","245","3.1412075","245","3.14180025","245","3.140955","245","3.1413455","245","3.14133325","245","3.14246975","245","253"
"20","3.14149075","248","3.1414405","248","3.14112275","248","3.14174425","248","3.14264275","248","3.14157075","248","3.14209625","248","3.141459","248","3.1419605","248","3.14236575","248","3.14250575","248","3.14116525","248","3.14138525","248","248"
