"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Total Runtime (ms)"
"1","3.14189975","65","3.14206025","65","3.1420775","65","75"
"2","3.14116825","66","3.1418325","66","3.142107","66","66"
"3","3.14123125","72","3.14167475","72","3.14165825","72","72"
"4","3.1411585","69","3.14134175","69","3.141744","69","69"
"5","3.141524","63","3.1416885","63","3.14158875","63","63"
"6","3.14092625","65","3.14093025","65","3.14217125","65","66"
"7","3.141268","66","3.14206475","66","3.14140925","66","67"
"8","3.1425235","65","3.1415425","65","3.1414515","65","65"
"9","3.1416325","69","3.14167875","69","3.14179475","69","69"
"10","3.14133075","71","3.141494","71","3.1414","71","71"
"11","3.141229","67","3.1414625","67","3.14125775","67","67"
"12","3.14219275","68","3.1414435","68","3.14200075","68","68"
"13","3.14124325","78","3.141939","78","3.14125825","78","78"
"14","3.14133025","71","3.141705","71","3.1413405","71","71"
"15","3.14231675","76","3.14206925","76","3.1419065","76","76"
"16","3.14187275","73","3.14179725","73","3.14170575","73","74"
"17","3.141708","83","3.14189675","83","3.1415105","83","83"
"18","3.1416515","71","3.14236875","71","3.1420335","71","71"
"19","3.1420395","71","3.14192075","71","3.1416585","71","71"
"20","3.14128375","63","3.140962","63","3.1414685","63","63"
"21","3.14142875","66","3.1418365","66","3.14197025","66","66"
"22","3.14161675","67","3.141359","67","3.142136","67","68"
"23","3.14198675","75","3.141893","75","3.1416425","75","75"
"24","3.14244625","68","3.14166475","68","3.141341","68","68"
"25","3.14096475","59","3.141615","59","3.14108","59","59"
"26","3.1414455","65","3.14157225","65","3.14114975","65","65"
"27","3.1420875","67","3.141474","67","3.140956","67","67"
"28","3.1415575","60","3.14154775","60","3.1416925","60","60"
"29","3.14145375","65","3.1409465","65","3.14104175","65","65"
"30","3.14130825","65","3.1414565","65","3.14120075","65","65"
"31","3.141998","63","3.142363","63","3.141578","63","63"
"32","3.1418805","67","3.14225375","67","3.14178075","67","67"
"33","3.14139725","70","3.14146875","70","3.14231825","70","70"
"34","3.1414885","68","3.1413985","68","3.141476","68","68"
"35","3.14092875","68","3.1419085","68","3.14154925","68","68"
"36","3.14140825","72","3.14160425","72","3.14169725","72","72"
"37","3.141852","70","3.14175825","70","3.14136175","70","70"
"38","3.141708","63","3.14116475","63","3.1415135","63","63"
"39","3.141107","67","3.1410125","67","3.1418255","67","67"
"40","3.1408775","69","3.14181","69","3.142398","69","69"
"41","3.141324","62","3.1419515","62","3.1416985","62","62"
"42","3.14192525","63","3.14166675","63","3.140993","63","63"
"43","3.14183825","84","3.141514","84","3.14179675","84","84"
