"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"1","3.141931","288","3.14130925","288","3.14172175","288","3.14244725","288","3.14157975","288","3.14093725","288","3.141591","288","3.140478","288","3.14089175","288","3.14158225","288","3.14177625","288","3.14184125","288","3.1426745","288","3.141439","288","3.14152975","288","299"
"2","3.1415475","285","3.14103925","285","3.14183525","285","3.14175175","285","3.14222825","285","3.14103725","285","3.14154075","285","3.14147325","285","3.14183725","285","3.14146925","285","3.14196775","285","3.14124925","285","3.14032175","285","3.14205075","285","3.14160925","285","286"
"3","3.141357","276","3.14202325","276","3.141137","276","3.14199525","276","3.1418535","276","3.14159425","276","3.14242975","276","3.1413095","276","3.14179075","276","3.14215525","276","3.1414055","276","3.141569","276","3.1412915","276","3.141689","276","3.1418625","276","293"
"4","3.14214025","279","3.1420145","279","3.141121","279","3.141371","279","3.14143275","279","3.14179475","279","3.141606","279","3.14199875","279","3.141716","279","3.14207675","279","3.1410325","279","3.14156475","279","3.1414475","279","3.141727","279","3.14154225","279","283"
"5","3.1409465","295","3.14145625","295","3.141436","295","3.1416975","295","3.14146975","295","3.141312","295","3.14071925","295","3.141194","295","3.14132825","295","3.14225875","295","3.142181","295","3.14156375","295","3.1415375","295","3.14184325","295","3.1421675","295","295"
"6","3.14203475","291","3.14208475","291","3.14214275","291","3.14158275","291","3.14146475","291","3.14161875","291","3.141856","291","3.14155875","291","3.14135375","291","3.14109925","291","3.140626","291","3.141726","291","3.14233425","291","3.14189","291","3.1410945","291","291"
"7","3.14139575","289","3.141706","289","3.14223225","289","3.14112775","289","3.141647","289","3.141697","289","3.14179275","289","3.140263","289","3.1411625","289","3.14118275","289","3.141737","289","3.1405795","289","3.1411215","289","3.1422735","289","3.1419675","289","289"
"8","3.141101","280","3.141949","280","3.14111725","280","3.1412395","280","3.141507","280","3.141403","280","3.14183875","280","3.14171475","280","3.14135725","280","3.1420505","280","3.1416085","280","3.141655","280","3.14184825","280","3.14199275","280","3.14126925","280","280"
"9","3.1412515","284","3.1410825","284","3.14201225","284","3.14111525","284","3.14216875","284","3.14125875","284","3.14131725","284","3.1415875","284","3.14144875","284","3.14096","284","3.14154875","284","3.14176475","284","3.14103925","284","3.14142025","284","3.14141425","284","284"
"10","3.14165275","292","3.14149575","292","3.14152","292","3.141804","292","3.14066225","292","3.141213","292","3.14141025","292","3.1409785","292","3.14180925","292","3.141622","292","3.14152875","292","3.14189925","292","3.1418505","292","3.14154875","292","3.14171475","292","292"
"11","3.141276","283","3.1420245","283","3.1415","283","3.1415075","283","3.14127025","283","3.14151525","283","3.1418985","283","3.1427015","283","3.141938","283","3.1419245","283","3.1418005","283","3.14209925","283","3.14091225","283","3.14212525","283","3.1405905","283","284"
