"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Total Runtime (ms)"
"1","3.141346","191","3.1413155","191","3.1417735","191","3.14124125","191","3.1407815","191","3.14125775","191","3.1411725","191","3.1417565","191","3.14175625","191","3.1417925","191","201"
"2","3.1416905","194","3.14170325","194","3.14176625","194","3.142006","194","3.14201225","194","3.141653","194","3.14094975","194","3.14128125","194","3.14173875","194","3.14180025","194","194"
"3","3.14155675","195","3.14160525","195","3.141424","195","3.1413875","195","3.14112525","195","3.14155625","195","3.14146325","195","3.141837","195","3.14142775","195","3.141932","195","195"
"4","3.140946","199","3.142259","199","3.1418235","199","3.14139225","199","3.14149575","199","3.14217325","199","3.141263","199","3.141533","199","3.142492","199","3.14109375","199","199"
"5","3.14134","195","3.14226075","195","3.14118375","195","3.14162375","195","3.14135925","195","3.14177725","195","3.1417015","195","3.14140675","195","3.1405815","195","3.1415535","195","196"
"6","3.14176025","194","3.14122175","194","3.142179","194","3.140822","194","3.14223925","194","3.142","194","3.141757","194","3.14137975","194","3.141641","194","3.141566","194","194"
"7","3.1418835","194","3.14226625","194","3.14156975","194","3.14127075","194","3.14184525","194","3.1420485","194","3.141309","194","3.1419655","194","3.141587","194","3.14206425","194","194"
"8","3.14105675","190","3.14188775","190","3.14214675","190","3.141087","190","3.14186925","190","3.141226","190","3.14125825","190","3.141872","190","3.14137","190","3.14172175","190","190"
"9","3.140874","206","3.1421065","206","3.14177075","206","3.1413455","206","3.14106925","206","3.141485","206","3.14173925","206","3.14135625","206","3.14177275","206","3.141394","206","206"
"10","3.142038","192","3.1416965","192","3.14142875","192","3.141366","192","3.1414115","192","3.14179075","192","3.1407285","192","3.141859","192","3.1411595","192","3.14181375","192","192"
"11","3.142652","202","3.142223","202","3.14216375","202","3.14101875","202","3.14168925","202","3.14152825","202","3.142224","202","3.14150775","202","3.1417155","202","3.14209975","202","202"
"12","3.1420035","197","3.14077175","197","3.14188025","197","3.141944","197","3.140939","197","3.1408015","197","3.14199","197","3.141977","197","3.14209425","197","3.141164","197","198"
"13","3.1415575","194","3.14145775","194","3.14163575","194","3.1417765","194","3.14155175","194","3.14177625","194","3.14090475","194","3.140734","194","3.1410815","194","3.141534","194","194"
"14","3.14172475","193","3.14119025","193","3.140606","193","3.14151975","193","3.14141425","193","3.14147025","193","3.1423365","193","3.14172925","193","3.141227","193","3.14109725","193","193"
"15","3.141464","197","3.14183725","197","3.14166975","197","3.14194875","197","3.14156675","197","3.14157325","197","3.1420745","197","3.14169625","197","3.14084675","197","3.14122275","197","197"
"16","3.141664","197","3.1417915","197","3.141595","197","3.141571","197","3.14120325","197","3.1418","197","3.14215225","197","3.14223","197","3.141312","197","3.14124775","197","197"
"17","3.14137625","195","3.14231075","195","3.1415315","195","3.1409815","195","3.14159575","195","3.141614","195","3.1417435","195","3.14034925","195","3.1415185","195","3.14197825","195","195"
"18","3.14138275","196","3.14109075","196","3.141935","196","3.1410695","196","3.14230825","196","3.14145175","196","3.1409665","196","3.1419975","196","3.141327","196","3.14130125","196","196"
"19","3.14161","193","3.14170875","193","3.14190525","193","3.14188225","193","3.141223","193","3.14185075","193","3.141801","193","3.14156075","193","3.141972","193","3.141807","193","193"
