"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"1","3.1420925","301","3.14145125","301","3.1418985","301","3.142283","301","3.141776","301","3.141103","301","3.14168075","301","3.1416835","301","3.1421845","301","3.141678","301","3.140888","301","3.1423115","301","3.14100675","301","3.1411075","301","3.14170325","301","3.14211625","301","312"
"2","3.14142875","305","3.142024","305","3.14102425","305","3.14148425","305","3.141982","305","3.140759","305","3.14180075","305","3.1418885","305","3.1415455","305","3.1416325","305","3.141359","305","3.14160975","305","3.141009","305","3.14184125","305","3.141926","305","3.14140675","305","305"
"3","3.141462","302","3.141361","302","3.14128525","302","3.14134475","302","3.1401245","302","3.14179225","302","3.14119825","302","3.1416505","302","3.14210625","302","3.14257475","302","3.1416355","302","3.141142","302","3.1420395","302","3.14134025","302","3.142457","302","3.14153175","302","302"
"4","3.14230625","311","3.1423765","311","3.141508","311","3.14181525","311","3.141618","311","3.14155625","311","3.141194","311","3.14131075","311","3.14109375","311","3.14140975","311","3.14198425","311","3.142012","311","3.14160675","311","3.1419815","311","3.1416735","311","3.14207025","311","311"
"5","3.14168975","308","3.14112025","308","3.14222225","308","3.14118625","308","3.141462","308","3.14148975","308","3.14202625","308","3.14077575","308","3.141572","308","3.1417785","308","3.14111125","308","3.14213575","308","3.14209025","308","3.14107125","308","3.1417605","308","3.141873","308","308"
"6","3.14214625","303","3.142024","303","3.1413375","303","3.14154875","303","3.141489","303","3.14184575","303","3.141707","303","3.1422355","303","3.1416535","303","3.14118975","303","3.14119175","303","3.1418765","303","3.141857","303","3.14199025","303","3.14205625","303","3.1413995","303","303"
"7","3.141119","313","3.140707","313","3.14194025","313","3.14230175","313","3.141968","313","3.1412295","313","3.14204325","313","3.141492","313","3.14142275","313","3.1417905","313","3.14104675","313","3.141575","313","3.14259675","313","3.14131","313","3.14184725","313","3.14087325","313","313"
"8","3.14136725","304","3.140817","304","3.14234225","304","3.141801","304","3.14138775","304","3.14109675","304","3.141574","304","3.141921","304","3.14143325","304","3.14155025","304","3.1424505","304","3.14135625","304","3.141969","304","3.14163475","304","3.1415105","304","3.142447","304","304"
"9","3.14169625","304","3.1413955","304","3.14114425","304","3.14128775","304","3.1415615","304","3.1415415","304","3.142699","304","3.14137825","304","3.141952","304","3.14158825","304","3.14180525","304","3.141734","304","3.1412775","304","3.142144","304","3.14151975","304","3.1417935","304","305"
"10","3.14167375","301","3.14116175","301","3.141321","301","3.141922","301","3.14189375","301","3.141783","301","3.14143275","301","3.14129925","301","3.1413","301","3.1411155","301","3.141995","301","3.1418865","301","3.14162825","301","3.14208925","301","3.14202475","301","3.1415255","301","302"
"11","3.141228","304","3.1415565","304","3.14123175","304","3.14159","304","3.14163875","304","3.141203","304","3.14211875","304","3.14218925","304","3.14173725","304","3.14141125","304","3.14107775","304","3.1411775","304","3.1416105","304","3.14243925","304","3.14120575","304","3.1421135","304","304"
"12","3.14189075","310","3.141924","310","3.142101","310","3.14122925","310","3.14097275","310","3.14079775","310","3.1413725","310","3.141248","310","3.1410095","310","3.141537","310","3.140771","310","3.141307","310","3.1408855","310","3.1421355","310","3.14153375","310","3.141862","310","310"
"13","3.1419","304","3.1410865","304","3.14183575","304","3.1409995","304","3.140994","304","3.141885","304","3.141012","304","3.141221","304","3.14139975","304","3.1416675","304","3.141434","304","3.142299","304","3.141791","304","3.142091","304","3.14172025","304","3.1420035","304","304"
"14","3.14098625","276","3.141631","276","3.14240325","276","3.141332","276","3.14116875","276","3.1418625","276","3.14166575","276","3.14163875","276","3.1407005","276","3.14197925","276","3.14154075","276","3.14139375","276","3.14132875","276","3.141682","276","3.14151075","276","3.1410835","276","303"
"15","3.1415035","287","3.14239975","287","3.141508","287","3.14181325","287","3.14207775","287","3.141861","287","3.141421","287","3.14211975","287","3.1420045","287","3.141222","287","3.14096925","287","3.1413565","287","3.14181575","287","3.14176975","287","3.14142275","287","3.14186425","287","299"
"16","3.140872","305","3.14246475","305","3.14196825","305","3.14136575","305","3.1413785","305","3.1411585","305","3.141327","305","3.14184875","305","3.14135525","305","3.14161125","305","3.141683","305","3.14116925","305","3.14153975","305","3.1409975","305","3.1422005","305","3.14140925","305","305"
"17","3.1416615","302","3.141017","302","3.141621","302","3.14120875","302","3.1410715","302","3.141199","302","3.1417845","302","3.14204925","302","3.14113425","302","3.14244075","302","3.141515","302","3.141898","302","3.1412195","302","3.14227175","302","3.14200925","302","3.14180725","302","302"
"18","3.1421485","307","3.14149125","307","3.1416015","307","3.14213325","307","3.14145625","307","3.141958","307","3.14196725","307","3.14103325","307","3.14090925","307","3.1413895","307","3.14178825","307","3.14161175","307","3.142039","307","3.140907","307","3.1418485","307","3.141836","307","307"
"19","3.1416525","304","3.1417345","304","3.14107","304","3.1418965","304","3.14201375","304","3.14139775","304","3.14200875","304","3.141924","304","3.1414735","304","3.14119625","304","3.141037","304","3.14097025","304","3.1417575","304","3.1418375","304","3.1415825","304","3.14167875","304","304"
"20","3.14186525","303","3.1410495","303","3.140959","303","3.140986","303","3.14168275","303","3.1416475","303","3.14107425","303","3.14211675","303","3.1412335","303","3.14140825","303","3.14153075","303","3.141394","303","3.14144025","303","3.14201625","303","3.14177075","303","3.14140925","303","304"
"21","3.14177475","309","3.14201175","309","3.141111","309","3.1415365","309","3.14240775","309","3.14163475","309","3.141165","309","3.14203175","309","3.1421135","309","3.14193575","309","3.14164175","309","3.141492","309","3.141166","309","3.1412845","309","3.142036","309","3.14195325","309","309"
"22","3.14138325","304","3.14180075","304","3.14198575","304","3.1413345","304","3.14163875","304","3.14186175","304","3.14222625","304","3.141877","304","3.14174525","304","3.14071325","304","3.141334","304","3.141113","304","3.1409645","304","3.142202","304","3.1410815","304","3.14158375","304","304"
"23","3.14144575","305","3.14223125","305","3.14099925","305","3.14144825","305","3.14174925","305","3.1420635","305","3.141509","305","3.141338","305","3.14099625","305","3.141201","305","3.14145375","305","3.142439","305","3.14134775","305","3.14140325","305","3.14182275","305","3.14193825","305","305"
"24","3.14239125","278","3.14114375","278","3.141714","278","3.141585","278","3.1412165","278","3.141682","278","3.1422875","278","3.14177525","278","3.14172525","278","3.14145025","278","3.14160775","278","3.14200525","278","3.14183025","278","3.141681","278","3.14131825","278","3.1414415","278","309"
"25","3.14163325","304","3.14097275","304","3.14186775","304","3.14160625","304","3.1416775","304","3.14184775","304","3.14201675","304","3.1415185","304","3.1417945","304","3.14159","304","3.14202275","304","3.141057","304","3.14150125","304","3.14142575","304","3.1418185","304","3.14113425","304","304"
"26","3.14253575","309","3.141738","309","3.14283025","309","3.14127325","309","3.14169775","309","3.142404","309","3.141002","309","3.14141475","309","3.1419315","309","3.141044","309","3.14155575","309","3.14120825","309","3.1414995","309","3.1409615","309","3.14147775","309","3.141452","309","310"
"27","3.1420305","304","3.1415365","304","3.1421335","304","3.14131825","304","3.14143725","304","3.141923","304","3.14154075","304","3.140915","304","3.1418865","304","3.14150975","304","3.1415215","304","3.1414655","304","3.1409325","304","3.1414135","304","3.142415","304","3.1412165","304","304"
"28","3.14127475","310","3.14136375","310","3.1411255","310","3.14197975","310","3.141823","310","3.14175","310","3.14177475","310","3.14177775","310","3.141239","310","3.14113675","310","3.14093825","310","3.1409615","310","3.141645","310","3.140975","310","3.142037","310","3.1416305","310","310"
"29","3.141628","304","3.14147975","304","3.14184075","304","3.14103925","304","3.141066","304","3.1414865","304","3.14076125","304","3.14222375","304","3.14158675","304","3.1413535","304","3.14114825","304","3.14142225","304","3.141553","304","3.14129675","304","3.142066","304","3.14179675","304","304"
"30","3.14144575","303","3.14189925","303","3.14120825","303","3.142363","303","3.1416115","303","3.14186075","303","3.14164","303","3.14128175","303","3.1424725","303","3.14137475","303","3.1411845","303","3.14250775","303","3.140906","303","3.14118025","303","3.14171975","303","3.142485","303","303"
"31","3.14115425","336","3.14163475","336","3.141024","336","3.14161675","336","3.14138875","336","3.140884","336","3.14199725","336","3.141801","336","3.14166425","336","3.14169625","336","3.141395","336","3.14179825","336","3.14121875","336","3.141658","336","3.14187425","336","3.14146","336","336"
"32","3.14124775","317","3.14211275","317","3.14182475","317","3.141622","317","3.141405","317","3.14171925","317","3.141507","317","3.14153075","317","3.1419645","317","3.14158925","317","3.1411105","317","3.1419605","317","3.14154225","317","3.14120525","317","3.1418195","317","3.141504","317","317"
"33","3.14135525","313","3.142046","313","3.141348","313","3.14198975","313","3.1418835","313","3.14139475","313","3.141897","313","3.14161","313","3.141905","313","3.14157175","313","3.14225375","313","3.141725","313","3.1413095","313","3.1416845","313","3.1411725","313","3.14181025","313","313"
"34","3.1414665","300","3.141314","300","3.14145325","300","3.1417825","300","3.141246","300","3.142159","300","3.141565","300","3.142036","300","3.140936","300","3.14172075","300","3.14210775","300","3.14148925","300","3.14177025","300","3.140934","300","3.14231575","300","3.14236075","300","300"
"35","3.142228","316","3.14185875","316","3.141789","316","3.14144375","316","3.14118125","316","3.1415935","316","3.14159975","316","3.1421415","316","3.1418995","316","3.1420395","316","3.14083175","316","3.1424625","316","3.14106625","316","3.1407695","316","3.1412695","316","3.14155525","316","316"
"36","3.14164775","304","3.14184225","304","3.14161975","304","3.1413845","304","3.1414935","304","3.1420535","304","3.1406565","304","3.1412175","304","3.14182","304","3.142107","304","3.1418135","304","3.14148875","304","3.14129275","304","3.141258","304","3.1412355","304","3.1413825","304","304"
"37","3.14164625","299","3.14184475","299","3.1416075","299","3.14136525","299","3.14173625","299","3.14201925","299","3.141553","299","3.141759","299","3.14144825","299","3.1421855","299","3.141478","299","3.1406445","299","3.14141575","299","3.140949","299","3.1422265","299","3.1412695","299","301"
"38","3.14161525","302","3.1414535","302","3.14173725","302","3.14140475","302","3.14235625","302","3.14117675","302","3.14111425","302","3.1421285","302","3.1413705","302","3.141928","302","3.14177975","302","3.14163925","302","3.14111525","302","3.14120975","302","3.1418525","302","3.14161","302","302"
"39","3.14064425","311","3.14117425","311","3.1415065","311","3.14140775","311","3.1413165","311","3.1421795","311","3.1415485","311","3.142291","311","3.14221325","311","3.1414715","311","3.14085","311","3.1414565","311","3.14179775","311","3.14219","311","3.14205575","311","3.141113","311","311"
"40","3.14099825","300","3.1415785","300","3.14224375","300","3.1418825","300","3.141406","300","3.14132125","300","3.141245","300","3.14200825","300","3.14178075","300","3.14120725","300","3.14154975","300","3.14179975","300","3.14161725","300","3.141716","300","3.14097","300","3.141624","300","300"
"41","3.1412215","315","3.14140875","315","3.14088675","315","3.141533","315","3.14168775","315","3.14152175","315","3.14141325","315","3.14147375","315","3.14158225","315","3.14217025","315","3.1419525","315","3.1419035","315","3.1409575","315","3.141597","315","3.14147825","315","3.14112025","315","315"
"42","3.14132775","307","3.14165525","307","3.14166425","307","3.141998","307","3.1409345","307","3.141712","307","3.1426375","307","3.14089575","307","3.14179775","307","3.14139","307","3.1418985","307","3.14142925","307","3.1415655","307","3.1422285","307","3.14183425","307","3.1417825","307","308"
"43","3.14166175","305","3.1418755","305","3.1414385","305","3.1414555","305","3.14201825","305","3.1417965","305","3.14147075","305","3.14105325","305","3.14180125","305","3.14192725","305","3.141733","305","3.14031575","305","3.142153","305","3.1414115","305","3.1414525","305","3.14039075","305","306"
"44","3.14216675","303","3.14125175","303","3.141955","303","3.14159225","303","3.141546","303","3.1420425","303","3.141834","303","3.1416045","303","3.1420515","303","3.14123","303","3.14138225","303","3.141398","303","3.14154275","303","3.14169175","303","3.141319","303","3.1416555","303","303"
"45","3.141205","308","3.141385","308","3.14165325","308","3.141764","308","3.14132125","308","3.14171375","308","3.14173","308","3.141071","308","3.142418","308","3.14108775","308","3.141561","308","3.141686","308","3.14137675","308","3.14100925","308","3.1416205","308","3.14092925","308","308"
"46","3.1416395","300","3.1416475","300","3.14170075","300","3.142259","300","3.14165775","300","3.14167825","300","3.141698","300","3.14090325","300","3.141211","300","3.1416835","300","3.14186325","300","3.14107875","300","3.1413815","300","3.141255","300","3.1418195","300","3.141219","300","300"
"47","3.1411085","313","3.142564","313","3.14096875","313","3.141506","313","3.141103","313","3.1412755","313","3.1423065","313","3.14146275","313","3.14157225","313","3.142209","313","3.141022","313","3.141708","313","3.1410945","313","3.141583","313","3.14143725","313","3.14164","313","313"
"48","3.14144225","310","3.1418065","310","3.141336","310","3.140857","310","3.14290375","310","3.141771","310","3.1420465","310","3.142229","310","3.14174025","310","3.14146175","310","3.14111675","310","3.14155925","310","3.14229725","310","3.14125125","310","3.1409625","310","3.141504","310","310"
