"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Total Runtime (ms)"
"1","3.142293","120","3.141932","120","3.1417145","120","3.14163925","120","3.14111725","120","3.141608","120","130"
"2","3.14259575","122","3.1417255","122","3.14069325","122","3.1420525","122","3.1417915","122","3.1416985","122","122"
"3","3.140762","121","3.1413485","121","3.141441","121","3.14247225","121","3.1406545","121","3.1418515","121","121"
"4","3.1414935","122","3.14228825","122","3.1411035","122","3.140934","122","3.14214475","122","3.14168075","122","123"
"5","3.14190675","116","3.14201925","116","3.1413705","116","3.1421275","116","3.140983","116","3.14175625","116","116"
"6","3.1414205","118","3.142503","118","3.14090325","118","3.14120375","118","3.14122525","118","3.14090275","118","118"
"7","3.141584","117","3.141913","117","3.14167775","117","3.14137225","117","3.14165925","117","3.141072","117","117"
"8","3.141256","123","3.14164875","123","3.1424765","123","3.14124525","123","3.14208325","123","3.14180525","123","123"
"9","3.1419975","132","3.141242","132","3.14154175","132","3.1409975","132","3.141763","132","3.14169825","132","132"
"10","3.14168325","121","3.14131625","121","3.1420285","121","3.1417735","121","3.1416575","121","3.14158","121","121"
"11","3.14212925","120","3.14166275","120","3.141635","120","3.14276975","120","3.14092375","120","3.14138825","120","120"
"12","3.1412195","122","3.14144225","122","3.141361","122","3.14153725","122","3.1414105","122","3.1414625","122","122"
"13","3.14113325","118","3.1415045","118","3.1414515","118","3.1413575","118","3.14182725","118","3.14169075","118","118"
"14","3.1416965","120","3.141949","120","3.14145475","120","3.14111325","120","3.141697","120","3.141895","120","120"
"15","3.14168725","123","3.141737","123","3.141029","123","3.14124575","123","3.14186575","123","3.141246","123","123"
"16","3.14171625","122","3.141303","122","3.14174525","122","3.1407285","122","3.1420875","122","3.14215525","122","122"
"17","3.140695","122","3.14137875","122","3.141635","122","3.14132225","122","3.141512","122","3.14189225","122","122"
"18","3.14166525","128","3.14167225","128","3.14193975","128","3.141801","128","3.1414155","128","3.141203","128","128"
"19","3.141392","117","3.140925","117","3.14220375","117","3.1410605","117","3.141092","117","3.14152925","117","117"
"20","3.141698","119","3.141522","119","3.14170475","119","3.14159125","119","3.14202075","119","3.14175875","119","119"
"21","3.1423305","119","3.14162325","119","3.14241125","119","3.14164275","119","3.1416775","119","3.1404635","119","120"
"22","3.1414665","115","3.141847","115","3.14177925","115","3.14196","115","3.14099325","115","3.1417235","115","116"
"23","3.14151375","121","3.1413845","121","3.141342","121","3.14141625","121","3.140825","121","3.1426575","121","121"
"24","3.14141775","119","3.141941","119","3.1425165","119","3.14209125","119","3.14168925","119","3.14203175","119","119"
"25","3.14143075","118","3.141598","118","3.14178025","118","3.14177275","118","3.141477","118","3.14094025","118","118"
