"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Total Runtime (ms)"
"1","3.141417","231","3.1409645","231","3.14146225","231","3.141577","231","3.14115475","231","3.1417995","231","3.14201375","231","3.14190925","231","3.141499","231","3.1413035","231","3.14051","231","3.14166775","231","241"
"2","3.14193","234","3.140884","234","3.141168","234","3.1418555","234","3.1419375","234","3.14147275","234","3.141111","234","3.14093225","234","3.14221825","234","3.14167375","234","3.141388","234","3.141384","234","234"
"3","3.14188125","232","3.141521","232","3.1419445","232","3.1412165","232","3.1412235","232","3.14188475","232","3.141449","232","3.1413945","232","3.140974","232","3.141558","232","3.141317","232","3.14169075","232","232"
"4","3.14170425","227","3.14142825","227","3.141581","227","3.14118075","227","3.1422015","227","3.1414845","227","3.14145525","227","3.14149075","227","3.1415945","227","3.141439","227","3.14207525","227","3.1419255","227","227"
"5","3.14131525","227","3.14192225","227","3.141314","227","3.1407945","227","3.141852","227","3.14093275","227","3.1415385","227","3.14202525","227","3.1411255","227","3.14182275","227","3.141948","227","3.141547","227","227"
"6","3.1416165","228","3.141654","228","3.141671","228","3.14200825","228","3.14240525","228","3.140947","228","3.142182","228","3.14259075","228","3.142168","228","3.14136025","228","3.1419115","228","3.142056","228","228"
"7","3.141535","238","3.142119","238","3.14202375","238","3.141492","238","3.14174675","238","3.141742","238","3.141446","238","3.1410835","238","3.1405545","238","3.14212575","238","3.14177375","238","3.1410905","238","238"
"8","3.14149525","231","3.1413705","231","3.14237225","231","3.14114025","231","3.141452","231","3.141898","231","3.14139675","231","3.140932","231","3.1411425","231","3.14186175","231","3.14121","231","3.1420795","231","231"
"9","3.14138225","229","3.1422285","229","3.142112","229","3.14242225","229","3.141947","229","3.14147025","229","3.141573","229","3.14108","229","3.142148","229","3.14182475","229","3.141397","229","3.14127225","229","229"
"10","3.141949","226","3.14168175","226","3.14196425","226","3.14137825","226","3.14196","226","3.14167025","226","3.14185775","226","3.14101125","226","3.142069","226","3.1409775","226","3.141602","226","3.14170725","226","226"
"11","3.141412","230","3.142522","230","3.1409465","230","3.1417805","230","3.141689","230","3.14138825","230","3.1414485","230","3.141355","230","3.141502","230","3.1417825","230","3.14171625","230","3.1413925","230","230"
"12","3.14131525","237","3.1416225","237","3.141473","237","3.1415475","237","3.14161975","237","3.14131325","237","3.1417355","237","3.14152725","237","3.1415375","237","3.1414525","237","3.14109725","237","3.1415655","237","237"
"13","3.14198175","227","3.142033","227","3.141614","227","3.1415915","227","3.1413985","227","3.14093975","227","3.14188225","227","3.14185525","227","3.140397","227","3.14110675","227","3.14189975","227","3.1415385","227","228"
"14","3.14162475","232","3.14181675","232","3.141193","232","3.141314","232","3.1418635","232","3.14138525","232","3.14135225","232","3.14097675","232","3.1419785","232","3.141238","232","3.1415305","232","3.14144925","232","232"
"15","3.14121875","225","3.142824","225","3.14211275","225","3.142011","225","3.1412825","225","3.14264","225","3.141649","225","3.14164375","225","3.141263","225","3.1415685","225","3.142033","225","3.1419265","225","225"
"16","3.14136925","230","3.14193575","230","3.1422985","230","3.14152825","230","3.142187","230","3.14202575","230","3.14141925","230","3.142603","230","3.1414405","230","3.14184475","230","3.14100575","230","3.14157025","230","231"
"17","3.14135975","229","3.14135925","229","3.14146","229","3.14182625","229","3.14158175","229","3.1413185","229","3.14171125","229","3.14178025","229","3.141775","229","3.14181425","229","3.1422315","229","3.14131475","229","233"
"18","3.1420225","230","3.14064275","230","3.1411565","230","3.14100575","230","3.141278","230","3.14139775","230","3.1412495","230","3.1425445","230","3.14159775","230","3.1426045","230","3.14154075","230","3.1410515","230","230"
"19","3.14077875","229","3.14127075","229","3.14126575","229","3.14233975","229","3.141283","229","3.14132075","229","3.14159325","229","3.141319","229","3.1410425","229","3.142618","229","3.141483","229","3.142064","229","229"
"20","3.1421555","227","3.141782","227","3.142196","227","3.14159975","227","3.14175075","227","3.14224175","227","3.14163075","227","3.142045","227","3.1411705","227","3.1411005","227","3.14122425","227","3.14150875","227","227"
"21","3.14195075","247","3.14133675","247","3.1414795","247","3.141263","247","3.14144025","247","3.14202725","247","3.1422205","247","3.142582","247","3.14200375","247","3.14195125","247","3.141847","247","3.14158075","247","248"
"22","3.14085625","233","3.14172775","233","3.141184","233","3.14136625","233","3.14262375","233","3.14240775","233","3.14153675","233","3.14171575","233","3.14155625","233","3.14151475","233","3.1410935","233","3.14183775","233","233"
"23","3.1421065","217","3.1416945","217","3.14192475","217","3.14175875","217","3.14197275","217","3.14178975","217","3.14184625","217","3.1417435","217","3.14192325","217","3.14060125","217","3.14166075","217","3.142041","217","231"
"24","3.14091775","230","3.1415955","230","3.14173425","230","3.1416405","230","3.14092775","230","3.14082525","230","3.141343","230","3.14062","230","3.14117575","230","3.141921","230","3.1416125","230","3.14156525","230","230"
"25","3.14188675","245","3.14145575","245","3.14124225","245","3.1416065","245","3.14180525","245","3.14078725","245","3.1418365","245","3.141606","245","3.141976","245","3.14208875","245","3.14137975","245","3.1415945","245","245"
"26","3.141837","230","3.14165425","230","3.14174775","230","3.14228","230","3.1414875","230","3.141768","230","3.1408315","230","3.14182225","230","3.141182","230","3.1416065","230","3.14141725","230","3.14202175","230","230"
"27","3.14138925","225","3.141992","225","3.141442","225","3.141699","225","3.14162125","225","3.14119375","225","3.14148475","225","3.141559","225","3.14224125","225","3.14201025","225","3.1415945","225","3.141622","225","226"
"28","3.14116175","231","3.142339","231","3.141151","231","3.14163025","231","3.1416605","231","3.14131475","231","3.1414835","231","3.141915","231","3.141893","231","3.14124175","231","3.141751","231","3.14115","231","231"
"29","3.14156375","227","3.141618","227","3.1416455","227","3.14228975","227","3.142168","227","3.14211975","227","3.14164125","227","3.141649","227","3.1415565","227","3.1418645","227","3.141529","227","3.140825","227","227"
"30","3.14155925","241","3.14130775","241","3.14066025","241","3.1417215","241","3.1410125","241","3.1411955","241","3.14141475","241","3.14189775","241","3.14202375","241","3.1415425","241","3.14169925","241","3.1415425","241","241"
