"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Total Runtime (ms)"
"1","3.140363","160","3.1417825","160","3.1418755","160","3.1412035","160","3.14126825","160","3.14099275","160","3.1422995","160","3.1413195","160","171"
"2","3.14112625","155","3.14159675","155","3.1411735","155","3.1415675","155","3.14153275","155","3.1415685","155","3.14154475","155","3.141778","155","155"
"3","3.1412645","162","3.14115875","162","3.14194275","162","3.14110375","162","3.1419635","162","3.14188975","162","3.14161825","162","3.14077","162","162"
"4","3.141853","153","3.141481","153","3.14182375","153","3.14192825","153","3.1412465","153","3.14198325","153","3.14151325","153","3.1408645","153","153"
"5","3.1416645","157","3.1421175","157","3.1416965","157","3.14153825","157","3.141594","157","3.1412555","157","3.1418125","157","3.141373","157","157"
"6","3.14265425","153","3.1420185","153","3.1412685","153","3.1409185","153","3.14134275","153","3.141367","153","3.1412735","153","3.140799","153","153"
"7","3.14158275","163","3.140929","163","3.14207975","163","3.14177325","163","3.14072975","163","3.142154","163","3.141433","163","3.1419895","163","163"
"8","3.140752","161","3.1410495","161","3.14125575","161","3.14138875","161","3.1413465","161","3.14208","161","3.141328","161","3.1419465","161","161"
"9","3.14063775","155","3.141984","155","3.1420155","155","3.14139575","155","3.1413455","155","3.1408405","155","3.14162625","155","3.14262675","155","155"
"10","3.141053","155","3.142361","155","3.141422","155","3.14213975","155","3.141606","155","3.1417895","155","3.140943","155","3.14132675","155","155"
"11","3.14135725","153","3.14117975","153","3.14154275","153","3.14098825","153","3.14134725","153","3.1416345","153","3.1412975","153","3.1411765","153","153"
"12","3.1415195","152","3.14219225","152","3.1419635","152","3.1419315","152","3.141421","152","3.1411675","152","3.141977","152","3.1417595","152","157"
"13","3.1411125","154","3.141545","154","3.14156025","154","3.14226475","154","3.14258275","154","3.1417185","154","3.14140675","154","3.1423285","154","154"
"14","3.14112625","162","3.14173575","162","3.14107325","162","3.14073925","162","3.141272","162","3.14107575","162","3.14147525","162","3.1415955","162","166"
"15","3.14100925","161","3.14159175","161","3.1421395","161","3.14167675","161","3.14211925","161","3.1416975","161","3.142512","161","3.1419935","161","162"
"16","3.1415345","159","3.14124425","159","3.142164","159","3.14138325","159","3.14200175","159","3.1416375","159","3.14132275","159","3.14101125","159","159"
"17","3.141849","158","3.1417805","158","3.14161925","158","3.14161","158","3.141663","158","3.14133575","158","3.1412955","158","3.1413165","158","158"
"18","3.14142875","156","3.14167175","156","3.14120975","156","3.14147375","156","3.1413815","156","3.141373","156","3.14178975","156","3.14030125","156","156"
"19","3.142226","155","3.14230175","155","3.14146325","155","3.1413025","155","3.142035","155","3.14180225","155","3.14154025","155","3.1415425","155","155"
"20","3.14144625","154","3.1412755","154","3.1424775","154","3.14219425","154","3.14087925","154","3.1414855","154","3.1418205","154","3.14139725","154","154"
"21","3.1418325","161","3.14105075","161","3.14218475","161","3.1413575","161","3.141109","161","3.1422835","161","3.141216","161","3.14164125","161","161"
"22","3.14111825","158","3.14129825","158","3.14091425","158","3.141846","158","3.14224525","158","3.1415665","158","3.14135525","158","3.141136","158","158"
"23","3.14172325","158","3.14167875","158","3.1417195","158","3.1414495","158","3.141868","158","3.1412175","158","3.141355","158","3.141589","158","159"
"24","3.14086225","153","3.1421415","153","3.14156875","153","3.140888","153","3.142074","153","3.141522","153","3.1416015","153","3.1414845","153","153"
"25","3.14190575","156","3.14167225","156","3.14183825","156","3.14225675","156","3.14091575","156","3.14161275","156","3.141226","156","3.14158375","156","157"
"26","3.14209025","155","3.14144175","155","3.14173125","155","3.141807","155","3.14167975","155","3.141376","155","3.1413875","155","3.141345","155","155"
"27","3.141617","160","3.142139","160","3.141721","160","3.14169325","160","3.141608","160","3.14276275","160","3.14180675","160","3.14175625","160","161"
"28","3.14125875","157","3.14126675","157","3.14137","157","3.1410265","157","3.14212225","157","3.141806","157","3.1416845","157","3.141783","157","157"
"29","3.14197675","155","3.14125775","155","3.14205","155","3.1409635","155","3.1415985","155","3.14126775","155","3.14190475","155","3.1416345","155","155"
"30","3.1417745","159","3.14224625","159","3.1414625","159","3.14196175","159","3.142183","159","3.1416675","159","3.14183225","159","3.141911","159","160"
"31","3.142568","154","3.14103275","154","3.1410385","154","3.1412715","154","3.14120025","154","3.14125975","154","3.14175175","154","3.14093575","154","155"
"32","3.14207325","157","3.141928","157","3.142187","157","3.14192925","157","3.141562","157","3.1414595","157","3.14167125","157","3.14165475","157","158"
"33","3.141697","155","3.141021","155","3.141795","155","3.142095","155","3.1411655","155","3.1421265","155","3.14171475","155","3.14137975","155","155"
"34","3.142086","169","3.1420335","169","3.14122425","169","3.1417845","169","3.141405","169","3.1415635","169","3.14170475","169","3.14234375","169","169"
"35","3.1414015","153","3.14154575","153","3.14151025","153","3.142096","153","3.1414505","153","3.14101975","153","3.14171875","153","3.141171","153","153"
"36","3.142031","152","3.1415235","152","3.14174125","152","3.14199325","152","3.14211525","152","3.141969","152","3.141075","152","3.141549","152","153"
"37","3.14168","154","3.1417385","154","3.141849","154","3.141792","154","3.141625","154","3.14151925","154","3.142761","154","3.141989","154","154"
"38","3.141489","157","3.141626","157","3.141806","157","3.1415975","157","3.14145","157","3.14227725","157","3.14203125","157","3.14201125","157","157"
"39","3.14114725","156","3.1418275","156","3.141503","156","3.14136025","156","3.14187575","156","3.14144475","156","3.14116925","156","3.141701","156","156"
"40","3.14137775","177","3.14149325","177","3.1421235","177","3.141348","177","3.141435","177","3.142094","177","3.14112425","177","3.1418885","177","177"
"41","3.14137175","172","3.14128925","172","3.14211375","172","3.142304","172","3.14167025","172","3.141574","172","3.1409465","172","3.14179775","172","172"
"42","3.141149","154","3.14187875","154","3.14154375","154","3.14188375","154","3.14219","154","3.14169925","154","3.1418705","154","3.1412655","154","154"
"43","3.14146","154","3.142176","154","3.1413375","154","3.1414705","154","3.142362","154","3.14150475","154","3.14193275","154","3.14129825","154","155"
"44","3.142161","166","3.14174075","166","3.14202025","166","3.1421205","166","3.142043","166","3.14183275","166","3.141729","166","3.14130175","166","167"
"45","3.14096025","162","3.14173825","162","3.1413215","162","3.14201575","162","3.1412725","162","3.1419505","162","3.14149775","162","3.14150175","162","162"
"46","3.1409355","155","3.14143025","155","3.14176225","155","3.14124675","155","3.14223175","155","3.14166725","155","3.141617","155","3.1420425","155","155"
"47","3.14190825","163","3.14118425","163","3.141513","163","3.14185625","163","3.14145725","163","3.14216425","163","3.14137625","163","3.14152175","163","163"
"48","3.141162","160","3.14128975","160","3.14184425","160","3.1420255","160","3.141489","160","3.141413","160","3.14187925","160","3.1413495","160","160"
"49","3.14219675","156","3.141113","156","3.14204375","156","3.14157375","156","3.14112975","156","3.14184275","156","3.140852","156","3.141655","156","156"
"50","3.14158275","161","3.14197225","161","3.141291","161","3.14193525","161","3.1416035","161","3.14224625","161","3.1412595","161","3.14072875","161","161"
"51","3.141555","159","3.14120025","159","3.14185375","159","3.141071","159","3.14191425","159","3.14127625","159","3.1410035","159","3.14246625","159","159"
"52","3.1418295","158","3.141938","158","3.140943","158","3.141799","158","3.14183125","158","3.1418995","158","3.1413715","158","3.14148425","158","158"
"53","3.1414915","156","3.1418435","156","3.14131675","156","3.141247","156","3.14164225","156","3.14127225","156","3.1416155","156","3.14188825","156","156"
"54","3.1421545","168","3.14136175","168","3.14116425","168","3.141313","168","3.14147325","168","3.141043","168","3.1414685","168","3.1413355","168","168"
"55","3.14198475","154","3.14122775","154","3.14135825","154","3.141463","154","3.14155125","154","3.1417935","154","3.141929","154","3.14178125","154","154"
"56","3.1417505","158","3.1423435","158","3.14166825","158","3.14218325","158","3.14133775","158","3.141793","158","3.14142375","158","3.1417405","158","160"
"57","3.14185225","161","3.14121075","161","3.14146575","161","3.14180475","161","3.14126325","161","3.14170275","161","3.14240725","161","3.14170475","161","161"
"58","3.142066","153","3.1420305","153","3.14160575","153","3.14203675","153","3.14187575","153","3.14171275","153","3.14148975","153","3.141055","153","156"
"59","3.14147725","156","3.14165325","156","3.142273","156","3.141849","156","3.14173625","156","3.142023","156","3.14127825","156","3.14170575","156","156"
"60","3.1418405","154","3.14109075","154","3.14180925","154","3.1418085","154","3.14148225","154","3.141387","154","3.141424","154","3.141675","154","154"
"61","3.142034","164","3.14194275","164","3.14146675","164","3.14086475","164","3.14139175","164","3.14112075","164","3.1416475","164","3.14189125","164","164"
"62","3.1414515","154","3.141407","154","3.1414915","154","3.1413045","154","3.14138075","154","3.14155125","154","3.1417105","154","3.14133","154","154"
"63","3.1412925","155","3.1412515","155","3.14179575","155","3.1414125","155","3.14088575","155","3.1410645","155","3.1421975","155","3.14244425","155","155"
"64","3.14181725","162","3.141391","162","3.1421245","162","3.142173","162","3.14144375","162","3.14075025","162","3.1413035","162","3.14173675","162","162"
"65","3.142141","155","3.14200875","155","3.14164275","155","3.141369","155","3.1412335","155","3.14124625","155","3.14170525","155","3.141803","155","155"
"66","3.1420295","156","3.1415835","156","3.14119175","156","3.141991","156","3.1417295","156","3.1421445","156","3.1418435","156","3.14148675","156","156"
"67","3.141329","161","3.14156875","161","3.1416625","161","3.141907","161","3.14100625","161","3.14142725","161","3.14137025","161","3.1416335","161","161"
"68","3.1413205","154","3.14232675","154","3.140936","154","3.141629","154","3.1414175","154","3.14203175","154","3.1416815","154","3.14185225","154","154"
"69","3.1410955","156","3.14134525","156","3.14143075","156","3.14176625","156","3.14199825","156","3.1418415","156","3.1419605","156","3.14112625","156","156"
"70","3.14184675","160","3.14143225","160","3.14089675","160","3.141366","160","3.14125525","160","3.1412725","160","3.1418015","160","3.14143275","160","160"
"71","3.14174375","160","3.14138175","160","3.14154275","160","3.14193675","160","3.1416155","160","3.140907","160","3.141992","160","3.14119825","160","160"
"72","3.14048375","156","3.14120925","156","3.141432","156","3.14137425","156","3.141527","156","3.141798","156","3.1412415","156","3.14164525","156","156"
"73","3.14161075","163","3.14128075","163","3.1414805","163","3.141509","163","3.14173575","163","3.142336","163","3.14156075","163","3.142055","163","163"
"74","3.14149025","157","3.14086375","157","3.14179925","157","3.141337","157","3.142382","157","3.14136825","157","3.141609","157","3.14163375","157","157"
"75","3.14185025","152","3.14165","152","3.1421275","152","3.140991","152","3.141732","152","3.14212","152","3.1411065","152","3.14165775","152","153"
"76","3.1415115","158","3.1419175","158","3.1414915","158","3.142144","158","3.142017","158","3.141179","158","3.14203125","158","3.14122225","158","158"
"77","3.142235","157","3.1416435","157","3.14153975","157","3.1413595","157","3.14167175","157","3.14153525","157","3.1417495","157","3.14192975","157","158"
"78","3.14166","167","3.14158925","167","3.14133625","167","3.14200625","167","3.14184","167","3.14178225","167","3.1409885","167","3.14191825","167","167"
"79","3.14129875","157","3.14177475","157","3.141083","157","3.14172725","157","3.141998","157","3.14097225","157","3.142011","157","3.14219575","157","157"
"80","3.14219325","151","3.14184375","151","3.14121","151","3.14161075","151","3.14174325","151","3.14180375","151","3.142823","151","3.141768","151","151"
"81","3.14228175","158","3.1417515","158","3.141717","158","3.14146575","158","3.14183425","158","3.14221275","158","3.1427455","158","3.1421795","158","158"
"82","3.14148325","156","3.14163675","156","3.14143975","156","3.1406035","156","3.1417285","156","3.14201225","156","3.1415925","156","3.1414175","156","156"
"83","3.14124675","160","3.14210675","160","3.1420815","160","3.141987","160","3.14169575","160","3.14237975","160","3.141745","160","3.14186075","160","160"
"84","3.14137375","155","3.1410755","155","3.14164025","155","3.14236075","155","3.14158675","155","3.14157075","155","3.1413105","155","3.141537","155","155"
"85","3.1406595","157","3.14127375","157","3.1418945","157","3.14167575","157","3.1414505","157","3.141788","157","3.142046","157","3.141173","157","157"
"86","3.14128475","158","3.14107","158","3.1418265","158","3.14171775","158","3.14112275","158","3.14140075","158","3.141081","158","3.1420505","158","159"
"87","3.14196675","163","3.1417015","163","3.1408625","163","3.1410495","163","3.14060775","163","3.14179125","163","3.14144675","163","3.1414215","163","164"
