"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Total Runtime (ms)"
"1","3.1421285","92","3404"
"2","3.1407665","98","98"
"3","3.14157675","132","132"
"4","3.1419995","135","135"
"5","3.14123075","117","118"
"6","3.14174925","40","40"
"7","3.14091725","36","36"
"8","3.141465","38","38"
"9","3.14149875","39","39"
"10","3.1425125","42","43"
"11","3.14160675","40","40"
"12","3.14108725","43","43"
"13","3.14153575","46","46"
"14","3.1412785","45","45"
"15","3.14187925","56","56"
"16","3.14160775","49","49"
"17","3.1417205","47","47"
"18","3.14125525","42","42"
"19","3.14142275","37","37"
"20","3.14239575","35","35"
"21","3.14071725","38","38"
"22","3.1420645","35","35"
"23","3.142217","36","36"
"24","3.14227975","61","61"
"25","3.1409775","43","43"
"26","3.142017","34","34"
"27","3.140778","31","31"
"28","3.14133375","60","60"
"29","3.1419355","37","37"
"30","3.140932","40","40"
"31","3.14118","33","33"
"32","3.141761","33","33"
"33","3.14170275","33","33"
"34","3.14190375","36","36"
"35","3.141072","35","35"
"36","3.14157425","33","33"
"37","3.14170475","37","37"
"38","3.14186725","36","36"
"39","3.14151","31","31"
"40","3.14156325","32","32"
"41","3.14163125","31","31"
"42","3.1410815","34","35"
"43","3.1410405","35","35"
"44","3.141299","36","36"
"45","3.14121575","30","30"
"46","3.14116625","32","32"
"47","3.14143225","37","37"
"48","3.141401","29","29"
"49","3.141626","35","35"
"50","3.14132375","32","32"
"51","3.1407495","32","32"
"52","3.14120175","39","39"
"53","3.14155125","37","37"
"54","3.14206525","34","34"
"55","3.14197775","37","37"
"56","3.140957","32","32"
"57","3.14123275","42","42"
"58","3.14168425","35","35"
"59","3.1401495","32","32"
"60","3.14103975","32","32"
"61","3.1419175","31","31"
"62","3.1416595","30","30"
"63","3.14084225","28","28"
"64","3.1415365","31","31"
"65","3.14192075","32","32"
"66","3.140684","36","36"
"67","3.1417145","30","30"
"68","3.14145875","31","31"
"69","3.14091625","30","30"
"70","3.14145875","30","30"
"71","3.14129375","44","44"
"72","3.1415475","32","32"
"73","3.14229225","33","33"
"74","3.14224825","34","34"
"75","3.14127675","32","32"
"76","3.14112875","30","30"
"77","3.141857","35","35"
"78","3.14092725","33","33"
"79","3.14111175","33","33"
"80","3.14176575","32","32"
"81","3.14126825","31","31"
"82","3.1416745","30","30"
"83","3.1418955","33","33"
"84","3.1417605","30","30"
"85","3.14136575","32","32"
"86","3.14085575","32","32"
"87","3.141422","28","28"
"88","3.14119125","32","32"
"89","3.14052875","31","31"
"90","3.14089475","31","31"
"91","3.141969","31","31"
"92","3.14163575","28","28"
"93","3.14205275","32","32"
"94","3.1418855","34","34"
"95","3.142193","29","29"
"96","3.14132875","30","30"
"97","3.14091575","33","33"
"98","3.14182025","33","33"
"99","3.141958","33","33"
"100","3.14112375","32","32"
