"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Total Runtime (ms)"
"1","3.141854","211","3.14215475","211","3.14192375","211","3.1413065","211","3.14146625","211","3.141516","211","3.14139325","211","3.14177","211","3.1424665","211","3.1414095","211","3.14123425","211","222"
"2","3.14181525","217","3.14104425","217","3.1415215","217","3.14179225","217","3.14167625","217","3.1415915","217","3.141357","217","3.1416475","217","3.14292825","217","3.1416205","217","3.14180825","217","218"
"3","3.1419325","209","3.14108675","209","3.14156825","209","3.14076525","209","3.141667","209","3.14123575","209","3.1416895","209","3.14186725","209","3.14151875","209","3.1420955","209","3.14172775","209","209"
"4","3.1417565","210","3.1420995","210","3.1414165","210","3.1414395","210","3.1413305","210","3.14133025","210","3.141858","210","3.141083","210","3.142007","210","3.14141025","210","3.14109625","210","210"
"5","3.1414565","212","3.141213","212","3.140853","212","3.14152925","212","3.1412325","212","3.14151375","212","3.14153","212","3.14185025","212","3.1418805","212","3.14115125","212","3.1418545","212","212"
"6","3.14198125","209","3.14097825","209","3.142816","209","3.14126","209","3.14135675","209","3.1416165","209","3.14217125","209","3.14131625","209","3.14163775","209","3.14157775","209","3.14141375","209","209"
"7","3.14214625","214","3.1416155","214","3.141874","214","3.1410645","214","3.14149725","214","3.142047","214","3.14219975","214","3.14225525","214","3.140992","214","3.141516","214","3.1418605","214","214"
"8","3.14212375","223","3.14151475","223","3.14156175","223","3.141926","223","3.14187125","223","3.14121025","223","3.14161075","223","3.14264325","223","3.142165","223","3.141206","223","3.14214325","223","224"
"9","3.141924","209","3.14092825","209","3.14174925","209","3.14206125","209","3.1416785","209","3.14180275","209","3.141737","209","3.14140375","209","3.14181775","209","3.14135725","209","3.141673","209","209"
"10","3.14142775","208","3.14106675","208","3.1415295","208","3.14196375","208","3.14156975","208","3.1414895","208","3.14118175","208","3.1413455","208","3.140509","208","3.14169625","208","3.14183675","208","208"
"11","3.14196225","215","3.14200325","215","3.1412495","215","3.14163975","215","3.14170375","215","3.14154675","215","3.14159975","215","3.14190575","215","3.14161275","215","3.14180325","215","3.14189525","215","215"
"12","3.1422925","212","3.1425065","212","3.1418525","212","3.141856","212","3.141242","212","3.14153725","212","3.14184125","212","3.14102825","212","3.1411935","212","3.14216725","212","3.14172675","212","212"
"13","3.14149325","230","3.14164025","230","3.142007","230","3.14180075","230","3.14145025","230","3.1415705","230","3.14173975","230","3.1418265","230","3.14206075","230","3.14122775","230","3.14243825","230","231"
"14","3.14071825","209","3.1417205","209","3.14123275","209","3.1427605","209","3.14150725","209","3.14224375","209","3.141354","209","3.1410305","209","3.14065275","209","3.1416045","209","3.14184375","209","209"
