"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.1422445","73","3.14145525","72","3.1424515","78","3.141602","81","3.1419383124999998","76","91"
"2","3.14135975","82","3.1412935","82","3.14175475","83","3.14138475","82","3.1414481875","82","83"
"3","3.140723","79","3.14180675","80","3.14116675","83","3.14191225","86","3.1414021874999998","82","86"
"4","3.14176","76","3.14154125","73","3.1423485","78","3.141475","77","3.1417811875","76","78"
"5","3.14145325","82","3.1417015","81","3.14234975","85","3.14077725","87","3.1415704374999995","83","87"
"6","3.1412055","74","3.14163175","82","3.14217575","84","3.1411205","77","3.141533375","79","84"
"7","3.142126","83","3.14211225","80","3.1416165","82","3.14180025","84","3.1419137499999996","82","84"
"8","3.1417815","79","3.1419495","76","3.1420475","81","3.1417995","78","3.1418945","78","81"
"9","3.14097825","79","3.14221575","82","3.1410425","81","3.14195725","75","3.1415484375","79","82"
"10","3.14146375","74","3.141437","75","3.14145825","82","3.14105325","82","3.1413530625","78","82"
"11","3.141288","75","3.14128","80","3.1416485","85","3.14146625","81","3.1414206875","80","85"
"12","3.14135225","82","3.14180225","76","3.14080975","83","3.1411405","82","3.1412761875000004","80","83"
"13","3.1419975","77","3.14162425","92","3.141581","95","3.1419795","92","3.1417955625","89","95"
"14","3.14149875","74","3.14182575","80","3.14189425","80","3.14124875","79","3.1416168749999995","78","80"
"15","3.1418555","73","3.14156275","78","3.14128575","81","3.14093625","78","3.1414100625000003","77","81"
"16","3.141043","79","3.1416855","84","3.14121375","90","3.14224075","87","3.1415457499999997","85","91"
"17","3.141586","77","3.141749","84","3.141891","75","3.14209325","84","3.1418298125","80","85"
"18","3.1417425","76","3.14138425","80","3.140756","80","3.141213","77","3.1412739375000003","78","80"
"19","3.1421695","78","3.14255025","81","3.14203075","84","3.14182","80","3.142142625","80","84"
"20","3.141527","80","3.14198925","80","3.14231275","87","3.141809","86","3.1419095","83","87"
"21","3.14205575","92","3.14129075","92","3.14223275","92","3.1408875","92","3.1416166875","92","92"
