"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14176975","156","3.14159875","163","3.14205425","246","3.14210925","243","3.14180175","246","3.14117775","236","3.14161525","252","3.1411305","252","3.141829","246","3.14172175","250","3.14184125","237","3.14150075","250","3.14134525","247","3.141653480769231","232","263"
"2","3.142257","126","3.14223275","180","3.1414215","193","3.141195","183","3.141892","166","3.14134575","180","3.1406385","240","3.140607","239","3.142078","229","3.140915","243","3.141497","236","3.14116675","245","3.141883","245","3.141471480769231","208","246"
"3","3.14130175","200","3.14160825","247","3.14116125","255","3.1416385","237","3.14208075","237","3.1412195","249","3.141313","243","3.14160675","237","3.1419455","252","3.141513","254","3.1418615","240","3.1414055","251","3.1418665","255","3.141578596153846","242","255"
"4","3.1421395","238","3.140779","207","3.14205","238","3.14163325","234","3.14137625","247","3.1418465","214","3.141987","237","3.14113425","246","3.14146225","243","3.1416145","234","3.14143","241","3.14107025","214","3.14066","246","3.141475596153846","233","247"
"5","3.14242525","204","3.14157175","237","3.14130125","243","3.141257","251","3.14181325","243","3.14221025","245","3.14204725","249","3.14188975","217","3.142372","247","3.14152225","243","3.1413775","243","3.1417985","243","3.14165725","246","3.141787942307692","239","251"
"6","3.141972","242","3.1421735","241","3.1417215","245","3.14144025","240","3.1410995","243","3.14137225","243","3.141623","242","3.14123975","239","3.1409785","239","3.141919","239","3.141249","233","3.14179625","247","3.14072025","239","3.141484980769231","240","247"
"7","3.1421375","197","3.14181775","228","3.1414945","240","3.14119825","244","3.14094375","249","3.14163825","245","3.141829","244","3.14190525","244","3.14215475","244","3.14199775","240","3.1419775","244","3.1421265","244","3.1413995","245","3.1417400192307694","239","249"
"8","3.1417925","191","3.141509","243","3.1416915","245","3.14127625","249","3.14170375","243","3.1415595","247","3.1417475","247","3.140787","243","3.14243825","234","3.14169425","247","3.14071625","234","3.1420105","241","3.14113075","246","3.1415428461538464","239","249"
"9","3.14202075","186","3.141527","256","3.1412015","242","3.14074175","246","3.1407965","250","3.14176375","249","3.14137575","248","3.141408","248","3.14145375","248","3.1413025","221","3.1421625","226","3.1418505","223","3.140917","223","3.141424711538461","235","256"
"10","3.141795","223","3.1417265","244","3.14172875","222","3.141601","239","3.141471","237","3.1407265","237","3.14170625","246","3.14111775","240","3.141807","239","3.14122525","237","3.14170575","209","3.140648","246","3.14112375","246","3.141414038461538","235","247"
