"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"50","3.141454","101","3.141859","95","3.14126675","101","3.14169125","102","3.1411725","101","3.1414887","100","102"
"51","3.14167625","91","3.14171","93","3.14150775","92","3.14202525","101","3.141715","99","3.14172685","95","101"
"52","3.14132525","97","3.142357","103","3.14121525","94","3.142269","103","3.14161775","101","3.14175685","99","103"
"53","3.14117925","97","3.14217175","96","3.14113725","96","3.14132425","96","3.14177925","99","3.1415183499999997","96","99"
"54","3.1413925","99","3.14153475","103","3.14164725","99","3.141782","99","3.14195425","104","3.14166215","100","104"
"55","3.14194125","97","3.14105425","87","3.14127075","100","3.141469","97","3.141696","97","3.14148625","95","100"
"56","3.14172175","111","3.14146975","105","3.14193675","110","3.1417305","101","3.14137525","109","3.1416467999999997","107","111"
"57","3.1412465","94","3.14118125","97","3.14145825","94","3.1413945","96","3.1417655","94","3.1414092","95","97"
"58","3.1408315","97","3.14111175","96","3.14077875","103","3.14159775","101","3.14186525","94","3.141237","98","103"
"59","3.1412385","101","3.1422685","100","3.14158525","100","3.14203625","102","3.14166425","104","3.14175855","101","104"
"60","3.14196175","97","3.14219275","94","3.14122325","96","3.14139525","87","3.14242175","98","3.14183895","94","98"
"61","3.14163975","108","3.14189375","108","3.14182525","119","3.141404","106","3.14174575","114","3.1417017","111","119"
"62","3.14123625","99","3.141293","101","3.1417625","88","3.14172375","96","3.140703","98","3.1413437","96","101"
"63","3.14133425","97","3.14171725","88","3.14192475","102","3.14091525","102","3.14162525","90","3.14150335","95","103"
"64","3.14153075","99","3.14099125","86","3.14129825","99","3.141152","99","3.1416715","97","3.1413287500000004","96","99"
"65","3.14125575","96","3.1412545","96","3.14191875","98","3.14141225","99","3.141604","101","3.1414890499999997","98","101"
"66","3.14158975","95","3.1415115","100","3.14111","104","3.14187475","110","3.14164575","106","3.1415463499999996","103","110"
"67","3.1422015","93","3.14123375","93","3.14153475","99","3.14219825","97","3.14093675","95","3.1416209999999998","95","99"
"68","3.14137725","88","3.14150275","90","3.14190425","99","3.141613","99","3.1412245","103","3.14152435","95","103"
"69","3.1412805","91","3.14176125","94","3.1418385","101","3.1421995","92","3.1420575","95","3.14182745","94","101"
