"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"24","3.14159575","255","3.14187225","253","3.141381","224","3.1416615","252","3.14161075","253","3.1412835","255","3.1413215","243","3.141821","253","3.14177175","262","3.141665","252","3.1414995","255","3.14121275","254","3.14186925","258","3.14166725","258","3.1415880535714282","251","264"
"25","3.14127025","204","3.14118425","260","3.14149525","258","3.1414395","258","3.14136975","238","3.141295","255","3.141326","258","3.141379","255","3.1421595","265","3.141681","259","3.14122025","269","3.1421565","268","3.141243","259","3.14122175","269","3.1414600714285714","255","270"
"26","3.141968","270","3.14137325","242","3.142057","262","3.142033","262","3.14139925","268","3.1417005","234","3.14123775","268","3.141759","261","3.14171125","263","3.141796","274","3.14156775","265","3.14148275","261","3.14135775","271","3.140927","265","3.1415978749999995","261","274"
"27","3.14132075","79","3.1417785","222","3.14123375","266","3.14112675","249","3.1414375","253","3.14166325","259","3.14124125","266","3.14107275","264","3.14259125","249","3.14182425","266","3.14164975","254","3.141288","264","3.1419595","256","3.14257","259","3.141625517857143","243","266"
"28","3.141816","123","3.1419965","259","3.1414815","256","3.1417985","257","3.1420455","261","3.1415545","253","3.14173","255","3.14197125","262","3.1413445","229","3.14147575","249","3.1411155","255","3.141674","229","3.141092","262","3.14052975","263","3.1415446607142856","243","264"
"29","3.14158525","256","3.141697","258","3.14135825","258","3.14216725","254","3.1412415","264","3.141165","255","3.1418185","256","3.14136125","267","3.141953","266","3.14124175","262","3.14141625","267","3.14157525","268","3.1407795","268","3.1404645","256","3.141416017857143","261","268"
"30","3.14116925","257","3.141385","257","3.14207775","257","3.14207075","247","3.14126475","269","3.14142125","262","3.14166225","264","3.141932","266","3.14173425","257","3.14202325","258","3.14197","257","3.14174175","266","3.1423355","257","3.1424455","257","3.141802375","259","269"
"31","3.14173325","144","3.14223625","171","3.1416675","214","3.14116075","257","3.1414775","227","3.1413725","244","3.14140725","261","3.141257","251","3.141709","261","3.14198625","258","3.141936","257","3.1408425","255","3.14155375","261","3.141254","265","3.141542392857142","237","266"
"32","3.14142125","125","3.14185075","181","3.14215525","268","3.1414675","264","3.14255425","262","3.14165525","248","3.14180675","263","3.14133075","257","3.14173675","256","3.14154375","262","3.14128825","255","3.1413095","255","3.14195475","263","3.1410535","251","3.1416520178571425","243","268"
"33","3.1422275","253","3.142401","271","3.1414275","271","3.14169225","275","3.141447","273","3.14178175","275","3.142463","269","3.141723","279","3.14185375","269","3.141647","253","3.14208275","281","3.141484","269","3.141492","269","3.1412175","278","3.141781428571428","270","281"
"34","3.14078725","225","3.141708","215","3.1411085","231","3.14145025","205","3.14156725","255","3.1411225","254","3.1413695","254","3.142149","228","3.14193575","268","3.14125125","264","3.14161475","270","3.14221675","263","3.14137","268","3.14134175","261","3.141499464285715","247","270"
"35","3.14189275","211","3.14114225","256","3.141829","264","3.142188","255","3.14121725","251","3.142184","254","3.141522","261","3.141696","264","3.14156825","265","3.141541","251","3.14119275","251","3.14106125","262","3.14130325","251","3.14147025","244","3.1415577142857143","252","265"
"36","3.14139275","209","3.14193875","257","3.1409685","264","3.14147925","267","3.14150375","222","3.141836","265","3.141928","262","3.14086175","257","3.14160525","262","3.1414815","257","3.1414145","269","3.14095125","257","3.142222","258","3.14176075","266","3.141524571428572","255","269"
"37","3.14171075","259","3.141744","256","3.141068","259","3.14204025","219","3.14149","260","3.1415015","256","3.14140525","263","3.14133375","271","3.14212275","257","3.141417","270","3.140687","271","3.14142975","265","3.1416325","263","3.14156275","246","3.141510375","258","271"
"38","3.141682","224","3.14195925","231","3.142061","259","3.14108775","263","3.1412965","254","3.14254425","258","3.14095875","244","3.1410045","264","3.14169525","266","3.141968","257","3.1417575","263","3.1418125","259","3.14186525","265","3.141293","244","3.1416418214285713","253","266"
"39","3.14208125","257","3.14139775","263","3.141197","244","3.1414905","257","3.14134375","261","3.141625","259","3.14157225","256","3.14100475","261","3.14141475","261","3.1421355","257","3.1421095","244","3.141072","265","3.142407","254","3.1422795","234","3.141652178571429","255","265"
"40","3.1419615","261","3.14114825","163","3.14151925","253","3.14130525","242","3.14158275","263","3.14186975","253","3.140686","255","3.141434","255","3.14188925","258","3.142404","252","3.141439","258","3.141785","255","3.141293","260","3.141347","243","3.141547428571428","247","263"
"41","3.1419975","258","3.1412175","257","3.141995","264","3.1417435","257","3.141189","212","3.14190725","263","3.141148","268","3.14151475","257","3.14174175","254","3.141588","260","3.1420355","267","3.14130925","257","3.14200525","270","3.1418625","266","3.1416610535714287","257","270"
"42","3.14163575","264","3.14152275","266","3.14103175","254","3.14080475","241","3.1419545","244","3.14182275","250","3.1413965","257","3.14146525","254","3.1412375","264","3.14189","265","3.1416185","262","3.1425525","248","3.14165175","262","3.140985","257","3.1415406607142855","256","266"
"43","3.14149875","208","3.14114925","257","3.141745","231","3.141332","253","3.141417","264","3.1420415","257","3.141157","260","3.141772","257","3.142753","235","3.14185425","252","3.14207575","257","3.14134","259","3.14171975","251","3.14167175","257","3.1416805","249","264"
"44","3.14130075","211","3.141895","255","3.1412355","261","3.14081875","251","3.1409935","253","3.14186075","250","3.14186125","262","3.141778","264","3.14164975","255","3.14189825","253","3.1422345","262","3.1416985","262","3.1420615","224","3.14141","254","3.1416211428571423","251","264"
"45","3.14219275","256","3.1415065","265","3.1419015","271","3.14161125","265","3.1413045","265","3.141871","256","3.1409505","256","3.14132975","256","3.14121225","260","3.1413495","269","3.14154475","270","3.14133675","265","3.1421705","256","3.14161675","256","3.1415641607142852","261","271"
"46","3.14170975","251","3.142145","264","3.141627","261","3.14095525","265","3.14145975","258","3.14126825","251","3.141607","211","3.14161225","254","3.14073625","265","3.1414415","261","3.1414965","256","3.14128475","259","3.141723","252","3.1413585","252","3.1414589107142854","254","266"
"47","3.14090875","261","3.14194825","260","3.14217575","242","3.14053025","262","3.14174775","262","3.1419905","266","3.1413365","260","3.1414265","264","3.142023","261","3.14113","232","3.1418975","262","3.141387","260","3.14232975","260","3.1413215","260","3.141582357142858","258","267"
"48","3.141315","195","3.14215875","254","3.14165575","260","3.14222875","248","3.14124725","264","3.14164275","241","3.141004","254","3.14202025","244","3.14137775","261","3.141085","263","3.14050025","252","3.1417925","252","3.14066375","262","3.141659","257","3.141453625","250","264"
"49","3.141594","238","3.1415875","231","3.1417455","268","3.14184825","259","3.141606","247","3.1416535","268","3.14134975","274","3.14147625","261","3.1420475","263","3.141524","264","3.14173775","263","3.14200925","274","3.1404105","262","3.141164","259","3.141553839285714","259","277"
"50","3.14181525","276","3.14186","276","3.14165425","241","3.142274","270","3.14149575","266","3.14183075","265","3.14192275","255","3.14091","274","3.142331","272","3.14192825","274","3.14199275","255","3.14139475","263","3.1419685","249","3.14186325","263","3.141802946428571","264","276"
"51","3.14182","250","3.14140725","256","3.1411395","269","3.14157225","270","3.14199225","268","3.14168925","269","3.141817","269","3.1410825","270","3.141577","269","3.14201825","275","3.14247","268","3.141882","267","3.14266725","272","3.14214","268","3.1418053214285715","267","275"
"52","3.14158825","140","3.142054","133","3.14208125","258","3.14196275","243","3.14179275","269","3.140808","260","3.141661","260","3.141902","267","3.1423855","247","3.14142725","269","3.14151425","267","3.141194","268","3.14092075","269","3.140794","263","3.141577553571429","243","273"
