"Job Count","Average Result","Average Job Runtime (ms)","Average Total Runtime (ms)"
"1","3.1415822899999983","38","69"
"2","3.141587399999998","47","50"
"3","3.141633423333334","64","66"
"4","3.141604615625001","81","85"
"5","3.1416077449999977","99","104"
"6","3.1415962700000004","116","121"
"7","3.1415822017857153","133","140"
"8","3.141606647187499","149","157"
"9","3.141580612222222","166","175"
"10","3.1416065347500006","186","196"
"11","3.141592949545456","204","215"
"12","3.141588612708334","220","233"
"13","3.141594391730769","240","254"
"14","3.141598171785714","254","269"
"15","3.1415811651666674","270","286"
"16","3.1416091217187483","287","307"
