"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"35","3.14112775","170","3.14135875","160","3.141813","167","3.1417345","167","3.140969","169","3.14185775","168","3.14186375","168","3.141947","166","3.1412995","169","3.1415523333333333","167","171"
"36","3.14159125","165","3.14202425","176","3.1414785","173","3.14167375","173","3.1414855","174","3.14188675","173","3.14224875","173","3.1417965","174","3.14193775","163","3.141791444444445","171","176"
"37","3.1417125","146","3.1416275","169","3.140922","171","3.14152475","168","3.14186475","165","3.141365","165","3.14231025","168","3.14141225","170","3.1412505","167","3.141554388888889","165","171"
"38","3.1415985","141","3.141328","141","3.14195025","186","3.14119975","182","3.14149025","184","3.14156825","184","3.14089825","184","3.1410005","180","3.1410955","185","3.1413476944444443","174","186"
"39","3.142522","168","3.1419625","172","3.141958","163","3.1412075","163","3.14185075","162","3.14149975","163","3.14109125","166","3.141106","169","3.141611","170","3.141645416666667","166","172"
"40","3.141618","160","3.1417705","170","3.1416695","172","3.14164625","163","3.141683","163","3.141954","169","3.141872","163","3.141238","174","3.14173325","169","3.141687166666667","167","174"
"41","3.1413055","162","3.14167375","162","3.1412775","172","3.14129825","173","3.1411335","176","3.141534","166","3.14209875","160","3.1414165","171","3.14150875","162","3.141471833333333","167","176"
"42","3.14046775","167","3.14132775","172","3.14172675","172","3.14143925","168","3.1422195","173","3.14204175","173","3.14182075","168","3.14118075","171","3.141858","172","3.1415646944444444","170","173"
"43","3.14203175","106","3.141187","170","3.14146725","171","3.1415785","170","3.14156625","147","3.14169675","170","3.14107475","164","3.14163325","170","3.14159675","171","3.141536916666667","159","172"
"44","3.14174925","163","3.141701","172","3.14103925","174","3.141103","173","3.14183375","175","3.140964","168","3.141173","174","3.141942","168","3.1417275","162","3.141470305555556","169","175"
"45","3.1415745","151","3.141471","165","3.1413085","174","3.14100575","164","3.142076","175","3.1413445","169","3.1415135","162","3.14200225","169","3.14111125","171","3.141489694444444","166","175"
"46","3.1417945","144","3.14153325","144","3.14193075","137","3.14138025","117","3.14157675","175","3.14125625","171","3.142181","171","3.1408525","172","3.14215575","171","3.141629","155","176"
"47","3.141963","165","3.14187425","166","3.14186375","170","3.14137975","160","3.14220125","170","3.14212275","161","3.14194675","160","3.14159325","160","3.1418455","164","3.141865583333333","164","170"
"48","3.14144825","176","3.14130825","163","3.1410615","163","3.14197875","173","3.14095875","171","3.14134125","168","3.14113975","177","3.141266","176","3.1417115","175","3.1413571111111107","171","177"
"49","3.141444","170","3.14219625","171","3.1415665","156","3.14170225","170","3.14176825","172","3.14119275","173","3.14166975","167","3.14120825","170","3.14111775","170","3.141540638888889","168","173"
"50","3.140711","190","3.14219575","182","3.14195375","182","3.142168","179","3.1419025","190","3.141934","182","3.1413875","192","3.1419795","185","3.141275","179","3.1417230000000007","184","192"
"51","3.14112125","110","3.1417095","159","3.14069775","159","3.141875","171","3.14146925","172","3.14145925","159","3.141798","165","3.14192375","170","3.14183675","156","3.141543388888889","157","172"
"52","3.14059425","131","3.14166775","169","3.141282","169","3.141184","170","3.14120775","173","3.140916","166","3.141754","169","3.141572","169","3.141263","165","3.1412711944444442","164","173"
"53","3.14115375","139","3.1409235","161","3.14196625","168","3.1418635","173","3.14194625","164","3.141586","161","3.1419665","169","3.1403705","166","3.14135825","171","3.1414593888888884","163","173"
"54","3.141831","176","3.14077825","171","3.141362","176","3.1417715","177","3.141412","168","3.1416675","179","3.1413755","180","3.14138575","168","3.1414805","168","3.1414515555555558","173","180"
"55","3.14147925","164","3.142406","167","3.1413665","169","3.141907","160","3.14199525","168","3.14067025","167","3.14256775","166","3.14139125","168","3.14135025","161","3.1416815","165","169"
"56","3.1411125","103","3.141622","175","3.1423495","178","3.14183375","177","3.14085775","170","3.14151125","178","3.14182025","164","3.14158525","178","3.141853","175","3.141616138888889","166","178"
"57","3.14227825","163","3.1405685","163","3.14233825","149","3.1422375","172","3.14124775","173","3.14233825","169","3.140986","169","3.14214275","169","3.142448","169","3.141842805555555","166","173"
"58","3.14123525","162","3.14233675","172","3.14173675","162","3.14122125","167","3.14130525","167","3.141062","172","3.14245425","156","3.141399","162","3.1411765","162","3.1415474444444444","164","172"
"59","3.141908","142","3.1417715","142","3.1415415","147","3.14124125","147","3.14203725","147","3.14114","170","3.14210975","170","3.1413405","168","3.14208875","168","3.1416865000000005","155","170"
"60","3.1418375","158","3.14193125","176","3.14166225","175","3.1417495","175","3.141351","175","3.14132975","180","3.141813","176","3.142238","168","3.14167075","178","3.141731444444444","173","180"
"61","3.14229075","160","3.14132675","161","3.14132125","170","3.1415685","169","3.141639","172","3.14198875","169","3.141428","160","3.14122775","167","3.14121325","168","3.1415559999999996","166","172"
"62","3.1413035","184","3.14141275","185","3.1410505","178","3.1411085","189","3.142243","182","3.14175975","182","3.141514","182","3.14141625","183","3.141637","192","3.1414939166666667","184","192"
"63","3.14144925","170","3.14161025","165","3.141919","159","3.14134275","164","3.14052525","169","3.1410835","170","3.14192575","169","3.14165675","148","3.1412545","166","3.141418555555555","164","170"
"64","3.1409025","78","3.141317","164","3.141416","165","3.14186775","168","3.1420275","174","3.1416575","175","3.140989","166","3.14222425","169","3.14133925","169","3.14152675","158","175"
"65","3.1419395","157","3.14226025","160","3.14151825","164","3.14192725","164","3.14155525","164","3.14178725","174","3.142226","160","3.14209575","170","3.1418395","171","3.1419054444444448","164","174"
"66","3.14162475","168","3.14147225","170","3.1414665","181","3.14180375","158","3.1421085","184","3.14169375","181","3.141521","179","3.14147725","138","3.1420025","181","3.1416855833333335","171","184"
"67","3.141571","167","3.14136375","170","3.142112","178","3.14124575","184","3.14153425","179","3.14068975","174","3.142077","174","3.14135625","167","3.14201775","185","3.1415519444444446","175","185"
"68","3.14199275","168","3.14166525","168","3.141614","169","3.1419315","175","3.142205","178","3.14157075","170","3.14126025","176","3.142226","177","3.141677","168","3.1417936111111118","172","178"
"69","3.140682","39","3.14258625","172","3.14127325","172","3.141576","183","3.1415685","181","3.1414235","179","3.14135975","172","3.141441","180","3.14122975","178","3.1414600000000004","161","184"
"70","3.14214025","166","3.14187675","171","3.14201125","174","3.14159725","172","3.141949","166","3.1412525","168","3.14136125","168","3.141074","165","3.1423755","162","3.1417375277777775","168","174"
"71","3.1414625","167","3.14141225","172","3.14135625","173","3.14086575","166","3.14111475","171","3.14124025","169","3.1415215","166","3.14158725","172","3.14180175","171","3.141373583333333","169","173"
"72","3.1412925","134","3.1408015","134","3.141501","165","3.14154575","147","3.1411895","164","3.1419755","164","3.14155675","171","3.141804","173","3.141526","165","3.141465833333333","157","175"
"73","3.141978","177","3.14177025","169","3.1413345","165","3.14163475","175","3.14052825","169","3.14135825","177","3.14098375","173","3.1412285","169","3.14154975","173","3.1413740000000003","171","177"
"74","3.141668","174","3.1409835","173","3.141554","167","3.14182525","172","3.14194675","166","3.14099875","169","3.143116","170","3.1421055","167","3.14216925","166","3.141818555555555","169","174"
"75","3.14177925","160","3.141466","171","3.14186","166","3.14153075","173","3.142212","172","3.14115525","165","3.1407195","164","3.1408355","160","3.1418855","171","3.1414937500000004","166","173"
"76","3.14151775","160","3.141366","168","3.14124875","167","3.14143075","171","3.1407475","170","3.14105175","173","3.141254","164","3.14201375","159","3.141677","150","3.1413674722222225","164","174"
"77","3.1416005","109","3.14163625","112","3.1410595","168","3.1414495","171","3.14114175","175","3.140864","161","3.1417465","169","3.141414","171","3.14163275","166","3.141393861111111","155","176"
"78","3.1411435","178","3.141192","178","3.14111175","178","3.1418515","178","3.14142825","178","3.14139425","178","3.14084375","178","3.14103475","178","3.14153475","178","3.1412816111111113","178","178"
"79","3.14081","165","3.141025","154","3.14120575","171","3.14145","175","3.141137","181","3.1418","179","3.1414955","175","3.14127175","175","3.1415635","176","3.1413065000000007","172","181"
"80","3.1409595","159","3.141837","159","3.141743","175","3.14132325","171","3.1414815","175","3.141545","164","3.14170725","160","3.141742","173","3.14162275","171","3.14155125","167","175"
"81","3.14148225","171","3.1418885","173","3.1412135","167","3.14137275","164","3.14150525","171","3.1413375","175","3.142123","172","3.1420635","171","3.14259875","170","3.141731666666667","170","175"
"82","3.14135025","176","3.14135775","178","3.1416865","180","3.14263125","172","3.14223275","172","3.1420425","172","3.14179325","177","3.1416865","179","3.141321","171","3.1417890833333333","175","180"
"83","3.14209175","163","3.14173125","172","3.14143075","167","3.1410485","172","3.14142","167","3.1413175","169","3.14160375","167","3.14148175","174","3.14153025","167","3.1415172777777776","168","174"
"84","3.1412815","163","3.14161925","177","3.1419235","172","3.14159075","177","3.1418735","167","3.14105925","167","3.14171675","175","3.14171225","171","3.1416755","177","3.141605805555556","171","178"
"85","3.141202","142","3.142251","146","3.14184375","181","3.14129425","171","3.140791","167","3.14136575","178","3.1417535","173","3.1424665","171","3.14193725","177","3.1416561111111108","167","181"
"86","3.141992","166","3.141939","167","3.1415895","165","3.141244","168","3.14142625","166","3.14211775","165","3.1413685","172","3.141531","157","3.1415345","165","3.141638055555555","165","172"
"87","3.141477","171","3.141481","165","3.14209575","172","3.1421115","165","3.1416315","172","3.14149375","161","3.141523","165","3.14159625","169","3.1416195","169","3.1416699166666664","167","172"
"88","3.14134675","164","3.141578","174","3.14234325","169","3.142152","175","3.1421145","167","3.14161875","172","3.1422015","169","3.1416555","173","3.14176325","169","3.141863722222222","170","175"
"89","3.14170075","160","3.1419825","137","3.1413545","169","3.1413955","166","3.14133675","160","3.14158125","164","3.14160825","171","3.141884","167","3.14250125","168","3.1417049722222226","162","171"
"90","3.14242825","124","3.14183325","161","3.1415545","171","3.141612","171","3.1417275","162","3.141529","172","3.14191","176","3.1419535","145","3.14107075","174","3.1417354166666667","161","176"
"91","3.14240725","165","3.14146425","175","3.14144875","165","3.1410525","176","3.141634","167","3.14139725","168","3.141368","176","3.1416905","176","3.14219675","165","3.1416288055555555","170","176"
"92","3.14130775","169","3.14181725","170","3.1411565","158","3.142132","174","3.14154125","172","3.1410405","171","3.14168175","165","3.1406865","169","3.1423575","158","3.1415245555555553","167","174"
"93","3.14176825","127","3.14174225","117","3.14214275","127","3.140623","169","3.14101725","165","3.141449","164","3.1415575","164","3.14198825","167","3.140927","171","3.1414683611111114","152","171"
"94","3.140977","159","3.141151","175","3.1418645","174","3.140956","168","3.142091","176","3.142211","174","3.14168675","171","3.142047","165","3.1414255","174","3.141601083333333","170","176"
"95","3.141479","184","3.140852","187","3.141111","181","3.14137575","187","3.14276925","184","3.14166825","171","3.14097075","171","3.1418475","179","3.1409205","179","3.141443777777778","180","190"
"96","3.142013","171","3.14220625","165","3.14148875","169","3.14167725","159","3.141877","172","3.14194325","172","3.14226125","158","3.14176425","159","3.1420585","163","3.141921055555556","165","172"
"97","3.14118725","163","3.1412255","163","3.14217825","175","3.141417","164","3.14218225","172","3.14155225","172","3.14092775","175","3.14138825","162","3.14175525","173","3.141534861111111","168","175"
"98","3.14175275","120","3.14188475","137","3.14130325","138","3.1417025","137","3.141422","173","3.141779","172","3.14201225","158","3.1412105","176","3.14157925","174","3.1416273611111114","153","176"
"99","3.1422135","169","3.14128775","165","3.14123","164","3.1416055","169","3.14085225","167","3.141293","164","3.1417115","164","3.14179475","169","3.140894","173","3.141431361111111","167","173"
"100","3.1413745","179","3.141446","176","3.1410665","166","3.141654","175","3.14186775","179","3.1414105","171","3.1411735","170","3.141452","179","3.14241725","176","3.1415402222222224","174","179"
"Averages","3.1415757975000016","154","3.14155566","165","3.141594267500001","167","3.1415883699999996","168","3.1415740574999997","170","3.141544225","170","3.141616732499999","169","3.1415740575","169","3.1416023425","170","3.141580612222222","166","175"
