"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.1425795","112","3.140967","147","3.14192775","142","3.14195325","154","3.14177875","153","3.1417355","155","3.14128125","149","3.1418185","140","3.1417551875","144","167"
"2","3.141559","136","3.14170475","136","3.14156075","136","3.1419075","135","3.1417395","159","3.1427","153","3.14081625","160","3.140754","162","3.14159271875","147","163"
"3","3.1412355","148","3.1415235","156","3.142299","148","3.14140025","152","3.14194575","147","3.14181625","156","3.14118425","149","3.1410425","148","3.141555875","150","156"
"4","3.14185575","152","3.1423525","113","3.14120875","153","3.14131225","154","3.1416255","153","3.14209475","157","3.1416305","160","3.1416535","157","3.1417166875","149","160"
"5","3.141559","147","3.141929","157","3.1417","150","3.14098025","147","3.14179825","159","3.1413975","141","3.141462","150","3.14146675","153","3.14153659375","150","159"
"6","3.14196375","148","3.14167675","150","3.1423735","152","3.14179375","150","3.1412195","150","3.14202575","152","3.141911","148","3.14197175","153","3.14186696875","150","153"
"7","3.14130825","155","3.14148925","155","3.141927","155","3.142107","148","3.14190125","147","3.1424855","155","3.1417115","156","3.141783","155","3.14183909375","153","156"
"8","3.14153225","153","3.141579","147","3.14151","155","3.14151875","153","3.1412975","149","3.14168325","149","3.140681","141","3.141651","154","3.1414315937499997","150","155"
"9","3.1411705","156","3.1408875","155","3.14136","150","3.14114025","150","3.142275","146","3.1406865","155","3.14149725","153","3.14191475","150","3.1413664687500003","151","156"
"10","3.141765","152","3.141673","152","3.1414465","166","3.14171225","152","3.141386","151","3.1412665","152","3.14124475","154","3.1411395","152","3.1414541875","153","167"
"11","3.1418755","146","3.14127425","155","3.14137675","146","3.1416785","156","3.141081","154","3.14172225","147","3.1417275","157","3.14242275","158","3.1416448125","152","158"
