"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"33","3.14191475","44","3.141514","43","3.1417143750000003","43","45"
"34","3.1407795","44","3.14074725","52","3.1407633749999997","48","52"
"35","3.14152425","45","3.140984","46","3.1412541249999997","45","46"
"36","3.1417025","47","3.1414875","48","3.141595","47","50"
"37","3.140967","47","3.1416875","47","3.14132725","47","47"
"38","3.141705","41","3.1419205","47","3.1418127499999997","44","47"
"39","3.142106","46","3.1416155","46","3.14186075","46","46"
"40","3.14127325","44","3.1418475","44","3.141560375","44","44"
"41","3.1412075","45","3.142086","46","3.14164675","45","46"
"42","3.14155075","34","3.141523","46","3.141536875","40","46"
"43","3.14135475","43","3.14202675","47","3.14169075","45","47"
"44","3.14128725","51","3.140746","45","3.141016625","48","51"
"45","3.141827","42","3.14198975","44","3.141908375","43","44"
"46","3.14114275","48","3.1410815","50","3.1411121250000003","49","50"
"47","3.14171825","54","3.1418835","53","3.141800875","53","54"
"48","3.14153875","45","3.14097325","46","3.1412560000000003","45","46"
"49","3.141282","50","3.142161","50","3.1417215","50","50"
"50","3.1418655","56","3.141674","58","3.14176975","57","58"
"51","3.14191275","48","3.14160325","42","3.1417580000000003","45","48"
"52","3.1420195","41","3.141036","46","3.14152775","43","46"
"53","3.141468","45","3.141753","45","3.1416105","45","45"
"54","3.141365","44","3.14173175","45","3.141548375","44","45"
"55","3.141439","42","3.1415725","51","3.1415057500000003","46","51"
"56","3.14140675","43","3.14160075","43","3.14150375","43","43"
"57","3.14238775","48","3.141724","51","3.142055875","49","51"
"58","3.1412885","42","3.141793","48","3.14154075","45","48"
"59","3.14098925","37","3.14119325","46","3.14109125","41","46"
"60","3.1412085","44","3.14154925","44","3.141378875","44","44"
"61","3.1414895","46","3.141222","48","3.14135575","47","48"
"62","3.14152875","42","3.14152575","43","3.14152725","42","43"
"63","3.141316","44","3.141477","43","3.1413965","43","44"
"64","3.140994","46","3.14132925","43","3.141161625","44","46"
"65","3.1417945","45","3.1414215","48","3.1416079999999997","46","48"
"66","3.14121575","47","3.14169625","44","3.141456","45","47"
"67","3.1416785","52","3.1417325","53","3.1417054999999996","52","53"
"68","3.1415145","50","3.1418185","52","3.1416665","51","52"
"69","3.1406955","48","3.141841","48","3.14126825","48","48"
"70","3.1414865","51","3.14178575","49","3.141636125","50","51"
"71","3.1418255","43","3.1421595","53","3.1419924999999997","48","53"
"72","3.140961","44","3.1422065","49","3.1415837499999997","46","49"
"73","3.1413405","40","3.1426325","47","3.1419865","43","47"
"74","3.141681","44","3.14102975","47","3.141355375","45","47"
"75","3.142323","42","3.14166325","47","3.141993125","44","48"
"76","3.14220525","53","3.1414945","52","3.141849875","52","53"
"77","3.14128075","43","3.141996","48","3.141638375","45","48"
"78","3.141125","45","3.141822","44","3.1414735","44","45"
"79","3.141606","49","3.142446","51","3.142026","50","51"
"80","3.142349","49","3.1414035","51","3.14187625","50","51"
"81","3.141819","43","3.142069","45","3.1419439999999996","44","45"
"82","3.14150925","44","3.14182375","47","3.1416665","45","48"
"83","3.14169275","42","3.142151","46","3.141921875","44","46"
"84","3.14140375","46","3.14154325","44","3.1414735","45","46"
"85","3.142042","40","3.141428","46","3.1417349999999997","43","46"
"86","3.1410975","46","3.14187075","46","3.141484125","46","46"
"87","3.14144275","46","3.14186325","46","3.141653","46","46"
"88","3.14139525","47","3.14061675","51","3.141006","49","51"
"89","3.141525","60","3.14117725","62","3.141351125","61","62"
"90","3.141674","55","3.141616","56","3.141645","55","56"
"91","3.14222475","44","3.14101725","45","3.1416209999999998","44","46"
"92","3.14145425","46","3.141543","48","3.1414986249999997","47","48"
"93","3.14169275","41","3.14161325","49","3.141653","45","49"
"94","3.14221925","48","3.141246","50","3.1417326250000004","49","50"
"95","3.14060625","44","3.142541","46","3.141573625","45","46"
"96","3.142123","46","3.14169225","46","3.141907625","46","47"
"97","3.141149","39","3.14159325","44","3.141371125","41","44"
"98","3.14151","45","3.14219875","44","3.141854375","44","45"
"99","3.14161025","46","3.14145175","43","3.1415309999999996","44","46"
"100","3.141924","56","3.14157975","53","3.1417518749999997","54","56"
"Averages","3.1415484725","46","3.1416263275","49","3.141587399999998","47","50"
