"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14214075","87","3.14214075","87","3118"
"2","3.14120525","112","3.14120525","112","112"
"3","3.1414465","131","3.1414465","131","131"
"4","3.140868","110","3.140868","110","110"
"5","3.14126725","94","3.14126725","94","94"
"6","3.14196825","60","3.14196825","60","60"
"7","3.14140375","39","3.14140375","39","39"
"8","3.14128625","40","3.14128625","40","40"
"9","3.1415915","36","3.1415915","36","36"
"10","3.141192","42","3.141192","42","42"
"11","3.1407115","55","3.1407115","55","56"
"12","3.142238","42","3.142238","42","42"
"13","3.14085625","45","3.14085625","45","45"
"14","3.142048","48","3.142048","48","48"
"15","3.14182625","46","3.14182625","46","46"
"16","3.141708","45","3.141708","45","45"
"17","3.14097925","49","3.14097925","49","49"
"18","3.14142875","38","3.14142875","38","38"
"19","3.141639","35","3.141639","35","35"
"20","3.14179925","45","3.14179925","45","45"
"21","3.14157775","34","3.14157775","34","34"
"22","3.1417705","34","3.1417705","34","34"
"23","3.14149675","36","3.14149675","36","36"
"24","3.14204625","38","3.14204625","38","38"
"25","3.1412965","43","3.1412965","43","43"
"26","3.1417465","34","3.1417465","34","34"
"27","3.14152375","33","3.14152375","33","33"
"28","3.1413235","45","3.1413235","45","45"
"29","3.14136775","50","3.14136775","50","50"
"30","3.14111275","32","3.14111275","32","32"
"31","3.141529","31","3.141529","31","32"
"32","3.14131125","26","3.14131125","26","27"
"33","3.14150525","35","3.14150525","35","35"
"34","3.14217575","36","3.14217575","36","36"
"35","3.1421075","36","3.1421075","36","36"
"36","3.14121575","30","3.14121575","30","30"
"37","3.142499","37","3.142499","37","37"
"38","3.14226025","34","3.14226025","34","34"
"39","3.14112825","34","3.14112825","34","34"
"40","3.14169925","38","3.14169925","38","38"
"41","3.14183375","36","3.14183375","36","36"
"42","3.141813","27","3.141813","27","27"
"43","3.14184475","29","3.14184475","29","29"
"44","3.1417245","32","3.1417245","32","32"
"45","3.1424245","31","3.1424245","31","32"
"46","3.14218375","31","3.14218375","31","31"
"47","3.1410445","31","3.1410445","31","31"
"48","3.1412395","32","3.1412395","32","32"
"49","3.141936","32","3.141936","32","32"
"50","3.14170575","34","3.14170575","34","34"
"51","3.14171225","28","3.14171225","28","28"
"52","3.141147","31","3.141147","31","31"
"53","3.141618","32","3.141618","32","32"
"54","3.141902","32","3.141902","32","32"
"55","3.14230575","31","3.14230575","31","31"
"56","3.1412495","27","3.1412495","27","28"
"57","3.141424","31","3.141424","31","31"
"58","3.14156525","32","3.14156525","32","32"
"59","3.142013","32","3.142013","32","32"
"60","3.14186325","35","3.14186325","35","35"
"61","3.14211175","37","3.14211175","37","37"
"62","3.14173725","32","3.14173725","32","32"
"63","3.141593","31","3.141593","31","31"
"64","3.1416845","34","3.1416845","34","34"
"65","3.1419085","27","3.1419085","27","27"
"66","3.14150675","30","3.14150675","30","30"
"67","3.14113125","37","3.14113125","37","37"
"68","3.14138075","29","3.14138075","29","29"
"69","3.141506","33","3.141506","33","33"
"70","3.141423","32","3.141423","32","32"
"71","3.142242","38","3.142242","38","38"
"72","3.1414705","34","3.1414705","34","34"
"73","3.141335","33","3.141335","33","33"
"74","3.140694","30","3.140694","30","30"
"75","3.1414545","34","3.1414545","34","34"
"76","3.14169125","34","3.14169125","34","34"
"77","3.142004","33","3.142004","33","33"
"78","3.14103725","34","3.14103725","34","34"
"79","3.14238225","34","3.14238225","34","34"
"80","3.14099075","34","3.14099075","34","34"
"81","3.14149525","33","3.14149525","33","33"
"82","3.14095325","37","3.14095325","37","37"
"83","3.1415265","31","3.1415265","31","31"
"84","3.14159125","31","3.14159125","31","32"
"85","3.14150225","39","3.14150225","39","39"
"86","3.141328","33","3.141328","33","33"
"87","3.141149","33","3.141149","33","33"
"88","3.1409035","35","3.1409035","35","35"
"89","3.140998","33","3.140998","33","33"
"90","3.14078425","32","3.14078425","32","32"
"91","3.14220575","31","3.14220575","31","31"
"92","3.141479","36","3.141479","36","36"
"93","3.1415765","30","3.1415765","30","30"
"94","3.141971","33","3.141971","33","33"
"95","3.14135675","27","3.14135675","27","27"
"96","3.1420315","32","3.1420315","32","32"
"97","3.1413305","31","3.1413305","31","32"
"98","3.1414395","39","3.1414395","39","39"
"99","3.142649","33","3.142649","33","33"
"100","3.141827","34","3.141827","34","34"
"Averages","3.1415822899999983","38","3.1415822899999983","38","69"
