"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14155125","227","3.14122225","227","3.1415745","232","3.14078925","228","3.14180125","229","3.14147775","234","3.141661","230","3.141013","237","3.14147675","226","3.14133375","235","3.14094425","228","3.141581","226","3.1413688333333334","229","248"
"2","3.14119425","232","3.14127625","236","3.14149025","228","3.14104975","232","3.1416965","232","3.14196275","227","3.14220325","227","3.14114775","234","3.14142425","228","3.1415575","232","3.14145725","233","3.1418285","231","3.1415240208333337","231","236"
"3","3.1416325","236","3.1417415","258","3.1415715","251","3.14188325","250","3.1418505","265","3.14109975","241","3.14173125","250","3.14124775","253","3.1418955","254","3.14157725","251","3.14159325","252","3.1412865","250","3.1415925416666663","250","265"
"4","3.1418515","231","3.1411895","230","3.14195625","235","3.141717","231","3.141376","231","3.14221275","227","3.1415105","226","3.1414985","229","3.14174875","232","3.14184625","225","3.14175775","231","3.141613","226","3.1416898125000006","229","235"
"5","3.141182","232","3.1414725","241","3.14170425","237","3.14216575","237","3.1418005","243","3.14174975","236","3.14226725","239","3.14173475","239","3.14162275","237","3.14159775","242","3.14186575","242","3.141647","243","3.1417341666666663","239","243"
"6","3.14220625","241","3.1417755","224","3.1419675","221","3.14114725","230","3.1413885","221","3.141568","241","3.14132375","242","3.141878","224","3.14203425","241","3.14179825","241","3.1408925","233","3.14144075","224","3.141618375","231","242"
"7","3.14251725","243","3.14206725","238","3.14145475","239","3.14102475","243","3.14181225","238","3.1419695","238","3.14193125","239","3.141169","238","3.14213725","242","3.14170125","241","3.141427","247","3.1423795","239","3.14179925","240","247"
"8","3.14180825","233","3.14165725","233","3.14202575","234","3.14259025","237","3.14177625","231","3.14144275","214","3.1411215","216","3.1420255","234","3.14146375","233","3.14136225","233","3.14160925","237","3.1417125","231","3.1417162708333333","230","237"
"9","3.14247","132","3.141503","148","3.14166125","231","3.14192125","236","3.14100225","241","3.14176275","244","3.1418305","239","3.14157475","240","3.142247","244","3.14191725","237","3.141688","239","3.14169875","236","3.1417730625000004","222","244"
"10","3.142314","219","3.14176775","224","3.141798","238","3.141509","237","3.141759","221","3.14168475","237","3.142703","219","3.1420815","237","3.141682","224","3.1417255","238","3.141493","238","3.14167875","237","3.1418496874999993","230","238"
"11","3.141473","220","3.141329","228","3.14190675","231","3.142178","227","3.1414065","225","3.14179425","233","3.14180125","234","3.142033","231","3.141316","225","3.14144125","231","3.1418795","232","3.14201125","220","3.1417141458333337","228","234"
"12","3.1417005","214","3.14152875","231","3.141485","207","3.1416905","231","3.14045125","245","3.141622","208","3.14204025","246","3.14197975","210","3.141286","233","3.14146575","246","3.14153525","220","3.140746","246","3.1414609166666665","228","246"
"13","3.14224875","216","3.14223375","229","3.140576","226","3.1426175","237","3.14214825","228","3.1411755","236","3.14168975","224","3.14119325","232","3.142168","230","3.14228025","239","3.1414405","242","3.1422195","242","3.141832583333334","231","242"
"14","3.141825","224","3.141908","237","3.1410155","220","3.1411115","240","3.14162825","231","3.14203","227","3.1409895","240","3.14147525","214","3.1417465","226","3.1412585","223","3.14165975","211","3.141084","223","3.1414776458333336","226","244"
"15","3.14052075","193","3.14150575","230","3.14129475","231","3.141065","229","3.14175425","236","3.14213375","230","3.141131","226","3.141546","225","3.141288","223","3.141435","229","3.14129175","226","3.14208975","229","3.1414213125","225","236"
"16","3.1408395","217","3.14155975","230","3.1422895","225","3.14199325","229","3.1417905","228","3.14127125","227","3.14214075","228","3.14090675","225","3.14189125","227","3.141943","232","3.141619","229","3.1419605","232","3.1416837500000003","227","233"
