"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14159725","104","3.14159725","104","2662"
"2","3.14160275","72","3.14160275","72","72"
"3","3.142027","65","3.142027","65","65"
"4","3.14106175","54","3.14106175","54","54"
"5","3.14207575","58","3.14207575","58","58"
"6","3.14063725","53","3.14063725","53","54"
"7","3.14141925","60","3.14141925","60","61"
"8","3.1419975","67","3.1419975","67","67"
"9","3.1420215","58","3.1420215","58","58"
"10","3.14129125","60","3.14129125","60","61"
"11","3.1411665","50","3.1411665","50","50"
"12","3.141094","50","3.141094","50","50"
"13","3.141307","49","3.141307","49","49"
"14","3.14175175","42","3.14175175","42","42"
"15","3.14156","41","3.14156","41","41"
"16","3.141482","40","3.141482","40","41"
"17","3.1422255","50","3.1422255","50","50"
"18","3.14218475","45","3.14218475","45","45"
"19","3.141261","48","3.141261","48","49"
"20","3.14183925","44","3.14183925","44","44"
"21","3.141233","44","3.141233","44","44"
"22","3.141398","57","3.141398","57","58"
"23","3.1410065","39","3.1410065","39","40"
"24","3.14149575","47","3.14149575","47","47"
"25","3.1414095","53","3.1414095","53","53"
"26","3.141348","51","3.141348","51","52"
"27","3.14112475","44","3.14112475","44","44"
"28","3.14185575","40","3.14185575","40","41"
"29","3.14147775","58","3.14147775","58","58"
"30","3.141908","55","3.141908","55","55"
"31","3.140934","49","3.140934","49","50"
"32","3.1419295","31","3.1419295","31","31"
"33","3.14210775","49","3.14210775","49","50"
"34","3.14168075","52","3.14168075","52","52"
"35","3.1414525","36","3.1414525","36","36"
"36","3.14094325","41","3.14094325","41","41"
"37","3.14173275","43","3.14173275","43","43"
"38","3.141305","35","3.141305","35","35"
"39","3.14177925","41","3.14177925","41","41"
"40","3.1414745","41","3.1414745","41","41"
"41","3.1415975","40","3.1415975","40","40"
"42","3.14149725","43","3.14149725","43","43"
"43","3.14168425","45","3.14168425","45","45"
"44","3.1415","34","3.1415","34","34"
"45","3.14177125","32","3.14177125","32","32"
"46","3.14131325","30","3.14131325","30","30"
"47","3.14165375","32","3.14165375","32","32"
"48","3.1421785","33","3.1421785","33","33"
"49","3.14188825","33","3.14188825","33","33"
"50","3.141512","34","3.141512","34","34"
"51","3.14158975","32","3.14158975","32","32"
"52","3.14174675","32","3.14174675","32","32"
"53","3.1418965","35","3.1418965","35","35"
"54","3.1419365","30","3.1419365","30","31"
"55","3.14156225","34","3.14156225","34","34"
"56","3.1411925","29","3.1411925","29","29"
"57","3.14184025","32","3.14184025","32","33"
"58","3.14119925","37","3.14119925","37","37"
"59","3.141467","33","3.141467","33","33"
"60","3.1410235","32","3.1410235","32","32"
"61","3.14131125","32","3.14131125","32","32"
"62","3.1410935","29","3.1410935","29","29"
"63","3.1418105","31","3.1418105","31","31"
"64","3.142204","30","3.142204","30","31"
"65","3.14198075","31","3.14198075","31","32"
"66","3.1414975","29","3.1414975","29","29"
"67","3.141929","32","3.141929","32","32"
"68","3.14082425","30","3.14082425","30","30"
"69","3.141725","35","3.141725","35","35"
"70","3.1414095","49","3.1414095","49","49"
"71","3.1420075","38","3.1420075","38","38"
"72","3.14120125","36","3.14120125","36","36"
"73","3.1418135","34","3.1418135","34","34"
"74","3.14162975","52","3.14162975","52","52"
"75","3.14074075","52","3.14074075","52","52"
"76","3.1409115","36","3.1409115","36","36"
"77","3.1412595","35","3.1412595","35","36"
"78","3.14105675","37","3.14105675","37","37"
"79","3.1414635","44","3.1414635","44","44"
"80","3.141911","36","3.141911","36","37"
"81","3.14165825","40","3.14165825","40","40"
"82","3.14164025","38","3.14164025","38","38"
"83","3.14132","37","3.14132","37","37"
"84","3.14209925","43","3.14209925","43","43"
"85","3.14197675","42","3.14197675","42","42"
"86","3.14104775","42","3.14104775","42","42"
"87","3.14136175","42","3.14136175","42","43"
"88","3.14132725","31","3.14132725","31","32"
"89","3.14125625","34","3.14125625","34","34"
"90","3.1414375","39","3.1414375","39","39"
"91","3.14087875","36","3.14087875","36","37"
"92","3.14161525","44","3.14161525","44","44"
"93","3.141376","35","3.141376","35","35"
"94","3.1416525","40","3.1416525","40","41"
"95","3.141766","50","3.141766","50","51"
"96","3.142378","42","3.142378","42","42"
"97","3.14159125","43","3.14159125","43","44"
"98","3.141571","41","3.141571","41","42"
"99","3.142089","41","3.142089","41","41"
"100","3.1416325","39","3.1416325","39","39"
"Averages","3.14154705","42","3.14154705","42","68"
