"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"25","3.1418395","240","3.14185225","240","3.14124025","249","3.14185075","249","3.14108475","241","3.1420115","249","3.14176675","245","3.14182575","249","3.14179","251","3.14151925","249","3.1417055","255","3.14152675","250","3.141334","236","3.1416420769230764","246","255"
"26","3.14178625","258","3.14191625","257","3.14123025","266","3.141589","258","3.14209325","265","3.14188725","257","3.141508","269","3.14185975","261","3.14143575","246","3.14183325","265","3.1416645","259","3.1421505","266","3.14245225","270","3.141800480769231","261","270"
"27","3.1417025","253","3.14170975","255","3.14200825","252","3.14136","226","3.141114","252","3.14138525","255","3.141779","257","3.14198175","255","3.141244","237","3.14188075","257","3.141912","238","3.1419355","236","3.14153975","256","3.1416578846153844","248","257"
"28","3.14129225","240","3.140997","248","3.1416","243","3.14131725","245","3.14105375","244","3.1413585","245","3.141362","244","3.1416425","243","3.14148925","245","3.141731","246","3.141526","243","3.14168575","245","3.1416825","251","3.1414413653846154","244","252"
"29","3.1406865","249","3.14078375","249","3.14165","249","3.14249825","249","3.141762","248","3.1414765","246","3.141433","249","3.14159475","249","3.1419635","245","3.1411555","249","3.1417505","252","3.14233825","249","3.14184075","249","3.14161025","248","252"
"30","3.14130475","258","3.141665","252","3.14165","251","3.14210725","252","3.14171","256","3.14162725","256","3.1418335","256","3.1414545","262","3.141662","251","3.141083","256","3.14201125","256","3.14205","261","3.141588","256","3.1416728076923075","255","262"
"31","3.14164325","237","3.14188825","239","3.141733","239","3.14155575","243","3.14151475","243","3.14191175","239","3.1413005","241","3.141748","240","3.14163325","244","3.1422705","244","3.140816","242","3.14135325","239","3.1414125","239","3.141598519230769","240","244"
"32","3.1409285","254","3.14171375","262","3.14176075","258","3.1411325","258","3.14215925","246","3.14127275","246","3.14141475","262","3.14166425","246","3.14095775","254","3.14098025","246","3.1416835","244","3.14174925","246","3.14213625","254","3.1415041153846155","252","262"
"33","3.1421585","245","3.14199325","239","3.141095","242","3.14166275","248","3.142203","242","3.14142025","243","3.1413115","238","3.140849","237","3.14136075","241","3.14111325","238","3.14117925","242","3.14144625","239","3.142352","245","3.141549596153846","241","249"
"34","3.14170825","247","3.14218375","248","3.14194275","263","3.141326","252","3.141883","248","3.14181275","245","3.141778","249","3.14209725","248","3.14154825","248","3.14140875","246","3.1419855","248","3.14093525","262","3.14079025","245","3.1416461346153843","249","263"
"35","3.1415505","222","3.14156025","248","3.14210575","247","3.14140525","245","3.141802","245","3.14224025","249","3.1412585","245","3.141327","245","3.14093875","247","3.14142525","245","3.14176575","249","3.14181975","245","3.14181075","247","3.141616134615385","244","249"
"36","3.14177175","230","3.14170725","243","3.14237275","252","3.14165575","252","3.14134525","257","3.14106075","230","3.14161475","255","3.142192","242","3.1417755","243","3.14175025","247","3.1412285","248","3.142632","255","3.14162875","252","3.1417488653846157","246","257"
"37","3.1424525","242","3.1425975","242","3.14080425","242","3.14128325","242","3.1414405","248","3.1411275","252","3.1409375","250","3.142282","242","3.1414745","249","3.14158725","242","3.14100675","243","3.141435","252","3.14140425","242","3.141525596153847","245","252"
"38","3.141963","252","3.14167875","255","3.14139425","242","3.14138075","242","3.142253","242","3.14083325","256","3.14143575","242","3.1414275","255","3.14203725","256","3.140737","253","3.142288","253","3.14166225","235","3.141385","238","3.141575057692308","247","257"
"39","3.141709","243","3.1415265","245","3.142499","242","3.14161375","245","3.1418685","243","3.1415845","243","3.142472","251","3.14177025","244","3.1417035","242","3.14123775","242","3.14149025","248","3.14108725","255","3.14107225","243","3.141664192307692","245","255"
"40","3.140807","244","3.14156775","249","3.14222725","234","3.1417485","238","3.14149975","249","3.14178","242","3.140997","250","3.14209075","249","3.14176625","229","3.1414335","249","3.14148575","249","3.14108475","243","3.140779","234","3.141482096153846","243","250"
"41","3.14109025","245","3.1418105","245","3.14129325","246","3.14172325","245","3.14177125","245","3.141097","241","3.1414175","245","3.14197225","247","3.14187475","245","3.140987","236","3.1414925","244","3.1416685","244","3.14133325","246","3.141502403846154","244","247"
"42","3.14145975","249","3.14154775","250","3.141352","261","3.1410555","250","3.1417495","261","3.141617","261","3.1413405","260","3.14145625","250","3.14043775","260","3.14168825","250","3.14157175","250","3.142018","248","3.141421","250","3.1414396153846154","253","261"
"43","3.14115125","224","3.14130525","240","3.14124625","252","3.14178175","250","3.142296","251","3.141801","246","3.14175575","220","3.141307","216","3.1421605","221","3.141789","221","3.1415415","221","3.141416","217","3.141224","219","3.1415980961538463","230","253"
"44","3.1421805","146","3.14091925","160","3.14115425","266","3.1412355","266","3.14144825","252","3.1415455","251","3.1424495","252","3.1416945","252","3.1413735","265","3.141736","254","3.14108725","263","3.141655","251","3.1414235","253","3.1415309615384617","240","266"
"45","3.14130575","249","3.1417695","255","3.14097025","258","3.141639","249","3.14204175","257","3.1414995","257","3.1412145","248","3.1423115","249","3.14122525","249","3.14138525","249","3.141661","255","3.141445","262","3.14217275","259","3.1415877692307697","253","262"
"46","3.14123275","242","3.1416265","248","3.1416665","255","3.1415935","250","3.14164","243","3.14212325","253","3.141466","256","3.14173825","253","3.14151525","251","3.141852","252","3.141383","253","3.1421525","254","3.14197925","253","3.141689903846154","251","257"
"47","3.1409","247","3.14132325","246","3.1418005","242","3.1421635","246","3.141562","245","3.141685","242","3.14054575","244","3.141158","242","3.14158325","251","3.141874","248","3.141727","241","3.141678","245","3.141513","245","3.14150101923077","244","251"
"48","3.142271","237","3.14155425","237","3.14186975","237","3.14115825","241","3.142095","245","3.1414515","245","3.14162675","245","3.14132375","245","3.141603","241","3.14174775","243","3.14237075","242","3.1420665","245","3.140878","238","3.1416935576923075","241","246"
"49","3.14125125","256","3.14189625","255","3.1418625","240","3.1419005","240","3.14171775","257","3.1415545","256","3.14208825","240","3.14200825","253","3.1414415","256","3.1415395","256","3.1412765","240","3.14181575","240","3.141336","255","3.1416683461538466","249","257"
"50","3.141499","242","3.14186375","237","3.1407655","247","3.141663","248","3.1415155","242","3.14169575","244","3.14124975","245","3.14097175","242","3.141256","249","3.14247225","242","3.141468","242","3.1418965","244","3.142126","242","3.1415725192307695","243","249"
"51","3.14121875","241","3.14250325","244","3.1411595","246","3.14132225","244","3.1425535","241","3.1409055","235","3.14068925","241","3.142068","245","3.14101925","242","3.14181125","244","3.141601","245","3.14225525","244","3.142153","241","3.1416353653846154","242","246"
"52","3.14180025","247","3.1411955","255","3.1411975","252","3.14226825","249","3.14153275","251","3.14151575","250","3.14074225","246","3.1416365","249","3.1415025","243","3.141154","242","3.1418545","251","3.14175025","243","3.1420545","243","3.141554192307692","247","255"
"53","3.14110925","100","3.14052975","254","3.1418815","227","3.14140175","228","3.14177425","227","3.14143825","250","3.14122875","252","3.1412655","253","3.14130575","250","3.1412045","253","3.14171675","255","3.141913","254","3.14131625","252","3.1413911730769235","235","255"
"54","3.141658","248","3.14205975","253","3.1422765","253","3.142133","256","3.14176","269","3.141427","269","3.1409305","269","3.141539","269","3.1417365","256","3.14107075","269","3.141939","269","3.14114625","269","3.1415645","269","3.1416339038461536","262","269"
"55","3.14136375","247","3.14104775","252","3.14175975","254","3.142141","256","3.1411285","256","3.1416265","241","3.14125125","260","3.142979","257","3.140798","245","3.14115775","253","3.14180075","258","3.1416835","252","3.1417585","249","3.1415766153846154","252","261"
"56","3.1411175","231","3.141569","240","3.14162375","240","3.1417535","231","3.14110525","244","3.14166","241","3.14192125","245","3.1416605","246","3.14107175","245","3.1413305","231","3.1415545","249","3.14173725","237","3.14205525","241","3.141550769230769","240","249"
"57","3.14127025","251","3.14120925","255","3.14112875","255","3.14214025","250","3.14148775","237","3.14178675","243","3.141482","240","3.14095875","239","3.1415005","240","3.14132375","246","3.14207075","255","3.14130825","255","3.14138825","232","3.1414657884615385","246","256"
"58","3.140912","249","3.1414655","249","3.14163175","248","3.14154175","245","3.141426","245","3.14136575","245","3.14038225","245","3.14140125","249","3.14199875","245","3.1414175","245","3.14093175","245","3.14220625","245","3.141049","248","3.141363807692308","246","249"
"59","3.142135","202","3.14174775","246","3.14243875","249","3.14238525","247","3.141366","252","3.141803","246","3.14199625","246","3.1422385","254","3.14154025","246","3.1419255","248","3.140462","249","3.14168875","248","3.14154725","246","3.1417903269230774","244","254"
"60","3.14143825","243","3.141254","244","3.14158475","245","3.1414995","244","3.14110125","244","3.141839","244","3.14172725","244","3.14192275","244","3.14200425","243","3.1417125","243","3.1416955","243","3.14147425","243","3.1410025","246","3.1415581346153845","243","247"
"61","3.141586","173","3.1418445","262","3.1415845","253","3.141686","218","3.140987","242","3.14166775","226","3.141911","226","3.14219875","230","3.14198725","243","3.1413675","230","3.1415775","238","3.142157","226","3.14211775","243","3.141744038461538","231","263"
"62","3.1411195","226","3.14156675","248","3.1411855","251","3.14242025","244","3.14131625","244","3.141249","256","3.1413625","248","3.142073","258","3.142042","236","3.141471","232","3.14166875","223","3.1417075","232","3.14090025","236","3.1415447884615384","241","260"
"63","3.1423895","196","3.1410705","252","3.14164825","246","3.1416445","248","3.1412455","247","3.14169525","246","3.1414225","247","3.14108075","245","3.14131925","245","3.14187625","247","3.1410845","245","3.1415915","247","3.14142875","249","3.1414997692307693","243","253"
"64","3.14254125","216","3.1416895","246","3.1409895","252","3.14157975","256","3.14168475","252","3.14215025","240","3.142191","252","3.14186525","252","3.1416425","252","3.14208675","255","3.14178175","240","3.14121475","255","3.141217","260","3.1417410769230765","248","260"
"65","3.14134825","266","3.14147025","272","3.14202425","265","3.14128175","266","3.141541","266","3.1418395","265","3.1409085","272","3.14163875","265","3.14183675","265","3.14166625","272","3.14133225","269","3.14144875","265","3.14129475","270","3.141510076923077","267","272"
"66","3.14121675","253","3.1415055","249","3.1413545","245","3.141374","245","3.141365","244","3.142261","249","3.14225825","246","3.14192625","252","3.1418895","245","3.1413335","246","3.14149425","249","3.1409735","250","3.14246175","252","3.141647211538462","248","253"
"67","3.141565","233","3.142388","233","3.141717","245","3.14192775","240","3.142146","245","3.14184725","228","3.1419135","248","3.14199325","245","3.14201075","248","3.141194","250","3.14160875","232","3.14114825","251","3.1414565","248","3.1417627692307692","242","251"
"68","3.14109","243","3.141735","243","3.14156025","258","3.14188875","242","3.14141275","259","3.1417045","244","3.14208275","258","3.14066425","243","3.14196225","260","3.141774","247","3.1419485","259","3.14171875","242","3.1418585","244","3.141646173076923","249","260"
"69","3.141397","239","3.141929","238","3.141681","241","3.14173075","238","3.14149725","246","3.14144775","242","3.14155425","238","3.14143725","240","3.1411085","240","3.141455","238","3.140767","246","3.14183625","240","3.14156175","231","3.141492519230769","239","246"
"70","3.1414755","234","3.1414625","247","3.141055","243","3.1414555","245","3.141436","250","3.14189275","243","3.14127275","246","3.14121675","243","3.1413655","244","3.1417175","247","3.14197725","239","3.14225675","240","3.141573","240","3.141550519230769","243","250"
