"Job Count","Average Result","Average Job Runtime (ms)","Average Total Runtime (ms)"
"1","3.14154705","42","68"
"2","3.14156987125","52","54"
"3","3.1415705866666683","65","68"
"4","3.141612158749999","82","85"
"5","3.1416105135000008","100","105"
"6","3.14159107625","119","124"
"7","3.141559872142856","137","143"
"8","3.1416143631250004","157","163"
"9","3.1415954466666687","175","183"
"10","3.1415967367499995","200","207"
"11","3.1416011120454552","213","222"
"12","3.141595751875","231","240"
"13","3.1415929492307693","245","255"
"14","3.1415844417857155","263","274"
"15","3.1416006805","283","295"
"16","3.141597380937499","304","315"
