"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14217625","97","3.14237875","95","3.14118175","99","3.141621","99","3.14155525","96","3.1417826","97","110"
"2","3.142144","104","3.14138625","99","3.14128525","98","3.1420675","99","3.14244075","103","3.1418647500000003","100","104"
"3","3.14144225","100","3.141793","99","3.141641","103","3.14149425","98","3.14170425","99","3.14161495","99","103"
"4","3.14203975","98","3.142122","101","3.1411385","98","3.140399","103","3.1414765","103","3.14143515","100","104"
"5","3.141971","101","3.141919","99","3.141564","96","3.14175525","97","3.1408445","95","3.1416107499999995","97","101"
"6","3.14162125","98","3.141041","101","3.1417065","99","3.141938","94","3.14193775","97","3.1416489","97","102"
"7","3.14170125","102","3.14173075","97","3.14234","102","3.1417425","96","3.141409","102","3.1417846999999997","99","102"
"8","3.1420035","104","3.14182675","103","3.141658","103","3.14151925","103","3.14105575","103","3.14161265","103","104"
"9","3.141304","100","3.14190175","102","3.140551","98","3.14131675","102","3.141301","98","3.1412749","100","103"
"10","3.141362","103","3.1415675","104","3.1409025","106","3.141355","103","3.14251075","103","3.14153955","103","106"
"11","3.14149175","103","3.1415755","105","3.14162125","104","3.1420675","102","3.1416465","108","3.1416805","104","108"
"12","3.1413865","100","3.14214475","100","3.14267925","103","3.14103075","101","3.141635","99","3.14177525","100","103"
"13","3.141783","105","3.1423395","112","3.14116","107","3.141498","107","3.14130525","101","3.1416171500000005","106","112"
"14","3.14112725","95","3.14234725","98","3.1419385","100","3.14119175","99","3.14165625","100","3.1416522000000002","98","101"
"15","3.14113775","94","3.14174625","97","3.14151025","101","3.1413555","97","3.1413205","98","3.1414140500000003","97","101"
"16","3.1410975","95","3.1422585","99","3.141874","97","3.14072925","96","3.1415725","99","3.14150635","97","100"
"17","3.14184575","99","3.14284825","101","3.1419585","95","3.141338","100","3.141702","94","3.1419385","97","101"
"18","3.14163275","110","3.14201725","123","3.14135925","110","3.141404","110","3.14132925","125","3.1415485","115","125"
"19","3.14120425","92","3.141654","105","3.141422","106","3.14143275","106","3.141655","90","3.1414736000000003","99","106"
"20","3.14166125","98","3.140875","95","3.14146175","96","3.1423275","96","3.14153875","95","3.14157285","96","98"
"21","3.14146675","94","3.141109","96","3.1414535","98","3.1416955","94","3.14124225","98","3.1413934","96","98"
"22","3.141566","100","3.1418585","98","3.14150025","100","3.14187","97","3.14186175","98","3.1417313","98","100"
"23","3.14173275","97","3.14173475","93","3.14195225","98","3.14187275","99","3.141804","98","3.1418193000000003","97","99"
"24","3.14209775","94","3.14143825","98","3.14132525","98","3.14124725","96","3.14170925","96","3.14156355","96","99"
"25","3.141492","112","3.1413745","114","3.140663","139","3.14235275","124","3.14150525","139","3.1414775","125","139"
"26","3.14185975","98","3.1413075","113","3.14113675","98","3.14151125","99","3.14146125","98","3.1414552999999996","101","113"
"27","3.14144675","115","3.14159225","112","3.141381","115","3.14180775","111","3.1427505","112","3.14179565","113","115"
"28","3.14079925","97","3.14202775","100","3.1414015","115","3.14211225","108","3.1424845","114","3.14176505","106","115"
"29","3.140981","99","3.14211725","100","3.141901","99","3.14201625","99","3.14156425","98","3.14171595","99","100"
"30","3.14217875","99","3.14219625","95","3.14138025","101","3.14126275","100","3.14231075","99","3.14186575","98","101"
"31","3.1415385","105","3.1415595","110","3.1416075","105","3.14170475","106","3.14170375","105","3.1416228","106","110"
"32","3.14152475","112","3.14119675","108","3.1419065","103","3.14118275","106","3.14064","110","3.14129015","107","112"
"33","3.14191175","97","3.14147775","97","3.142087","102","3.1417725","102","3.14162225","101","3.14177425","99","102"
