"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14160975","66","3.14153625","61","3.141246","67","3.1414640000000005","64","78"
"2","3.14186","61","3.1413635","60","3.1415465","62","3.1415900000000003","61","62"
"3","3.14191075","65","3.14167325","63","3.14147975","67","3.1416879166666667","65","67"
"4","3.14109475","66","3.1423565","65","3.1415175","72","3.1416562500000005","67","72"
"5","3.140813","68","3.14181075","68","3.14141925","67","3.141347666666667","67","68"
"6","3.1411555","61","3.14169825","62","3.14173475","67","3.1415295000000003","63","67"
"7","3.14169075","67","3.1413685","72","3.142621","69","3.1418934166666665","69","73"
"8","3.14172875","74","3.14171525","67","3.14210925","69","3.1418510833333335","70","74"
"9","3.1408815","63","3.14227175","63","3.14208575","69","3.1417463333333333","65","69"
"10","3.141389","67","3.141669","64","3.14247375","67","3.141843916666667","66","67"
"11","3.14152325","66","3.141661","67","3.14162175","63","3.1416020000000002","65","67"
"12","3.14062575","71","3.14155","71","3.14042375","71","3.1408665","71","71"
"13","3.1416785","73","3.1417725","78","3.140733","76","3.141394666666667","75","78"
"14","3.14239625","71","3.141643","69","3.14168475","74","3.1419080000000004","71","74"
"15","3.1422165","67","3.141406","67","3.141975","69","3.1418658333333336","67","70"
"16","3.14082625","62","3.1415245","65","3.14153875","63","3.1412964999999997","63","65"
"17","3.14176275","74","3.1411315","72","3.1417615","70","3.1415519166666663","72","74"
"18","3.142084","71","3.14203975","63","3.141267","66","3.141796916666667","66","71"
"19","3.141951","69","3.14086275","70","3.14232975","60","3.1417145000000004","66","70"
"20","3.141451","57","3.14117575","67","3.1413345","70","3.1413204166666673","64","71"
"21","3.1415145","64","3.14177625","68","3.14124025","63","3.141510333333333","65","68"
"22","3.1413615","71","3.14182325","74","3.14091025","74","3.1413650000000004","73","74"
"23","3.14137725","64","3.1410615","67","3.14166825","67","3.1413690000000005","66","67"
"24","3.140808","68","3.14144225","70","3.1414685","75","3.141239583333333","71","75"
"25","3.141122","62","3.141794","63","3.141417","64","3.1414443333333337","63","64"
"26","3.1415225","54","3.14187525","72","3.14139725","67","3.141598333333333","64","72"
"27","3.14107175","63","3.14138925","65","3.1415095","68","3.1413235","65","68"
"28","3.1420085","61","3.1416835","63","3.14164725","61","3.14177975","61","63"
"29","3.14173925","65","3.1408895","64","3.14170825","67","3.1414456666666672","65","67"
"30","3.14206775","64","3.14186425","63","3.14217925","64","3.1420370833333333","63","64"
"31","3.1413645","70","3.14218175","62","3.141412","60","3.14165275","64","70"
"32","3.14165175","68","3.1413065","68","3.14223225","65","3.1417301666666666","67","68"
"33","3.141548","62","3.14166275","64","3.1416015","67","3.1416040833333336","64","67"
"34","3.1413695","89","3.14269575","89","3.14159175","83","3.141885666666667","87","89"
"35","3.14102925","67","3.1416905","70","3.14106975","67","3.1412631666666666","68","70"
"36","3.141705","62","3.1416725","61","3.141649","62","3.1416755000000003","61","62"
"37","3.141931","67","3.141032","70","3.141612","66","3.141525","67","70"
"38","3.1421295","64","3.141709","63","3.1417285","62","3.141855666666667","63","64"
"39","3.14149425","69","3.14173075","72","3.14189","72","3.141705","71","72"
"40","3.14213075","61","3.1419815","66","3.14196025","63","3.142024166666667","63","66"
"41","3.1416365","63","3.14202","60","3.141674","66","3.1417768333333336","63","66"
"42","3.14094","63","3.1414105","65","3.14165175","65","3.141334083333333","64","66"
"43","3.1417785","61","3.14160775","62","3.14137225","61","3.1415861666666665","61","62"
"44","3.1415485","61","3.14242675","62","3.1417575","64","3.1419109166666668","62","64"
"45","3.1416915","66","3.141696","62","3.1419595","60","3.1417823333333335","62","66"
"46","3.14062225","64","3.1412335","61","3.14163675","61","3.1411641666666665","62","64"
"47","3.14109125","62","3.142099","64","3.141649","59","3.141613083333334","61","64"
"48","3.1415575","69","3.141612","80","3.14112675","80","3.141432083333333","76","80"
"49","3.1419595","68","3.14124425","61","3.14152525","64","3.141576333333333","64","68"
"50","3.14088275","62","3.1413125","59","3.14161075","59","3.1412686666666665","60","62"
"51","3.14199725","64","3.141552","61","3.14124675","61","3.141598666666667","62","64"
"52","3.14169225","63","3.1414285","60","3.14104175","62","3.1413875","61","63"
"53","3.1407295","63","3.14136875","65","3.14179025","66","3.141296166666667","64","66"
"54","3.141262","71","3.14046275","75","3.14128975","70","3.1410048333333336","72","75"
"55","3.141463","58","3.14167575","66","3.1415995","60","3.141579416666667","61","66"
"56","3.14238875","63","3.141669","64","3.1423295","60","3.1421290833333333","62","64"
"57","3.141457","62","3.14065925","61","3.141987","64","3.14136775","62","64"
"58","3.141212","66","3.141046","63","3.1420875","62","3.1414484999999996","63","66"
"59","3.14113925","66","3.14156325","60","3.1407735","71","3.141158666666667","65","71"
"60","3.141988","69","3.14133425","71","3.14200925","69","3.141777166666666","69","71"
"61","3.141843","59","3.14146675","61","3.14193275","59","3.1417475000000006","59","61"
"62","3.14141125","70","3.1412975","71","3.14088875","70","3.1411991666666665","70","71"
"63","3.14181825","71","3.14204475","71","3.14168775","70","3.1418502499999996","70","71"
"64","3.14134625","70","3.14226525","71","3.14139975","73","3.1416704166666665","71","73"
"65","3.14073025","63","3.14077575","64","3.14151175","64","3.1410059166666664","63","64"
"66","3.14219125","64","3.1414865","64","3.1411265","64","3.141601416666667","64","64"
"67","3.14087175","64","3.14169575","64","3.14153875","62","3.14136875","63","65"
"68","3.1414195","64","3.141985","65","3.142211","63","3.141871833333333","64","65"
"69","3.141194","77","3.14170825","74","3.1413715","77","3.141424583333334","76","77"
"70","3.1415135","80","3.141165","70","3.141837","80","3.1415051666666667","76","80"
"71","3.1411415","63","3.1413395","62","3.1416245","61","3.1413685","62","63"
"72","3.141423","62","3.14175725","62","3.14162725","59","3.1416025","61","62"
"73","3.1417885","60","3.141467","75","3.1421275","74","3.1417943333333334","69","75"
"74","3.14089625","74","3.1418305","78","3.14181025","78","3.1415123333333335","76","78"
"75","3.14180475","62","3.14210575","62","3.14136175","61","3.141757416666666","61","62"
"76","3.14244125","59","3.1411425","61","3.14217225","64","3.1419186666666667","61","64"
"77","3.14134","63","3.14263575","62","3.1415955","62","3.1418570833333335","62","63"
"78","3.141205","59","3.1410595","62","3.140914","67","3.1410595000000003","62","67"
"79","3.14204025","63","3.1416925","77","3.1403375","61","3.14135675","67","77"
"80","3.141838","60","3.14176275","60","3.1418405","61","3.1418137499999994","60","61"
"81","3.1413295","65","3.1413555","64","3.14140375","65","3.1413629166666666","64","65"
"82","3.1415895","65","3.14104825","63","3.140736","67","3.141124583333333","65","67"
"83","3.14123625","68","3.1412105","60","3.1421055","61","3.1415174166666664","63","68"
"84","3.14102925","65","3.14253425","68","3.14256275","65","3.142042083333333","66","68"
"85","3.14230675","64","3.1410445","68","3.14187925","64","3.1417435","65","68"
"86","3.142225","63","3.14227875","63","3.1412915","59","3.14193175","61","63"
"87","3.1411715","60","3.1416015","64","3.1416925","63","3.1414885","62","64"
"88","3.141314","64","3.14103875","59","3.14190725","62","3.14142","61","64"
"89","3.14039175","67","3.142052","66","3.1421075","66","3.1415170833333335","66","67"
"90","3.141509","56","3.14130525","66","3.1414425","68","3.1414189166666664","63","68"
"91","3.14130375","67","3.14162925","68","3.14105625","60","3.14132975","65","68"
"92","3.141852","70","3.141858","71","3.14190175","71","3.141870583333333","70","71"
"93","3.14201225","60","3.1412905","60","3.14270775","62","3.1420035","60","63"
"94","3.14159775","61","3.14171175","64","3.141455","63","3.1415881666666667","62","64"
"95","3.14124625","68","3.14156275","70","3.141264","73","3.1413576666666665","70","73"
"96","3.14088575","62","3.14150825","67","3.1421565","70","3.1415168333333336","66","70"
"97","3.14093975","69","3.14113825","65","3.14143575","69","3.1411712499999997","67","69"
"98","3.14204875","63","3.14190075","63","3.14172175","63","3.141890416666667","63","63"
"99","3.1415535","65","3.14152","64","3.142948","64","3.142007166666667","64","65"
"100","3.1415835","64","3.14176225","65","3.140606","64","3.14131725","64","65"
"Averages","3.1415001600000005","65","3.141589480000001","66","3.1416221199999996","66","3.1415705866666683","65","68"
