"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14197875","272","3.14182925","302","3.1422135","274","3.141102","274","3.14181075","272","3.141445","274","3.14173725","273","3.14193025","274","3.141974","274","3.14185175","287","3.14073825","274","3.14193475","274","3.141137","287","3.1417525","272","3.1416739285714286","277","313"
"2","3.14199925","243","3.14125875","257","3.14017425","263","3.1417575","262","3.1418395","266","3.1414725","267","3.14213","263","3.1415485","263","3.14135425","267","3.141587","263","3.141827","262","3.1418735","262","3.14107475","265","3.14171125","262","3.1415434285714285","261","268"
"3","3.1410525","261","3.141399","266","3.1416505","251","3.14108875","262","3.141648","263","3.141443","246","3.14115725","273","3.14106775","272","3.14162275","275","3.14229625","243","3.14093475","265","3.141707","261","3.142412","264","3.14217725","274","3.1415469107142857","262","275"
"4","3.141417","265","3.14197675","278","3.14154025","271","3.14145","279","3.14158","277","3.141223","277","3.141978","280","3.14136375","278","3.14201375","278","3.14230725","277","3.14137175","280","3.14123225","277","3.1411705","282","3.141694","277","3.1415941607142863","276","283"
"5","3.14229475","266","3.141644","265","3.140524","259","3.1410485","266","3.1406215","267","3.141679","264","3.14169825","266","3.1412295","266","3.1413865","265","3.141786","266","3.142092","265","3.14117725","265","3.1419825","266","3.1416085","270","3.1414837321428566","265","270"
"6","3.1416915","270","3.142106","262","3.14187875","246","3.14192275","260","3.1418375","259","3.14146175","252","3.14189175","261","3.1407485","263","3.14135475","270","3.1416295","262","3.14181475","262","3.14163925","259","3.14137925","270","3.1424805","270","3.141702607142857","261","270"
"7","3.1412265","252","3.1421885","257","3.14190025","276","3.14197975","265","3.14076525","242","3.14170525","271","3.14136225","273","3.14102375","252","3.142079","264","3.14135","261","3.1416005","261","3.14162425","256","3.1418055","273","3.14124525","274","3.1415611428571424","262","277"
"8","3.141349","265","3.140134","259","3.14187725","270","3.1414775","258","3.14108325","270","3.14093425","272","3.141744","258","3.14109725","270","3.14158675","271","3.1412715","264","3.14165","259","3.141657","270","3.1413085","271","3.14171575","266","3.141349000000001","265","272"
"9","3.14161775","266","3.14171625","271","3.141464","265","3.142278","268","3.14173925","277","3.141242","273","3.14065025","269","3.14179725","265","3.1420655","259","3.141613","267","3.14155425","261","3.1423305","271","3.14079525","271","3.141513","273","3.1415983035714286","268","278"
"10","3.141924","258","3.14148575","255","3.14160875","256","3.141981","264","3.14186075","274","3.141538","258","3.14168475","263","3.14173675","263","3.14111775","263","3.1419675","274","3.141477","274","3.141413","275","3.1425945","254","3.1418935","255","3.1417345000000005","263","275"
