"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.1411825","56","3.14174375","55","3.141463125","55","66"
"2","3.1413765","59","3.140972","67","3.1411742499999997","63","68"
"3","3.14201025","60","3.14242325","64","3.14221675","62","64"
"4","3.1423285","66","3.141881","67","3.14210475","66","67"
"5","3.14130675","63","3.14178025","68","3.1415435","65","69"
"6","3.1415475","61","3.14199525","65","3.1417713750000003","63","65"
"7","3.14150125","70","3.141369","66","3.141435125","68","70"
"8","3.1415585","67","3.1418145","66","3.1416865","66","67"
"9","3.14113425","62","3.14169875","66","3.1414165","64","69"
"10","3.1416835","66","3.14191975","68","3.1418016250000003","67","69"
"11","3.14107825","63","3.14155675","67","3.1413175","65","67"
"12","3.14146025","57","3.141535","57","3.1414976250000004","57","57"
"13","3.1411075","57","3.1411005","62","3.141104","59","62"
"14","3.141023","54","3.14224525","58","3.1416341250000004","56","59"
"15","3.14242375","52","3.1422655","55","3.142344625","53","55"
"16","3.141483","54","3.14145975","52","3.141471375","53","54"
"17","3.14136425","55","3.14107875","57","3.1412215000000003","56","58"
"18","3.14114825","55","3.1413325","54","3.1412403749999998","54","55"
"19","3.14132375","52","3.1407595","47","3.141041625","49","52"
"20","3.14137175","44","3.141589","51","3.141480375","47","51"
"21","3.141875","46","3.1411265","50","3.14150075","48","50"
"22","3.141492","47","3.1416755","47","3.1415837499999997","47","47"
"23","3.1414685","49","3.141694","51","3.14158125","50","52"
"24","3.141276","44","3.141587","49","3.1414315","46","49"
"25","3.14131325","42","3.14136825","43","3.1413407500000003","42","44"
"26","3.14162025","52","3.141941","46","3.141780625","49","52"
"27","3.14213425","53","3.142028","61","3.142081125","57","62"
"28","3.1415865","53","3.14150075","55","3.1415436249999997","54","55"
"29","3.14125225","49","3.14107225","49","3.14116225","49","50"
"30","3.14161975","56","3.141198","56","3.1414088749999998","56","57"
"31","3.142055","61","3.1416845","68","3.14186975","64","68"
"32","3.141497","52","3.14143025","50","3.141463625","51","53"
"33","3.1412705","46","3.1411395","50","3.1412050000000002","48","50"
"34","3.14273925","54","3.14110225","54","3.1419207499999997","54","54"
"35","3.14168675","59","3.14219275","62","3.1419397499999997","60","62"
"36","3.141392","53","3.1418895","54","3.14164075","53","55"
"37","3.1404825","57","3.141481","58","3.14098175","57","58"
"38","3.14169025","52","3.141578","52","3.141634125","52","52"
"39","3.14205725","54","3.14194425","50","3.1420007500000002","52","54"
"40","3.14168525","55","3.14134","55","3.141512625","55","56"
"41","3.1418495","46","3.142196","53","3.14202275","49","53"
"42","3.14109025","54","3.14144025","53","3.14126525","53","54"
"43","3.14115025","57","3.141701","58","3.141425625","57","58"
"44","3.14201225","49","3.141462","50","3.141737125","49","50"
"45","3.1410775","46","3.1419005","45","3.141489","45","47"
"46","3.141119","55","3.14258425","67","3.141851625","61","67"
"47","3.1415215","66","3.14056125","63","3.1410413750000004","64","67"
"48","3.1410875","59","3.1415585","59","3.141323","59","60"
"49","3.1412985","61","3.14135475","55","3.141326625","58","61"
"50","3.14151225","51","3.1411335","47","3.141322875","49","51"
"51","3.141041","58","3.141974","72","3.1415075","65","72"
"52","3.141828","58","3.142441","58","3.1421345","58","59"
"53","3.1420335","49","3.14185625","46","3.141944875","47","50"
"54","3.14125275","53","3.1416315","51","3.141442125","52","53"
"55","3.14195175","48","3.14162425","43","3.141788","45","48"
"56","3.141678","47","3.14127475","51","3.141476375","49","51"
"57","3.14094975","44","3.1412795","42","3.141114625","43","45"
"58","3.142297","47","3.14158875","48","3.141942875","47","48"
"59","3.14144625","48","3.1417765","49","3.141611375","48","49"
"60","3.14248225","50","3.1411665","52","3.141824375","51","52"
"61","3.141838","49","3.14176325","49","3.141800625","49","50"
"62","3.141229","45","3.1413975","49","3.14131325","47","49"
"63","3.1420265","49","3.14156475","47","3.1417956250000003","48","49"
"64","3.14148725","49","3.1413045","53","3.1413958749999997","51","53"
"65","3.1415875","51","3.1419875","47","3.1417875","49","51"
"66","3.1416635","45","3.14166775","48","3.141665625","46","49"
"67","3.142407","60","3.141658","63","3.1420325","61","63"
"68","3.1412095","46","3.14145125","49","3.141330375","47","49"
"69","3.14231575","44","3.1414135","46","3.141864625","45","46"
"70","3.14186325","53","3.14143575","51","3.1416494999999998","52","53"
"71","3.14173525","60","3.141294","52","3.141514625","56","60"
"72","3.1408905","51","3.1413315","48","3.141111","49","52"
"73","3.142153","49","3.1412875","49","3.1417202499999997","49","49"
"74","3.141711","53","3.14136025","52","3.141535625","52","53"
"75","3.141003","50","3.14138425","47","3.141193625","48","50"
"76","3.14149725","46","3.1422935","43","3.141895375","44","46"
"77","3.14078625","47","3.14146","50","3.141123125","48","50"
"78","3.14114275","42","3.141534","54","3.141338375","48","54"
"79","3.1414085","42","3.1416675","48","3.1415379999999997","45","48"
"80","3.14126925","49","3.14164075","54","3.141455","51","54"
"81","3.1410405","49","3.1423635","47","3.141702","48","49"
"82","3.141808","52","3.1407735","49","3.14129075","50","52"
"83","3.14070425","47","3.14159175","52","3.1411480000000003","49","52"
"84","3.14160025","48","3.142108","47","3.141854125","47","48"
"85","3.1414545","46","3.1412935","48","3.141374","47","49"
"86","3.14091575","47","3.14140325","48","3.1411595","47","48"
"87","3.14172975","50","3.14063575","60","3.14118275","55","60"
"88","3.14143825","63","3.14129375","53","3.141366","58","63"
"89","3.1417325","48","3.14123","50","3.14148125","49","50"
"90","3.14088125","45","3.142025","48","3.141453125","46","48"
"91","3.141616","47","3.14037375","47","3.140994875","47","47"
"92","3.14229875","49","3.1417345","49","3.142016625","49","50"
"93","3.14191325","41","3.14153675","43","3.141725","42","43"
"94","3.14203925","44","3.14203925","48","3.14203925","46","48"
"95","3.14171325","48","3.14189325","52","3.1418032499999997","50","52"
"96","3.1418705","40","3.1422515","45","3.142061","42","45"
"97","3.14155875","45","3.1417095","45","3.1416341250000004","45","45"
"98","3.14165025","47","3.142331","47","3.141990625","47","47"
