"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14193025","211","3.14157775","211","3.14199125","262","3.14157675","252","3.14130225","252","3.1416605","252","3.14171975","252","3.14202875","251","3.14119225","252","3.14172275","241","3.1414515","262","3.14160425","252","3.14160075","221","3.141642980769231","243","272"
"2","3.14149","72","3.1413535","242","3.14164","259","3.141385","253","3.14126425","247","3.14250625","247","3.1408815","259","3.14216225","258","3.14154375","247","3.141602","258","3.1414085","250","3.14216025","258","3.14147675","246","3.1416056923076927","238","259"
"3","3.141651","166","3.1417375","166","3.14176025","246","3.141133","256","3.141933","254","3.14170925","189","3.14106625","188","3.141638","245","3.1411345","245","3.141869","255","3.1417615","249","3.1410715","250","3.14143625","249","3.1415308461538465","227","256"
"4","3.142186","206","3.141305","236","3.14105775","236","3.1419085","242","3.14220675","247","3.14078175","246","3.14142325","236","3.142753","245","3.14077325","244","3.141609","251","3.1416195","236","3.14118025","236","3.14147575","246","3.14155998076923","239","251"
"5","3.141215","261","3.1408125","289","3.14199575","284","3.14107875","261","3.14209325","278","3.1416385","278","3.142514","285","3.14172525","286","3.14145425","283","3.14195525","285","3.14063925","281","3.14155775","281","3.142109","293","3.141599115384615","280","294"
"6","3.14144075","261","3.14195","250","3.14189075","262","3.14137425","250","3.14216525","251","3.14176","237","3.14163425","250","3.141371","256","3.14116925","250","3.1415695","250","3.142053","261","3.1415735","250","3.14131325","261","3.14163575","253","262"
"7","3.141681","242","3.14130275","253","3.141414","240","3.141587","246","3.14214075","253","3.14172","210","3.141774","255","3.14159025","255","3.142171","256","3.1419495","252","3.1418335","242","3.14136475","254","3.1412185","253","3.141672846153846","247","256"
"8","3.1415415","211","3.1419055","260","3.1420505","260","3.14128525","253","3.14205275","253","3.1420235","255","3.14140325","247","3.14192175","247","3.14138875","257","3.1420005","253","3.1420405","255","3.14207725","254","3.14151225","247","3.141784865384615","250","260"
"9","3.141635","255","3.14096375","255","3.141853","247","3.14132575","243","3.14115175","253","3.14145125","253","3.1416945","243","3.141246","242","3.1421195","243","3.14181675","240","3.1412195","244","3.1419915","238","3.14196575","251","3.1415718461538464","246","255"
"10","3.14114175","161","3.1419365","248","3.1418885","256","3.1412355","251","3.14231825","256","3.14157675","248","3.14132075","259","3.14180225","261","3.1418435","248","3.14194825","220","3.1409655","260","3.1426445","262","3.14178325","256","3.141723480769232","245","262"
"11","3.14170175","93","3.141081","238","3.1414315","111","3.14130875","181","3.1415675","274","3.14145","248","3.141176","274","3.14160475","268","3.141312","265","3.1411965","265","3.14222575","272","3.141471","272","3.14163425","272","3.1414739038461543","233","277"
"12","3.14184375","150","3.140542","220","3.14105875","258","3.1422975","259","3.1419135","249","3.142397","257","3.141819","259","3.14068625","261","3.1410145","249","3.1417795","260","3.14166175","249","3.14116175","249","3.14148875","254","3.1415126153846153","244","261"
"13","3.14204225","202","3.14129275","248","3.14139325","256","3.141365","256","3.1422885","259","3.14160175","249","3.14137775","256","3.141457","248","3.14173925","250","3.14096825","251","3.141528","252","3.14200425","251","3.1417445","248","3.1416001923076924","248","259"
"14","3.14133025","168","3.14180475","279","3.14169675","262","3.14191025","271","3.14150325","274","3.1413135","276","3.14162925","265","3.1413845","275","3.141676","272","3.1418215","245","3.14189075","271","3.14132675","262","3.14155225","272","3.1416030576923077","260","279"
"15","3.142296","242","3.1423155","239","3.14178","226","3.142363","226","3.1418455","247","3.1410555","239","3.14159475","248","3.14167375","246","3.14150275","247","3.14208825","182","3.1409885","232","3.14197","248","3.140765","242","3.141710653846154","235","249"
"16","3.14190225","216","3.1413695","246","3.14155125","246","3.140916","246","3.1416395","246","3.1419405","250","3.1414005","248","3.1409325","246","3.1418765","236","3.1409755","249","3.14144375","250","3.1409395","252","3.1420415","254","3.1414560576923076","245","255"
"17","3.14189575","255","3.14163","240","3.141076","257","3.14234475","256","3.14162","250","3.14156625","241","3.14218175","256","3.141932","241","3.141358","249","3.14138475","253","3.1416575","256","3.141989","246","3.14210425","240","3.141749230769231","249","257"
"18","3.14106325","258","3.14100875","252","3.1413415","255","3.14148825","250","3.14119025","250","3.14076825","252","3.1417625","250","3.1413425","250","3.1417515","257","3.14036275","250","3.14117575","258","3.14183225","258","3.14183425","250","3.141301673076924","253","259"
"19","3.1414885","250","3.14181025","250","3.141454","230","3.14171575","230","3.1416845","249","3.14215575","250","3.14199125","251","3.141289","248","3.1407205","255","3.141477","256","3.14224975","253","3.14166225","230","3.14172475","254","3.1416479423076926","246","258"
"20","3.141818","143","3.14153875","238","3.140553","254","3.14151975","237","3.1423435","238","3.14183325","254","3.14231475","254","3.141287","254","3.1409685","254","3.14158075","254","3.141216","254","3.14210925","254","3.14157975","254","3.1415894038461536","241","254"
"21","3.141838","244","3.14187525","236","3.1415665","234","3.14238175","241","3.14189975","246","3.14243625","205","3.14155425","234","3.14215075","235","3.14151175","215","3.1413135","246","3.14135","236","3.14142825","235","3.14167675","242","3.1417679038461537","234","246"
"22","3.14144575","178","3.14193725","247","3.14178525","261","3.14160625","247","3.14171975","248","3.1419965","262","3.1413805","247","3.14216875","251","3.14173","248","3.141928","256","3.1416735","263","3.14136625","256","3.14106","258","3.14167675","247","263"
"23","3.1410255","181","3.14148075","249","3.1415115","245","3.141902","247","3.1419005","245","3.141651","249","3.14105625","254","3.142438","248","3.141385","257","3.141489","245","3.1414485","250","3.14121575","246","3.1416365","241","3.1415492499999997","242","257"
"24","3.14198475","246","3.14239775","246","3.1418795","260","3.1414865","249","3.14155125","246","3.1414755","250","3.14187025","246","3.141383","246","3.14214075","247","3.1412305","257","3.14215325","258","3.14203875","246","3.14176625","259","3.1417967692307687","250","260"
"25","3.142164","180","3.14172825","253","3.14231175","253","3.14070525","254","3.14167125","252","3.14113775","253","3.14202825","253","3.14230125","258","3.142151","264","3.141589","255","3.141899","252","3.14178225","240","3.1414525","255","3.141763192307692","247","264"
"26","3.141858","248","3.14162925","236","3.14124575","245","3.14119625","239","3.14145125","222","3.14126725","244","3.141709","185","3.14124225","236","3.1411775","238","3.14248475","245","3.14151975","240","3.142162","172","3.1412545","236","3.141553653846154","229","248"
"27","3.1413235","245","3.141571","246","3.14126325","246","3.14103375","250","3.1416815","250","3.14212925","246","3.14132925","250","3.141715","246","3.141138","254","3.141034","254","3.142153","255","3.14177375","254","3.1408755","252","3.1414631346153845","249","255"
