"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14213975","45","3.14158","53","3.1418598749999997","49","63"
"2","3.14164","48","3.1415565","53","3.1415982500000004","50","53"
"3","3.14234925","49","3.14205875","49","3.142204","49","49"
"4","3.1417925","52","3.1418565","48","3.1418245000000002","50","52"
"5","3.141708","48","3.14257925","51","3.142143625","49","51"
"6","3.14151125","51","3.14213525","47","3.14182325","49","51"
"7","3.1416155","52","3.1415525","57","3.141584","54","57"
"8","3.14226125","50","3.14164575","46","3.1419534999999996","48","50"
"9","3.1418095","40","3.141771","55","3.1417902499999997","47","55"
"10","3.14115875","59","3.14148325","60","3.141321","59","61"
"11","3.1418575","43","3.14146175","45","3.141659625","44","45"
"12","3.141921","40","3.1419195","50","3.14192025","45","51"
"13","3.141678","49","3.14107475","49","3.141376375","49","49"
"14","3.141934","44","3.14155125","51","3.141742625","47","51"
"15","3.141505","47","3.14155075","51","3.141527875","49","51"
"16","3.1416595","53","3.141361","56","3.1415102499999996","54","57"
"17","3.1407285","37","3.14145625","51","3.141092375","44","51"
"18","3.14117175","46","3.14160075","50","3.14138625","48","50"
"19","3.14144225","51","3.1416415","53","3.1415418749999997","52","53"
"20","3.141166","66","3.141294","66","3.14123","66","66"
"21","3.14148725","48","3.14089025","51","3.14118875","49","51"
"22","3.1416295","45","3.1410695","51","3.1413495","48","51"
"23","3.1419245","46","3.1421425","50","3.1420335","48","51"
"24","3.14183725","51","3.14200825","51","3.14192275","51","51"
"25","3.1413665","53","3.14163325","56","3.141499875","54","56"
"26","3.14095675","42","3.141805","52","3.1413808750000003","47","52"
"27","3.1417375","48","3.14194025","53","3.1418388750000004","50","53"
"28","3.1407405","44","3.141783","50","3.14126175","47","50"
"29","3.14106925","48","3.14147225","50","3.1412707500000003","49","50"
"30","3.14145525","54","3.1404985","56","3.140976875","55","56"
"31","3.14154175","52","3.14092475","58","3.14123325","55","58"
"32","3.1410385","40","3.14137425","51","3.1412063750000003","45","51"
"33","3.141541","39","3.14102175","50","3.141281375","44","50"
"34","3.1413245","49","3.14093775","52","3.1411311250000002","50","52"
"35","3.1418735","52","3.14081125","51","3.141342375","51","52"
"36","3.141687","43","3.14173425","49","3.141710625","46","49"
"37","3.14140075","44","3.141651","51","3.141525875","47","51"
"38","3.14214125","38","3.14142625","47","3.14178375","42","47"
"39","3.141145","52","3.14106925","50","3.141107125","51","52"
"40","3.141567","46","3.14145425","46","3.141510625","46","46"
"41","3.141954","42","3.1411105","47","3.14153225","44","47"
"42","3.14160025","50","3.14163975","49","3.14162","49","50"
