"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14120975","98","3.1416965","95","3.141583","99","3.14187125","102","3.141590125","98","132"
"2","3.14137525","89","3.14199825","92","3.14129425","87","3.141264","92","3.1414829374999997","90","92"
"3","3.1411155","84","3.141542","85","3.141343","74","3.1415255","86","3.1413815","82","86"
"4","3.142201","88","3.1416485","77","3.141316","88","3.14188775","88","3.1417633125","85","88"
"5","3.14136125","79","3.1413115","83","3.14175025","82","3.14202525","75","3.1416120624999997","79","83"
"6","3.1416525","89","3.142132","84","3.1408645","78","3.141507","87","3.141539","84","89"
"7","3.14224725","74","3.14113525","83","3.14151425","74","3.1414195","78","3.1415790625","77","83"
"8","3.141442","59","3.1417235","87","3.1415265","87","3.1415925","87","3.141571125","80","87"
"9","3.14143975","80","3.14171025","77","3.141433","84","3.141276","82","3.14146475","80","84"
"10","3.14215975","76","3.14137375","76","3.14092","85","3.142095","78","3.141637125","78","85"
"11","3.14124375","86","3.14119725","79","3.1413095","79","3.141606","84","3.141339125","82","86"
"12","3.141335","87","3.14106675","87","3.14211675","87","3.14209075","102","3.1416523124999998","90","102"
"13","3.141357","77","3.14168","83","3.1416695","79","3.14139725","79","3.1415259375","79","83"
"14","3.1413615","86","3.14150975","77","3.141495","74","3.1411905","85","3.1413891874999997","80","86"
"15","3.14142375","84","3.14033925","84","3.1416525","82","3.1418945","84","3.1413275","83","84"
"16","3.141919","87","3.1416045","87","3.14113","101","3.1411335","101","3.14144675","94","102"
"17","3.14191525","84","3.141586","81","3.14140925","81","3.1414145","78","3.14158125","81","84"
"18","3.14150825","77","3.141253","85","3.14093625","80","3.141572","78","3.141317375","80","85"
"19","3.141952","54","3.1416535","75","3.141489","77","3.14135025","83","3.1416111875","72","84"
"20","3.142113","100","3.14154725","85","3.141993","100","3.141398","99","3.1417628125","96","100"
"21","3.141707","75","3.14184975","75","3.1411545","84","3.1421435","81","3.1417136875","78","84"
"22","3.1416115","87","3.1415865","86","3.141273","83","3.140803","87","3.1413185","85","87"
"23","3.141998","76","3.14138575","84","3.14151075","87","3.141624","86","3.141629625","83","87"
"24","3.14160525","84","3.142114","85","3.14060525","95","3.14196975","92","3.1415735625","89","95"
"25","3.1408015","89","3.1417475","82","3.14201275","78","3.14124525","88","3.14145175","84","89"
"26","3.140939","76","3.141736","77","3.142019","82","3.14166225","82","3.1415890624999996","79","82"
"27","3.1415095","77","3.14174525","87","3.1413345","79","3.141167","83","3.1414390625","81","87"
"28","3.14173675","97","3.141319","93","3.14173675","95","3.1412155","95","3.141502","95","97"
"29","3.14151125","78","3.142","88","3.14122475","89","3.142478","79","3.1418035","83","89"
"30","3.14075125","74","3.1423635","87","3.1425995","77","3.1421945","87","3.1419771875","81","87"
"31","3.1411665","85","3.141939","81","3.14188075","88","3.14161025","80","3.141649125","83","89"
"32","3.14171525","91","3.141281","93","3.141717","91","3.14123175","93","3.14148625","92","93"
"33","3.141935","86","3.14116975","80","3.14145075","78","3.1420665","77","3.1416555","80","86"
"34","3.14097275","84","3.1412695","83","3.1413295","84","3.1419345","84","3.1413765624999996","83","84"
"35","3.1412395","73","3.141526","73","3.14186175","80","3.1415325","73","3.1415399375","74","80"
"36","3.14151125","85","3.142437","91","3.1417045","98","3.1415195","86","3.1417930624999997","90","98"
"37","3.1414955","71","3.141357","74","3.1419855","78","3.141551","82","3.1415972500000002","76","83"
"38","3.14203375","82","3.140934","81","3.1415965","87","3.14112875","71","3.14142325","80","87"
"39","3.141806","84","3.14206075","85","3.141384","74","3.142078","82","3.1418321875","81","86"
"40","3.14121275","95","3.14090975","95","3.14183175","87","3.14162325","95","3.141394375","93","96"
"41","3.14123625","86","3.141512","83","3.14181025","88","3.141678","87","3.141559125","86","89"
"42","3.14120025","82","3.141065","87","3.14215775","87","3.14166875","85","3.1415229375000004","85","87"
"43","3.1416515","76","3.14137125","88","3.1421325","86","3.14153825","84","3.1416733750000003","83","88"
"44","3.14181125","81","3.14089775","93","3.1414675","93","3.1412655","83","3.1413605000000002","87","93"
"45","3.1415465","81","3.14171575","85","3.1411575","73","3.1421285","84","3.1416370625","80","85"
"46","3.141775","86","3.141057","91","3.1416255","85","3.14096275","92","3.1413550624999997","88","92"
"47","3.14142275","75","3.141834","82","3.141864","77","3.1420115","73","3.1417830625","76","82"
"48","3.141541","91","3.142065","81","3.1420425","91","3.141463","92","3.1417778750000003","88","92"
"49","3.1413185","86","3.14149275","85","3.14191625","78","3.14113875","83","3.1414665625","83","86"
