"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.141626","103","3.14187","93","3.1418325","94","3.141916","93","3.14189325","94","3.14182755","95","113"
"2","3.141488","92","3.141747","92","3.14097025","94","3.14102375","102","3.14134175","100","3.1413141500000004","96","102"
"3","3.141051","110","3.142143","111","3.1416465","109","3.141742","114","3.14202075","116","3.14172065","112","116"
"4","3.14177075","103","3.141626","101","3.14131725","107","3.1419725","102","3.140336","103","3.1414044999999997","103","107"
"5","3.1413015","90","3.14200275","106","3.14185925","97","3.1414865","101","3.14121225","100","3.14157245","98","106"
"6","3.14042875","96","3.1421245","101","3.14187675","113","3.14202075","110","3.1412585","112","3.1415418500000003","106","113"
"7","3.1419285","87","3.14123275","105","3.1410435","103","3.1412195","94","3.1412275","104","3.1413303499999996","98","105"
"8","3.1419805","94","3.14232375","101","3.141698","108","3.14089375","108","3.14095475","106","3.14157015","103","108"
"9","3.142229","100","3.141256","103","3.1411935","112","3.1426445","102","3.14166125","105","3.1417968499999995","104","112"
"10","3.1411385","89","3.1417125","89","3.14182175","102","3.14166975","100","3.14098175","100","3.1414648499999998","96","102"
"11","3.1411215","92","3.1408655","93","3.141558","95","3.14159075","102","3.14149275","104","3.1413257000000003","97","104"
"12","3.141623","114","3.14230475","116","3.14138375","119","3.1419435","109","3.1407065","109","3.1415923","113","119"
"13","3.14150225","90","3.14207075","92","3.142163","94","3.14254875","104","3.14136825","102","3.1419306","96","104"
"14","3.1410345","85","3.1417445","75","3.14129775","105","3.1411975","95","3.1410885","107","3.14127255","93","107"
"15","3.1419875","106","3.14153275","106","3.141368","106","3.141923","106","3.14171125","106","3.1417045000000003","106","106"
"16","3.141615","101","3.14172","106","3.14150275","103","3.14156675","106","3.14147525","112","3.141575949999999","105","112"
"17","3.142069","67","3.1418425","68","3.1411355","99","3.14190725","103","3.141504","104","3.1416916499999994","88","104"
"18","3.1413785","92","3.1414335","104","3.14172125","97","3.14197825","104","3.141544","97","3.1416111","98","104"
"19","3.14162425","112","3.14159025","106","3.141778","106","3.1422005","108","3.14101125","105","3.14164085","107","112"
"20","3.1419425","105","3.14213475","106","3.141465","106","3.1415295","105","3.14146875","99","3.1417081","104","106"
"21","3.14207475","85","3.1413655","92","3.14116025","98","3.14136425","100","3.141255","99","3.14144395","94","101"
"22","3.1418555","101","3.142266","113","3.14226675","102","3.14124275","103","3.1406125","102","3.1416486999999997","104","113"
"23","3.1420455","105","3.14194025","97","3.140792","99","3.14157975","104","3.141532","100","3.1415779","101","105"
"24","3.14177475","104","3.141791","104","3.1419825","96","3.14192825","95","3.14193775","100","3.14188285","99","104"
"25","3.14106525","101","3.1415345","101","3.1416275","110","3.141212","111","3.1409195","111","3.14127175","106","111"
"26","3.14126225","94","3.14156","97","3.14122175","94","3.14181","95","3.141353","93","3.1414414","94","97"
"27","3.14108475","91","3.14183575","91","3.14194425","100","3.14143375","95","3.141649","92","3.1415895","93","100"
"28","3.141618","97","3.141022","111","3.14204125","96","3.14193625","103","3.141221","111","3.1415677","103","111"
"29","3.14147825","97","3.14154175","96","3.141363","96","3.14273225","96","3.1416835","95","3.14175975","96","97"
"30","3.14196775","92","3.14107275","104","3.14226275","93","3.142022","92","3.14114175","94","3.1416934","95","104"
"31","3.141649","111","3.1414335","115","3.14125275","117","3.1417235","112","3.141675","115","3.14154675","114","117"
"32","3.141287","76","3.1418995","109","3.14116775","101","3.14106275","103","3.14162375","108","3.14140815","99","109"
"33","3.14126775","104","3.1411375","100","3.14226475","94","3.14180625","96","3.14093225","96","3.1414817","98","104"
"34","3.1419335","113","3.14099625","99","3.142245","112","3.1414395","112","3.1412165","99","3.14156615","107","113"
"35","3.14169375","113","3.14140575","102","3.14094825","102","3.14105575","103","3.1422065","112","3.1414619999999998","106","113"
"36","3.14114925","86","3.14178925","104","3.14149","104","3.14119175","104","3.1414945","99","3.1414229500000004","99","104"
"37","3.14137075","96","3.14124125","98","3.14255225","105","3.1417255","104","3.1419425","101","3.14176645","100","105"
"38","3.1415845","114","3.14167725","113","3.141695","99","3.1418485","102","3.141289","102","3.14161885","106","114"
"39","3.14107525","96","3.140937","99","3.1419155","101","3.1413005","102","3.14201425","105","3.1414485","100","105"
"40","3.1415635","93","3.14121825","93","3.1412995","103","3.14079325","105","3.141639","106","3.1413027","100","106"
"41","3.1416255","107","3.1418025","115","3.1412155","113","3.14120975","116","3.1410215","113","3.1413749500000003","112","116"
"42","3.1408345","93","3.14192025","97","3.1410595","94","3.14179025","97","3.14125075","99","3.14137105","96","99"
"43","3.1412585","101","3.141249","103","3.1421965","100","3.141054","103","3.1416165","100","3.1414749","101","103"
"44","3.1411005","105","3.1409905","105","3.14114725","119","3.14196075","117","3.14163275","117","3.1413663499999998","112","119"
"45","3.142316","98","3.1414515","97","3.1409675","96","3.14214375","104","3.1415585","103","3.14168745","99","104"
"46","3.14196175","88","3.14142275","93","3.14236875","88","3.14201525","97","3.14201525","98","3.14195675","92","98"
"47","3.1411625","116","3.14189225","104","3.14083025","109","3.14142475","116","3.14227825","104","3.1415176000000002","109","116"
"48","3.14115875","82","3.1417475","104","3.1414665","98","3.1416565","104","3.14202575","91","3.141611","95","104"
"49","3.14156825","93","3.141611","93","3.140818","97","3.141928","103","3.14144675","99","3.1414744","97","103"
"50","3.1416405","134","3.14278125","124","3.1417005","133","3.1414235","124","3.1414635","134","3.14180185","129","135"
"51","3.14167625","99","3.1418905","105","3.14063925","98","3.141598","104","3.14162925","99","3.14148665","101","105"
"52","3.14111","99","3.14224475","97","3.1412785","104","3.14179575","97","3.14212475","97","3.14171075","98","104"
"53","3.14223875","88","3.14090675","94","3.14157375","108","3.14152175","108","3.141855","108","3.1416191999999996","101","108"
"54","3.142154","98","3.14108","102","3.14187225","98","3.14162575","102","3.14191475","91","3.1417293500000003","98","102"
"55","3.142458","107","3.14121725","99","3.1417165","108","3.14073225","108","3.1422785","106","3.1416804999999997","105","108"
"56","3.1412435","107","3.141382","106","3.141626","101","3.14123125","104","3.14088425","104","3.1412734","104","107"
"57","3.1414325","109","3.14132325","99","3.14094975","95","3.14132675","107","3.141972","108","3.14140085","103","109"
"58","3.141734","61","3.14158475","94","3.1415005","98","3.14147825","97","3.141835","97","3.1416265","89","98"
"59","3.142027","98","3.14203325","94","3.14153825","95","3.140949","106","3.14171","103","3.1416514999999996","99","106"
"60","3.1411335","96","3.140737","107","3.14132925","103","3.14132625","114","3.14162275","103","3.14122975","104","114"
"61","3.14142725","96","3.1408585","96","3.141727","99","3.14153625","105","3.142096","102","3.141529","99","105"
"62","3.1420035","82","3.1417895","105","3.14209325","102","3.14174125","104","3.14252125","105","3.14202975","99","106"
"63","3.141202","108","3.14155225","115","3.14139675","117","3.1412935","115","3.1418595","115","3.1414608","114","117"
"64","3.14160425","70","3.14198325","108","3.141569","109","3.14141275","99","3.141777","110","3.14166925","99","113"
"65","3.14155225","101","3.141971","97","3.141638","95","3.1423975","106","3.14145975","106","3.1418036999999996","101","106"
"66","3.1413605","122","3.14182725","122","3.14126075","116","3.141371","124","3.14153625","122","3.14147115","121","124"
"67","3.14187","96","3.14114975","103","3.14142525","109","3.141965","100","3.141151","107","3.1415121999999998","103","109"
"68","3.1415335","96","3.14159775","98","3.14240825","95","3.1418875","101","3.1411985","95","3.1417250999999995","97","101"
"69","3.14157275","122","3.1419225","116","3.1415665","122","3.14191175","113","3.14122125","122","3.14163895","119","122"
"70","3.14217625","98","3.14199","96","3.14149675","95","3.14158425","97","3.14191725","98","3.1418329000000003","96","98"
"71","3.14174775","95","3.14170825","99","3.14083125","103","3.14241075","97","3.141709","101","3.1416814000000004","99","103"
"72","3.14198575","107","3.14147175","107","3.14252175","107","3.14191575","107","3.141204","107","3.1418198","107","107"
"73","3.14200275","101","3.14187625","90","3.1416515","97","3.14077575","98","3.14168375","103","3.141598","97","104"
"74","3.14129525","95","3.14167","97","3.1416475","105","3.14084175","108","3.1410675","107","3.1413044","102","108"
"75","3.141274","99","3.141919","100","3.142249","98","3.142138","98","3.14162575","101","3.14184115","99","101"
"76","3.1418405","112","3.14192925","122","3.141747","122","3.14180675","117","3.14126525","120","3.14171775","118","122"
"77","3.1412385","95","3.1419815","97","3.14095975","101","3.14082375","97","3.14144","105","3.1412886999999996","99","105"
"78","3.14171525","100","3.141546","100","3.1416965","101","3.141676","106","3.14177425","109","3.1416816000000005","103","109"
"79","3.1410345","103","3.14163175","120","3.1414025","111","3.14169725","121","3.141973","111","3.1415478","113","121"
"80","3.14179475","115","3.14191275","117","3.14075975","114","3.141018","116","3.14168275","118","3.1414336","116","118"
"81","3.142012","108","3.14150075","104","3.1413335","108","3.141595","104","3.14179025","104","3.1416463","105","108"
"82","3.1426765","118","3.1414485","113","3.1414015","110","3.14147475","117","3.1423635","118","3.14187295","115","118"
"83","3.1424485","109","3.141563","109","3.14102025","110","3.141672","110","3.14137925","112","3.1416166","110","112"
"84","3.14157475","94","3.14223875","95","3.1411235","104","3.14182125","100","3.141052","105","3.14156205","99","105"
"85","3.14106275","118","3.141741","115","3.1419735","117","3.1412665","107","3.1424135","112","3.14169145","113","118"
"86","3.141445","100","3.14123575","100","3.14148975","108","3.140964","110","3.142054","106","3.1414377","104","110"
"87","3.14175375","75","3.1415935","101","3.141377","104","3.14191525","104","3.14121775","106","3.14157145","98","106"
"88","3.141835","116","3.14189175","108","3.1414895","109","3.1414435","111","3.14195925","109","3.1417238","110","116"
"89","3.1419865","99","3.140768","110","3.1419175","109","3.14130075","104","3.14157625","100","3.1415098","104","110"
"90","3.14136725","65","3.142279","108","3.1419055","109","3.1413575","109","3.14133025","112","3.1416479","100","112"
"91","3.14164875","109","3.14066575","109","3.14180675","109","3.14159225","109","3.1415175","109","3.1414462","109","109"
"92","3.1415685","101","3.14093475","101","3.14166425","93","3.14109825","104","3.14221825","101","3.1414968","100","104"
"93","3.14172075","43","3.1422345","100","3.14149675","99","3.1415335","104","3.141566","99","3.1417102999999997","89","104"
"94","3.14120975","104","3.14113525","104","3.1417365","94","3.14169625","104","3.141342","106","3.1414239499999996","102","106"
"95","3.1408715","101","3.14181825","104","3.14164825","109","3.14148875","111","3.14133375","108","3.1414321","106","111"
"96","3.141708","104","3.14229925","96","3.1407415","104","3.14144075","98","3.14174525","105","3.1415869499999998","101","105"
"97","3.1416335","96","3.14174225","100","3.14138975","103","3.14122875","101","3.14215575","101","3.14163","100","103"
"98","3.1414355","101","3.1410785","112","3.14085275","112","3.14119325","111","3.14150125","110","3.14121225","109","112"
"99","3.14116275","98","3.14119575","106","3.1413215","95","3.14155475","106","3.141842","105","3.1414153500000004","102","106"
"100","3.141206","96","3.14184775","96","3.14150175","96","3.141068","101","3.1411415","104","3.141353","98","105"
"Averages","3.141580339999999","98","3.1416171074999992","102","3.1415315849999983","103","3.141572842500001","104","3.1415539449999996","104","3.1415711640000006","102","108"
