"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.1409475","62","3.1412595","62","3.14146525","69","3.141224083333333","64","80"
"2","3.14096225","61","3.141083","63","3.141237","66","3.1410940833333334","63","67"
"3","3.1419755","58","3.14198325","68","3.1418215","67","3.1419267499999997","64","68"
"4","3.1412235","69","3.14175575","73","3.14244175","82","3.141807","74","82"
"5","3.1415835","60","3.14222","55","3.14086475","67","3.141556083333333","60","67"
"6","3.1414105","60","3.14149525","68","3.141841","62","3.1415822500000004","63","69"
"7","3.14215625","69","3.1414545","68","3.1416385","69","3.1417497500000002","68","69"
"8","3.141324","65","3.14177625","69","3.1408455","69","3.1413152500000003","67","69"
"9","3.14117025","55","3.14123625","61","3.14221725","68","3.14154125","61","69"
"10","3.14182575","64","3.14138775","71","3.14167075","76","3.1416280833333334","70","77"
"11","3.1417405","63","3.14212375","66","3.14114975","64","3.1416713333333335","64","67"
"12","3.1413925","72","3.1416805","75","3.141358","79","3.141477","75","79"
"13","3.1418615","85","3.1418495","87","3.14136825","91","3.141693083333333","87","91"
"14","3.141594","70","3.14174","75","3.1422205","75","3.1418515","73","75"
"15","3.14145","67","3.14123575","77","3.14171125","73","3.1414656666666665","72","77"
"16","3.141601","75","3.14196725","86","3.142642","86","3.1420700833333335","82","86"
"17","3.14156225","62","3.1414035","72","3.141886","72","3.14161725","68","72"
"18","3.14210675","65","3.14227325","69","3.14156475","68","3.1419815833333335","67","69"
"19","3.1422325","61","3.14192225","59","3.14188325","65","3.1420126666666666","61","65"
"20","3.14187325","55","3.1426275","68","3.14198","66","3.14216025","63","68"
"21","3.14105725","83","3.14185925","88","3.1420995","85","3.141672","85","88"
"22","3.1418645","59","3.140685","67","3.14161925","64","3.1413895833333334","63","68"
"23","3.14183875","60","3.1406955","71","3.141303","66","3.1412790833333335","65","71"
"24","3.14106825","56","3.141913","56","3.1417065","63","3.1415625833333336","58","64"
"25","3.14150675","62","3.14124125","70","3.141769","72","3.1415056666666668","68","72"
"26","3.14172675","55","3.141674","56","3.142156","58","3.14185225","56","58"
"27","3.14161475","75","3.1416985","82","3.141706","79","3.1416730833333335","78","82"
"28","3.14075225","57","3.140824","67","3.1412335","64","3.140936583333333","62","67"
"29","3.142146","58","3.1403835","58","3.14130375","68","3.14127775","61","69"
"30","3.14204725","66","3.14138675","59","3.14160125","73","3.1416784166666667","66","73"
"31","3.14148025","70","3.141216","71","3.14191","69","3.1415354166666667","70","71"
"32","3.1416335","81","3.1414995","68","3.14151175","81","3.14154825","76","81"
"33","3.14140675","58","3.14220875","62","3.1417795","67","3.1417983333333335","62","68"
"34","3.141228","82","3.141477","78","3.14099","78","3.1412316666666666","79","82"
"35","3.14144525","78","3.14114325","80","3.14148375","84","3.1413574166666662","80","84"
"36","3.141863","75","3.1418905","72","3.141707","73","3.1418201666666667","73","75"
"37","3.14049675","76","3.14167325","76","3.141453","76","3.141207666666667","76","76"
"38","3.1422825","57","3.14201725","63","3.14133775","64","3.141879166666667","61","64"
"39","3.141503","58","3.140931","64","3.1420705","68","3.1415015000000004","63","68"
"40","3.14204875","63","3.1426145","66","3.14168025","65","3.1421145","64","66"
"41","3.141214","65","3.14249075","65","3.1414325","55","3.141712416666667","61","66"
"42","3.142545","60","3.14132225","61","3.141037","68","3.14163475","63","68"
"43","3.14159825","77","3.14170375","77","3.14150575","77","3.141602583333333","77","77"
"44","3.14188125","62","3.14145825","64","3.1417855","67","3.1417083333333338","64","67"
"45","3.140927","67","3.141218","60","3.1409555","60","3.1410335000000003","62","67"
"46","3.141565","59","3.14192825","63","3.14183375","59","3.1417756666666663","60","63"
"47","3.1416245","66","3.14123725","63","3.1416345","67","3.1414987500000002","65","67"
