,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naive Implementation,,,,,,,,,,,,,,,,,,,,,,Naive Implementation,,,,,,,,,,,,,,,,,,,,
,Node Count,Average Elapsed Time (ms),,,,,,,,,,,,,,,,,,,,,Node Count,Speed Up,,,,,,,,,,,,,,,,,,,
,,1 Task,2 Task,3 Task,4 Task,5 Task,6 Task,7 Task,8 Task,9 Task,10 Task,11 Task,12 Task,13 Task,14 Task,15 Task,16 Task,17 Task,18 Task,19 Task,20 Task,,,1 Task,2 Task,3 Task,4 Task,5 Task,6 Task,7 Task,8 Task,9 Task,10 Task,11 Task,12 Task,13 Task,14 Task,15 Task,16 Task,17 Task,18 Task,19 Task,20 Task
,14,,,,,,,,,,,,,,,,,,,,,,14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,15,,,,,,,,,,,,,,,,,,,,,,15,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,16,4780,3641,2714,2144,1771,1520,1318,1172,1055,962,895,823,788,743,697,668,657,642,613,608,,16,0.98765690376569,0.991211205712716,0.99521002210759,0.995335820895522,0.994353472614342,0.984210526315789,0.986342943854325,0.983788395904437,0.980094786729858,0.976091476091476,0.960893854748603,0.974483596597813,0.954314720812183,0.955585464333782,0.944045911047346,0.955089820359282,0.916286149162861,0.906542056074766,0.895595432300163,0.863486842105263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuned Implementation,,,,,,,,,,,,,,,,,,,,,,Tuned Implementation,,,,,,,,,,,,,,,,,,,,
,Node Count,Average Elapsed Time (ms),,,,,,,,,,,,,,,,,,,,,Node Count,Speed Up,,,,,,,,,,,,,,,,,,,
,,1 Task,2 Task,3 Task,4 Task,5 Task,6 Task,7 Task,8 Task,9 Task,10 Task,11 Task,12 Task,13 Task,14 Task,15 Task,16 Task,17 Task,18 Task,19 Task,20 Task,,,1 Task,2 Task,3 Task,4 Task,5 Task,6 Task,7 Task,8 Task,9 Task,10 Task,11 Task,12 Task,13 Task,14 Task,15 Task,16 Task,17 Task,18 Task,19 Task,20 Task
,1,4787,3613,2700,2131,1760,1495,1304,1155,1037,940,869,816,756,711,669,642,620,607,607,599,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2,5154,3609,2692,2136,1760,1502,1305,1158,1039,941,865,810,764,718,672,638,613,587,574,552,,2,0.928793170353124,1.00110834026046,1.00297176820208,0.997659176029963,1,0.995339547270306,0.999233716475096,0.997409326424871,0.998075072184793,0.99893730074389,1.00462427745665,1.00740740740741,0.989528795811518,0.99025069637883,0.995535714285714,1.00626959247649,1.01141924959217,1.03407155025554,1.05749128919861,1.08514492753623
,3,4983,3616,2694,2130,1760,1498,1305,1151,1038,941,870,809,752,712,671,647,603,582,565,550,,3,0.960666265302027,0.999170353982301,1.0022271714922,1.00046948356808,1,0.997997329773031,0.999233716475096,1.00347523892268,0.999036608863198,0.99893730074389,0.998850574712644,1.00865265760198,1.00531914893617,0.998595505617978,0.997019374068554,0.992272024729521,1.02819237147595,1.04295532646048,1.07433628318584,1.08909090909091
