"Task Count","Iteration 1 Elapsed Time (ms)","Iteration 2 Elapsed Time (ms)","Iteration 3 Elapsed Time (ms)","Iteration 4 Elapsed Time (ms)","Iteration 5 Elapsed Time (ms)","Iteration 6 Elapsed Time (ms)","Iteration 7 Elapsed Time (ms)","Iteration 8 Elapsed Time (ms)","Iteration 9 Elapsed Time (ms)","Iteration 10 Elapsed Time (ms)","Average Elapsed Time (ms)"
"1","4713","4724","4727","4733","4739","4735","4713","4719","4698","4715","4721"
"1","3610","3610","3614","3636","3616","3611","3615","3594","3588","3601","3609"
"1","2688","2711","2705","2704","2700","2688","2705","2705","2711","2700","2701"
"1","2141","2137","2141","2125","2138","2134","2139","2125","2134","2132","2134"
"1","1768","1763","1766","1756","1758","1761","1759","1761","1761","1760","1761"
"1","1496","1502","1501","1491","1495","1498","1493","1500","1492","1492","1496"
"1","1292","1308","1303","1302","1305","1307","1301","1295","1297","1297","1300"
"1","1148","1154","1150","1151","1159","1160","1155","1160","1150","1148","1153"
"1","1047","1033","1028","1029","1028","1045","1029","1032","1032","1038","1034"
"1","941","929","942","937","937","944","935","940","943","942","939"
"1","858","855","854","852","850","861","855","855","887","874","860"
"1","790","788","820","782","815","825","783","811","788","825","802"
"1","768","731","737","759","752","742","767","733","772","759","752"
"1","706","703","723","693","716","723","726","707","729","680","710"
"1","656","644","663","673","661","680","639","639","648","683","658"
"1","608","635","636","643","659","655","647","636","635","634","638"
"1","607","581","619","595","623","587","601","604","588","615","602"
"1","577","573","585","587","588","588","584","568","590","584","582"
"1","560","558","539","546","535","556","555","547","543","552","549"
"1","528","516","530","525","540","531","519","517","523","527","525"
