"JPPF driver statistics" 
 
Execution 
 
"Total tasks executed" 50000
"Cumulated exec time" 2.37E+07
"Latest exec time" 416
"Min exec time" 0
"Max exec time" 4119
"Avg exec time" 474.05304
 
"Node Execution" 
 
"Cumulated node exec time" 19504
"Latest node exec time" 0
"Min node exec time" 0
"Max node exec time" 139
"Avg node exec time" 0.39008
 
"Network overhead" 
 
"Cumulated transport time" 2.37E+07
"Latest transport time" 416
"Min transport time" 0
"Max transport time" 4119
"Avg transport time" 473.66296
 
Jobs 
 
"Total submitted jobs" 509
"Latest number of jobs" 0
"Max number of jobs" 100
"Latest job exec time" 156863
"Min job exec time" 61
"Max job exec time" 157411
"Avg job exec time" 146744.827111984
"Min number of tasks in a job" 1
"Max number of tasks in a job" 1
"Avg number of tasks in a job" 1
 
"Job dispatches" 
 
"Total job dispatches" 50000
"Latest job dispatches" 0
"Max job dispatches" 941
"Latest dispatch time" 418
"Min dispatch time" 1
"Max dispatch time" 6409
"Avg dispatch time" 644.60634
"Min tasks in a dispatch" 1
"Max tasks in a dispatch" 1
"Avg tasks in a dispatch" 1
 
"Tasks distribution" 
 
"Min number of tasks in a job" 1
"Max number of tasks in a job" 1
"Avg number of tasks in a job" 1
"Min tasks in a dispatch" 1
"Max tasks in a dispatch" 1
"Avg tasks in a dispatch" 1
"Min dispatches per job" 1
"Max dispatches per job" 100
"Avg dispatches per job" 98.2318271119843
 
Queue 
 
"Latest queue time" 156990
"Cumulated queue time" 4.50E+09
"Min queue time" 0
"Max queue time" 157395
"Avg queue time" 89924.13888
"Total queued" 50000
"Queue Size" 0
"Max queue Size" 9988
 
Connections 
 
"number of nodes" 1
"Max number of nodes" 1
"Idle nodes" 1
"Busy nodes" 0
"number of clients" -26
"Max number of clients" 101
 
"Node Class Loading" 
 
"Total requests from nodes" 35
"Avg node request time" 1.82857142857143
"Min node request time" 0
"Max node request time" 45
"Latest node request time" 45
 
"Client Class Loading" 
 
"Total requests to clients" 2
"Avg client request time" 12.380762
"Min client request time" 7.374429
"Max client request time" 17.387095
"Latest client request time" 17.387095
 
"Inbound network traffic (MB)" 
 
"Traffic from clients" 1.74E+08
"Traffic from nodes" 1.13E+08
"JMX inbound traffic" 457831
"Total inbound traffic" 2.88E+08
 
"Outbound network traffic (MB)" 
 
"Traffic to clients" 1.09E+08
"Traffic to nodes" 1.81E+08
"JMX outbound traffic" 2.48E+08
"Total outbound traffic" 5.38E+08
