"JPPF driver statistics" 
 
Execution 
 
"Total tasks executed" 50000
"Cumulated exec time" 1.82E+07
"Latest exec time" 412
"Min exec time" 0
"Max exec time" 1656
"Avg exec time" 363.56652
 
"Node Execution" 
 
"Cumulated node exec time" 12383
"Latest node exec time" 0
"Min node exec time" 0
"Max node exec time" 121
"Avg node exec time" 0.24766
 
"Network overhead" 
 
"Cumulated transport time" 1.82E+07
"Latest transport time" 412
"Min transport time" 0
"Max transport time" 1656
"Avg transport time" 363.31886
 
Jobs 
 
"Total submitted jobs" 514
"Latest number of jobs" 0
"Max number of jobs" 100
"Latest job exec time" 155209
"Min job exec time" 38
"Max job exec time" 158112
"Avg job exec time" 145543.546692607
"Min number of tasks in a job" 1
"Max number of tasks in a job" 1
"Avg number of tasks in a job" 1
 
"Job dispatches" 
 
"Total job dispatches" 50000
"Latest job dispatches" 0
"Max job dispatches" 165
"Latest dispatch time" 414
"Min dispatch time" 0
"Max dispatch time" 4159
"Avg dispatch time" 536.96564
"Min tasks in a dispatch" 1
"Max tasks in a dispatch" 1
"Avg tasks in a dispatch" 1
 
"Tasks distribution" 
 
"Min number of tasks in a job" 1
"Max number of tasks in a job" 1
"Avg number of tasks in a job" 1
"Min tasks in a dispatch" 1
"Max tasks in a dispatch" 1
"Avg tasks in a dispatch" 1
"Min dispatches per job" 1
"Max dispatches per job" 100
"Avg dispatches per job" 97.2762645914397
 
Queue 
 
"Latest queue time" 153326
"Cumulated queue time" 4.42E+09
"Min queue time" 0
"Max queue time" 157699
"Avg queue time" 88436.13128
"Total queued" 50000
"Queue Size" 0
"Max queue Size" 9990
 
Connections 
 
"number of nodes" 3
"Max number of nodes" 3
"Idle nodes" 3
"Busy nodes" 0
"number of clients" -15
"Max number of clients" 101
 
"Node Class Loading" 
 
"Total requests from nodes" 105
"Avg node request time" 2.2
"Min node request time" 0
"Max node request time" 53
"Latest node request time" 35
 
"Client Class Loading" 
 
"Total requests to clients" 5
"Avg client request time" 27.835084
"Min client request time" 23.422376
"Max client request time" 30.356578
"Latest client request time" 28.515452
 
"Inbound network traffic (MB)" 
 
"Traffic from clients" 1.74E+08
"Traffic from nodes" 1.14E+08
"JMX inbound traffic" 5518281
"Total inbound traffic" 2.94E+08
 
"Outbound network traffic (MB)" 
 
"Traffic to clients" 1.09E+08
"Traffic to nodes" 1.81E+08
"JMX outbound traffic" 2.55E+08
"Total outbound traffic" 5.45E+08
