"Task Count","Iteration 1 Elapsed Time (ms)","Iteration 2 Elapsed Time (ms)","Iteration 3 Elapsed Time (ms)","Iteration 4 Elapsed Time (ms)","Iteration 5 Elapsed Time (ms)","Iteration 6 Elapsed Time (ms)","Iteration 7 Elapsed Time (ms)","Iteration 8 Elapsed Time (ms)","Iteration 9 Elapsed Time (ms)","Iteration 10 Elapsed Time (ms)","Average Elapsed Time (ms)"
"1","4858","4751","4750","4746","4749","4853","4750","4855","4738","4751","4780"
"1","3626","3629","3632","3615","3619","3630","3618","3709","3711","3627","3641"
"1","2708","2708","2715","2709","2769","2706","2704","2708","2709","2710","2714"
"1","2137","2145","2147","2148","2144","2145","2144","2144","2146","2145","2144"
"1","1773","1776","1772","1770","1768","1773","1778","1768","1767","1767","1771"
"1","1508","1506","1503","1504","1541","1542","1507","1541","1513","1542","1520"
"1","1321","1325","1312","1324","1315","1309","1344","1314","1313","1311","1318"
"1","1164","1165","1196","1161","1174","1174","1160","1171","1193","1166","1172"
"1","1042","1042","1043","1055","1066","1062","1041","1092","1043","1064","1055"
"1","956","970","969","967","969","976","958","954","956","946","962"
"1","892","890","914","890","912","891","888","875","904","898","895"
"1","841","828","811","835","817","825","807","814","841","814","823"
"1","821","760","819","768","796","805","800","756","777","779","788"
"1","756","775","755","752","723","734","730","753","725","734","743"
"1","712","677","729","727","663","701","664","704","712","685","697"
"1","687","653","669","657","691","656","684","632","666","694","668"
"1","684","640","655","664","623","626","675","686","642","675","657"
"1","610","667","679","640","618","647","613","630","665","652","642"
"1","591","611","600","603","617","625","597","673","607","612","613"
"1","579","622","645","577","568","614","605","625","628","617","608"
