"Task Count","Iteration 1 Elapsed Time (ms)","Iteration 2 Elapsed Time (ms)","Iteration 3 Elapsed Time (ms)","Iteration 4 Elapsed Time (ms)","Iteration 5 Elapsed Time (ms)","Iteration 6 Elapsed Time (ms)","Iteration 7 Elapsed Time (ms)","Iteration 8 Elapsed Time (ms)","Iteration 9 Elapsed Time (ms)","Iteration 10 Elapsed Time (ms)","Average Elapsed Time (ms)"
"1","7103","4759","4768","4763","4768","4764","4718","4725","4733","4735","4983"
"1","3633","3620","3612","3603","3606","3635","3610","3604","3610","3628","3616"
"1","2703","2691","2694","2694","2686","2700","2692","2698","2703","2679","2694"
"1","2130","2135","2134","2116","2136","2128","2124","2131","2136","2133","2130"
"1","1756","1761","1765","1763","1761","1758","1767","1762","1766","1745","1760"
"1","1496","1502","1500","1504","1499","1498","1500","1500","1499","1488","1498"
"1","1299","1296","1307","1303","1315","1330","1299","1293","1306","1309","1305"
"1","1153","1147","1151","1157","1149","1156","1154","1148","1141","1155","1151"
"1","1040","1034","1031","1037","1039","1035","1046","1039","1043","1041","1038"
"1","941","955","938","950","937","934","953","935","939","933","941"
"1","852","853","852","864","863","883","889","872","890","890","870"
"1","794","804","787","786","795","834","831","806","828","826","809"
"1","731","773","759","750","775","760","774","738","729","735","752"
"1","699","720","713","720","710","692","705","720","729","714","712"
"1","669","640","694","687","648","636","680","694","676","686","671"
"1","646","650","649","639","665","627","632","650","644","668","647"
"1","597","615","627","620","590","573","581","621","596","616","603"
"1","568","582","574","583","581","573","580","587","620","576","582"
"1","552","555","570","564","589","561","566","558","588","552","565"
"1","540","565","567","572","524","542","571","563","516","542","550"
