"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"1","3.142446","271","3.14214825","271","3.14155775","271","3.14173075","271","3.14196525","271","3.141684","271","3.14173075","271","3.141246","271","3.14248625","271","3.14156925","271","3.1413415","271","3.14191175","271","3.14111175","271","3.14112425","271","281"
"2","3.14137125","270","3.14162925","270","3.14194175","270","3.14146075","270","3.1414095","270","3.14116125","270","3.141937","270","3.1417495","270","3.141391","270","3.14260825","270","3.14191425","270","3.14032725","270","3.141385","270","3.141913","270","270"
"3","3.14182825","264","3.141961","264","3.14211775","264","3.1421215","264","3.141867","264","3.1418345","264","3.140964","264","3.14099575","264","3.14197625","264","3.14160225","264","3.142013","264","3.14144725","264","3.1423075","264","3.14145075","264","264"
"4","3.1412735","264","3.14154175","264","3.141579","264","3.14121375","264","3.1421715","264","3.1419975","264","3.14173325","264","3.14203275","264","3.142016","264","3.14155","264","3.14119075","264","3.1414895","264","3.1410025","264","3.14098775","264","264"
"5","3.14154775","270","3.14155025","270","3.14216775","270","3.1427605","270","3.14072775","270","3.14156225","270","3.14162325","270","3.14242225","270","3.14141675","270","3.141242","270","3.141227","270","3.1413385","270","3.14098375","270","3.14144225","270","270"
"6","3.14197275","271","3.140907","271","3.1416875","271","3.14146675","271","3.1416995","271","3.141796","271","3.1415285","271","3.1411165","271","3.141544","271","3.14153925","271","3.1416","271","3.14204425","271","3.141212","271","3.14134875","271","272"
"7","3.14120175","270","3.14180875","270","3.140728","270","3.141836","270","3.141564","270","3.14152875","270","3.14118275","270","3.1410325","270","3.14147575","270","3.1402805","270","3.14207275","270","3.14173925","270","3.141789","270","3.14126625","270","270"
"8","3.14155625","267","3.142336","267","3.1414955","267","3.14232","267","3.1425595","267","3.1418125","267","3.14157125","267","3.14157125","267","3.141488","267","3.14202025","267","3.1424745","267","3.1414285","267","3.14108675","267","3.1417445","267","267"
"9","3.14191825","262","3.142112","262","3.14166725","262","3.14163025","262","3.142182","262","3.141201","262","3.141887","262","3.14142525","262","3.14153125","262","3.14117125","262","3.14199175","262","3.14247025","262","3.14148075","262","3.14191925","262","262"
"10","3.14122925","265","3.14142075","265","3.14132275","265","3.14242775","265","3.1412755","265","3.141648","265","3.14144675","265","3.141273","265","3.142634","265","3.14137625","265","3.14133125","265","3.1409925","265","3.1412415","265","3.1421935","265","266"
"11","3.14072525","272","3.1414855","272","3.1416205","272","3.1414595","272","3.14162925","272","3.14202325","272","3.14195225","272","3.14220575","272","3.1415715","272","3.1419855","272","3.14155925","272","3.14144025","272","3.14210675","272","3.14233125","272","273"
"12","3.141394","266","3.14133325","266","3.14150575","266","3.141427","266","3.141361","266","3.14111","266","3.14205475","266","3.14185575","266","3.14074925","266","3.14138625","266","3.14148625","266","3.1415365","266","3.142","266","3.14145925","266","266"
"13","3.141463","271","3.14135925","271","3.141714","271","3.14147325","271","3.14136075","271","3.141546","271","3.14125725","271","3.14131625","271","3.14145025","271","3.1416985","271","3.14170425","271","3.14108625","271","3.14143925","271","3.142254","271","271"
"14","3.14197675","283","3.14160975","283","3.14153575","283","3.14159625","283","3.141442","283","3.1421185","283","3.1424115","283","3.14217175","283","3.1410025","283","3.14199825","283","3.14156475","283","3.141844","283","3.141064","283","3.1414585","283","283"
"15","3.14181825","265","3.14219825","265","3.14181525","265","3.14149325","265","3.141757","265","3.14181175","265","3.141364","265","3.1420945","265","3.141094","265","3.14145","265","3.1416325","265","3.14106025","265","3.14163475","265","3.141386","265","265"
"16","3.14194675","270","3.1419","270","3.14166775","270","3.1414045","270","3.14105775","270","3.1416945","270","3.14084475","270","3.1413545","270","3.14154325","270","3.14272375","270","3.14244375","270","3.14134725","270","3.142517","270","3.141814","270","270"
"17","3.14089575","279","3.14079325","279","3.14159025","279","3.1407605","279","3.1412875","279","3.14165425","279","3.1422175","279","3.14132975","279","3.14143775","279","3.14102525","279","3.141636","279","3.141119","279","3.14151125","279","3.141486","279","279"
"18","3.141433","268","3.14214175","268","3.14164125","268","3.1414685","268","3.1417275","268","3.1416405","268","3.14171875","268","3.1417635","268","3.14139875","268","3.14182575","268","3.1420065","268","3.1416695","268","3.14126225","268","3.141497","268","269"
"19","3.1422905","266","3.14152275","266","3.14146675","266","3.1421515","266","3.14221525","266","3.14204375","266","3.141733","266","3.1410405","266","3.14119925","266","3.1417715","266","3.1409445","266","3.141356","266","3.141628","266","3.141944","266","266"
"20","3.141687","264","3.1409395","264","3.14203075","264","3.14200375","264","3.141447","264","3.1415885","264","3.14102975","264","3.141622","264","3.14169075","264","3.141578","264","3.14130275","264","3.14107725","264","3.14165","264","3.14231225","264","265"
"21","3.14128275","267","3.1414895","267","3.14208575","267","3.14078825","267","3.1414035","267","3.14135725","267","3.14165875","267","3.1418525","267","3.141432","267","3.140477","267","3.1424725","267","3.141805","267","3.1424745","267","3.14142425","267","267"
"22","3.14210075","268","3.141161","268","3.14137775","268","3.14215625","268","3.14138175","268","3.1408375","268","3.1413355","268","3.142096","268","3.1419605","268","3.14185775","268","3.141238","268","3.14062375","268","3.14197675","268","3.14165825","268","268"
"23","3.1417325","259","3.141724","259","3.14194425","259","3.14169675","259","3.14137625","259","3.14243225","259","3.14131425","259","3.1416895","259","3.14122675","259","3.141983","259","3.141802","259","3.14148025","259","3.14110425","259","3.14140825","259","270"
"24","3.142393","270","3.1417155","270","3.1415945","270","3.1419345","270","3.14149725","270","3.1417285","270","3.141972","270","3.1413775","270","3.1419505","270","3.1417855","270","3.14170075","270","3.1413105","270","3.14153125","270","3.1421075","270","270"
"25","3.1412365","270","3.14206375","270","3.141867","270","3.14106525","270","3.14120725","270","3.141287","270","3.1414955","270","3.141836","270","3.141684","270","3.1410155","270","3.1410805","270","3.1417","270","3.141029","270","3.1420765","270","270"
"26","3.142264","261","3.14163725","261","3.1409735","261","3.14074075","261","3.1415865","261","3.14223775","261","3.141599","261","3.1415125","261","3.1417585","261","3.14168575","261","3.1419865","261","3.1417695","261","3.14207075","261","3.1419955","261","261"
"27","3.14152925","271","3.14148475","271","3.14174775","271","3.14165","271","3.142058","271","3.1414475","271","3.141877","271","3.14198525","271","3.14169225","271","3.141183","271","3.14228075","271","3.14136575","271","3.1420215","271","3.141065","271","271"
