"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Total Runtime (ms)"
"69","3.1411855","103","3.1419195","103","3.14101325","103","3.14239475","103","3.1415715","103","103"
"70","3.1408885","102","3.141256","102","3.141742","102","3.1415835","102","3.1414795","102","102"
"71","3.141538","104","3.1415845","104","3.14155925","104","3.1419795","104","3.14113375","104","104"
"72","3.14239","117","3.141782","117","3.141018","117","3.14124175","117","3.14155","117","117"
"73","3.14137725","101","3.14107525","101","3.141382","101","3.1410345","101","3.1415495","101","101"
"74","3.14116225","97","3.14202925","97","3.14114975","97","3.14097525","97","3.141298","97","98"
"75","3.141014","115","3.14171375","115","3.14173425","115","3.141652","115","3.14242325","115","115"
"76","3.142386","101","3.14178575","101","3.14240775","101","3.14191925","101","3.14157125","101","101"
"77","3.14180775","106","3.14136","106","3.14194025","106","3.14146","106","3.14159025","106","106"
"78","3.141543","106","3.1413865","106","3.14113575","106","3.1416455","106","3.14204775","106","106"
"79","3.1413685","101","3.14075675","101","3.14178875","101","3.14139025","101","3.141801","101","101"
"80","3.141548","98","3.14198775","98","3.1419475","98","3.14143475","98","3.1407535","98","98"
"81","3.14251575","103","3.141696","103","3.1416935","103","3.1419625","103","3.14213575","103","103"
"82","3.1416395","110","3.14177975","110","3.14145475","110","3.14209575","110","3.14113625","110","110"
"83","3.1413235","106","3.14178225","106","3.140956","106","3.14116225","106","3.141283","106","106"
"84","3.1414595","102","3.141097","102","3.14163","102","3.14242025","102","3.14216","102","102"
"85","3.1417565","100","3.141601","100","3.14115275","100","3.1416915","100","3.14124475","100","101"
"86","3.1413065","101","3.141431","101","3.14146","101","3.14157325","101","3.142275","101","101"
"87","3.14148825","102","3.14144","102","3.1411135","102","3.141619","102","3.1411645","102","102"
"88","3.1412295","117","3.14178675","117","3.14152975","117","3.1416205","117","3.14202725","117","117"
"89","3.14138525","99","3.14226825","99","3.14148225","99","3.141644","99","3.1416385","99","99"
"90","3.1419665","103","3.140851","103","3.14145825","103","3.14236725","103","3.14101975","103","103"
"91","3.1409845","105","3.1413515","105","3.14132875","105","3.1407125","105","3.1419135","105","105"
"92","3.1409575","108","3.1410855","108","3.1416595","108","3.141438","108","3.14128575","108","108"
"93","3.14156725","101","3.14188725","101","3.141734","101","3.1408805","101","3.14139825","101","101"
"94","3.14165025","101","3.14055375","101","3.14113175","101","3.14163375","101","3.14183225","101","101"
"95","3.14195525","104","3.14183375","104","3.1423225","104","3.141161","104","3.1418495","104","104"
"96","3.1414695","103","3.141684","103","3.14146125","103","3.1420365","103","3.14225675","103","103"
"97","3.14058925","98","3.1419725","98","3.14157425","98","3.140905","98","3.14109775","98","98"
"98","3.1418765","108","3.141322","108","3.14160075","108","3.14184625","108","3.14094975","108","108"
"99","3.14191","104","3.14157875","104","3.142378","104","3.141505","104","3.14115","104","105"
"100","3.14125925","104","3.1416605","104","3.14229875","104","3.1415305","104","3.14197775","104","104"
