"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Total Runtime (ms)"
"1","3.1423555","157","3.1416295","157","3.1419385","157","3.14159475","157","3.14185475","157","3.14112675","157","3.14121575","157","3.14189925","157","167"
"2","3.14167325","164","3.14080025","164","3.1421545","164","3.1413985","164","3.1411865","164","3.14133225","164","3.141777","164","3.14132275","164","164"
"3","3.14224525","152","3.14163475","152","3.14156425","152","3.14151675","152","3.1430925","152","3.14148425","152","3.14154875","152","3.14245325","152","152"
"4","3.140923","162","3.14113525","162","3.14214625","162","3.14180975","162","3.14230125","162","3.14202975","162","3.14139175","162","3.14111125","162","162"
"5","3.14195325","156","3.1421345","156","3.14180975","156","3.1418935","156","3.14201175","156","3.141454","156","3.14163625","156","3.1402925","156","157"
"6","3.141494","153","3.14119","153","3.141908","153","3.14195775","153","3.14186025","153","3.142259","153","3.14144725","153","3.14201275","153","153"
"7","3.14175225","156","3.141098","156","3.1414135","156","3.14157675","156","3.14206225","156","3.1412285","156","3.14166475","156","3.14170875","156","156"
"8","3.1419645","153","3.14177225","153","3.1414675","153","3.141529","153","3.14194925","153","3.141919","153","3.1414325","153","3.1410525","153","153"
"9","3.14194875","153","3.141778","153","3.1414645","153","3.1419645","153","3.14169625","153","3.141386","153","3.14124225","153","3.14196525","153","153"
"10","3.1415855","161","3.14181075","161","3.1413995","161","3.141783","161","3.14201025","161","3.14201325","161","3.142112","161","3.14122725","161","161"
"11","3.14038275","167","3.1422875","167","3.14107725","167","3.14183825","167","3.13995625","167","3.14225475","167","3.14113825","167","3.14149075","167","168"
"12","3.14196825","159","3.141625","159","3.141259","159","3.141579","159","3.141561","159","3.14200275","159","3.141931","159","3.1419075","159","160"
"13","3.141438","155","3.14192075","155","3.14049625","155","3.141604","155","3.1420355","155","3.14092925","155","3.141384","155","3.1419685","155","155"
"14","3.141733","167","3.1422865","167","3.14097175","167","3.14166225","167","3.14235375","167","3.14149625","167","3.14219775","167","3.14146775","167","167"
"15","3.14131675","155","3.14146975","155","3.1413925","155","3.1420925","155","3.1418505","155","3.141144","155","3.141497","155","3.14131225","155","156"
"16","3.14208225","157","3.14138825","157","3.141481","157","3.141464","157","3.14118125","157","3.1420045","157","3.14114275","157","3.14214125","157","157"
"17","3.142213","156","3.1415175","156","3.14172125","156","3.142435","156","3.14163075","156","3.14172875","156","3.14253975","156","3.141302","156","157"
"18","3.14197525","158","3.14210275","158","3.1410055","158","3.14134425","158","3.141664","158","3.14118525","158","3.142006","158","3.141406","158","158"
"19","3.14074575","156","3.1414165","156","3.14181675","156","3.14171275","156","3.14125725","156","3.14177525","156","3.1406765","156","3.1408105","156","156"
"20","3.14161975","160","3.1417525","160","3.1413395","160","3.141853","160","3.14235025","160","3.141847","160","3.14164675","160","3.1412045","160","161"
