"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Total Runtime (ms)"
"1","3.141019","135","3.1406605","135","3.14107575","135","3.14157575","135","3.1413385","135","3.1414875","135","3.1418445","135","146"
"2","3.141731","138","3.14065375","138","3.14148025","138","3.141843","138","3.14120625","138","3.14169975","138","3.14212675","138","138"
"3","3.14191725","137","3.14135375","137","3.14141025","137","3.14188","137","3.14129375","137","3.141557","137","3.14221125","137","137"
"4","3.14151675","137","3.1420375","137","3.14167875","137","3.14083725","137","3.141169","137","3.1415635","137","3.142288","137","138"
"5","3.1412935","135","3.142031","135","3.1406145","135","3.1427605","135","3.1417295","135","3.1417375","135","3.142212","135","135"
"6","3.14139725","137","3.14180125","137","3.14128925","137","3.14173525","137","3.141783","137","3.14158425","137","3.1412815","137","137"
"7","3.1407215","146","3.14154575","146","3.141913","146","3.141982","146","3.141413","146","3.141486","146","3.14157925","146","146"
"8","3.1415825","140","3.141415","140","3.141619","140","3.14167775","140","3.14119125","140","3.14212625","140","3.14206225","140","141"
"9","3.141104","142","3.14175275","142","3.1416995","142","3.14240725","142","3.1416465","142","3.14102275","142","3.14212525","142","142"
"10","3.14158175","139","3.1419115","139","3.14156075","139","3.1417505","139","3.1421365","139","3.1419345","139","3.14174675","139","139"
"11","3.14201525","149","3.1405665","149","3.14184575","149","3.141041","149","3.1416675","149","3.1414655","149","3.1415845","149","149"
"12","3.14188875","135","3.14169725","135","3.14225","135","3.1417825","135","3.141739","135","3.1409905","135","3.14086475","135","135"
"13","3.141265","146","3.14117175","146","3.14143975","146","3.14189625","146","3.14136175","146","3.14212825","146","3.14251225","146","146"
"14","3.14196625","142","3.1418435","142","3.141918","142","3.14176975","142","3.1418635","142","3.14166475","142","3.14179325","142","142"
"15","3.1423065","140","3.14109825","140","3.14182525","140","3.14138775","140","3.141669","140","3.14084975","140","3.14233125","140","140"
"16","3.14160875","138","3.14168325","138","3.14173075","138","3.14200125","138","3.14159575","138","3.1416585","138","3.14207","138","138"
"17","3.141806","138","3.1419675","138","3.14156625","138","3.14191025","138","3.141935","138","3.14101225","138","3.14215675","138","138"
"18","3.14155625","140","3.1421335","140","3.14115625","140","3.14147725","140","3.1413145","140","3.141739","140","3.14150325","140","140"
"19","3.140868","146","3.14146325","146","3.14156825","146","3.14167175","146","3.14154775","146","3.14189325","146","3.14150475","146","146"
"20","3.14141475","145","3.1414675","145","3.1416685","145","3.14176225","145","3.14114","145","3.14145475","145","3.1416735","145","145"
"21","3.14187425","138","3.1417755","138","3.14169325","138","3.14180525","138","3.14157375","138","3.141689","138","3.14162975","138","138"
"22","3.14110975","141","3.14146225","141","3.14128525","141","3.14201875","141","3.14153225","141","3.14209975","141","3.14122975","141","141"
"23","3.14146625","138","3.142005","138","3.1428375","138","3.14206375","138","3.141552","138","3.14156925","138","3.141083","138","139"
"24","3.141832","137","3.141846","137","3.14149775","137","3.14180025","137","3.141532","137","3.14198475","137","3.14201425","137","137"
"25","3.14142675","139","3.141856","139","3.1418425","139","3.1418005","139","3.141201","139","3.14140925","139","3.14166975","139","139"
"26","3.14114475","140","3.142059","140","3.141209","140","3.1418925","140","3.1408335","140","3.14099775","140","3.14123825","140","140"
"27","3.141362","149","3.141602","149","3.1415145","149","3.141142","149","3.141688","149","3.14109925","149","3.141783","149","149"
"28","3.14125175","140","3.14211125","140","3.14155875","140","3.14126675","140","3.141119","140","3.141801","140","3.14135625","140","140"
"29","3.1419875","146","3.14146275","146","3.141587","146","3.14143125","146","3.14186575","146","3.1414535","146","3.1411615","146","147"
"30","3.14108475","134","3.14140375","134","3.1418325","134","3.141525","134","3.14092875","134","3.1416885","134","3.141708","134","137"
"31","3.14204475","150","3.14211225","150","3.14185925","150","3.14181","150","3.1408775","150","3.14183025","150","3.14126725","150","150"
"32","3.1418985","138","3.141822","138","3.1402405","138","3.141071","138","3.14167075","138","3.141764","138","3.14121875","138","140"
"33","3.141602","140","3.14126425","140","3.1408515","140","3.1415035","140","3.141262","140","3.14126","140","3.14246025","140","140"
"34","3.1430095","138","3.141461","138","3.141482","138","3.1410025","138","3.1415555","138","3.1413385","138","3.14222075","138","139"
"35","3.1418015","139","3.14182","139","3.14135775","139","3.1412735","139","3.1413645","139","3.14160525","139","3.14042","139","139"
"36","3.14095625","136","3.14127975","136","3.1412215","136","3.1419385","136","3.1419405","136","3.14182","136","3.1417755","136","136"
"37","3.14182","139","3.14182775","139","3.1413545","139","3.1408945","139","3.14134575","139","3.14183175","139","3.141198","139","139"
"38","3.1415985","144","3.14136625","144","3.141925","144","3.14170675","144","3.141782","144","3.14179475","144","3.14166425","144","144"
"39","3.14124575","138","3.14230675","138","3.141378","138","3.141511","138","3.14061475","138","3.14120675","138","3.14108225","138","138"
"40","3.140709","145","3.14215175","145","3.14184825","145","3.1410825","145","3.1420195","145","3.14186575","145","3.14114775","145","145"
"41","3.14159525","139","3.14184075","139","3.14151","139","3.141385","139","3.1426925","139","3.14166425","139","3.14148175","139","139"
"42","3.14131125","142","3.14095925","142","3.1413575","142","3.14185975","142","3.141347","142","3.14256325","142","3.14110925","142","142"
"43","3.14171125","139","3.1409705","139","3.14167975","139","3.14188625","139","3.14222","139","3.1417965","139","3.1414235","139","139"
"44","3.1417885","143","3.141893","143","3.14113075","143","3.142046","143","3.14146275","143","3.142804","143","3.141068","143","143"
"45","3.14209225","149","3.14145775","149","3.14116125","149","3.14139925","149","3.14204575","149","3.141707","149","3.141654","149","150"
