"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Total Runtime (ms)"
"1","3.141188","47","3.1412795","47","3.1419325","47","75"
"2","3.1414885","64","3.141622","64","3.14114525","64","65"
"3","3.1418205","66","3.14238925","66","3.14137675","66","66"
"4","3.1417675","63","3.14121775","63","3.14103525","63","63"
"5","3.14164475","68","3.14091125","68","3.14149225","68","68"
"6","3.14196725","65","3.14157525","65","3.142032","65","65"
"7","3.14084","61","3.14184625","61","3.14138325","61","61"
"8","3.14211825","66","3.14132","66","3.14201225","66","66"
"9","3.140772","67","3.14174","67","3.14157125","67","67"
"10","3.14240825","66","3.14143525","66","3.141087","66","66"
"11","3.14103825","67","3.1409715","67","3.140927","67","67"
"12","3.14251175","84","3.14086375","84","3.14222225","84","86"
"13","3.14157825","75","3.14142175","75","3.14185575","75","75"
"14","3.1413345","67","3.1410505","67","3.141612","67","67"
"15","3.141104","79","3.1415955","79","3.1417985","79","79"
"16","3.14147525","71","3.14185675","71","3.141671","71","71"
"17","3.14158","77","3.141382","77","3.14150425","77","77"
"18","3.141443","66","3.14168175","66","3.141011","66","66"
"19","3.14118","69","3.14189125","69","3.1415485","69","69"
"20","3.14193525","65","3.1415885","65","3.14183475","65","65"
"21","3.14135825","79","3.141027","79","3.1414905","79","79"
"22","3.14156575","67","3.1414915","67","3.1415825","67","67"
"23","3.14107575","69","3.14122625","69","3.14115675","69","69"
"24","3.1413485","68","3.1420165","68","3.14188075","68","68"
"25","3.14211325","63","3.14127125","63","3.14191225","63","63"
"26","3.1419385","69","3.141872","69","3.14103475","69","69"
"27","3.141451","67","3.14159075","67","3.141633","67","67"
"28","3.142127","63","3.14136375","63","3.14125175","63","63"
"29","3.1413625","71","3.14127575","71","3.1414405","71","71"
"30","3.14180875","73","3.14154925","73","3.14149","73","73"
"31","3.14174825","73","3.14089625","73","3.1408985","73","73"
"32","3.1425775","77","3.14163025","77","3.14170825","77","78"
"33","3.1418485","68","3.141196","68","3.14126125","68","68"
"34","3.14192875","72","3.1412395","72","3.141356","72","72"
"35","3.14174775","74","3.14126675","74","3.14114525","74","74"
"36","3.140812","73","3.1416085","73","3.14145875","73","73"
"37","3.14125325","81","3.142342","81","3.141527","81","81"
"38","3.14223675","69","3.14074375","69","3.14157875","69","69"
"39","3.14114275","80","3.14213225","80","3.14136525","80","81"
"40","3.14165325","67","3.14092025","67","3.14119525","67","68"
"41","3.14083775","78","3.1419055","78","3.14124675","78","78"
"42","3.1412275","62","3.14129375","62","3.14229925","62","62"
"43","3.14106375","74","3.1415395","74","3.14134025","74","74"
"44","3.1416935","63","3.14197025","63","3.1414295","63","63"
"45","3.14223425","63","3.14166125","63","3.141922","63","63"
"46","3.1414325","60","3.14143675","60","3.14238725","60","60"
"47","3.1420555","65","3.141185","65","3.14172125","65","65"
"48","3.1413035","66","3.14116","66","3.1409525","66","66"
"49","3.14216725","61","3.14128875","61","3.1415","61","61"
"50","3.140985","63","3.141295","63","3.14106575","63","64"
"51","3.14156075","64","3.141201","64","3.14111825","64","64"
"52","3.14243325","64","3.14209575","64","3.1415345","64","64"
"53","3.142076","63","3.141717","63","3.14166875","63","63"
"54","3.14160525","66","3.141849","66","3.14146225","66","67"
"55","3.14167075","64","3.14181825","64","3.14178675","64","64"
"56","3.14166825","63","3.14172425","63","3.14207675","63","63"
"57","3.1417185","65","3.14207425","65","3.14244075","65","65"
"58","3.141527","62","3.14083","62","3.14197075","62","62"
"59","3.141611","78","3.14178325","78","3.1416165","78","78"
"60","3.1416385","64","3.1416325","64","3.14166575","64","64"
"61","3.1419115","72","3.14125975","72","3.14136425","72","72"
"62","3.14140025","65","3.14160925","65","3.1420025","65","65"
"63","3.1422285","63","3.14179225","63","3.1418975","63","63"
"64","3.140955","62","3.141117","62","3.1416925","62","62"
"65","3.14117225","65","3.141047","65","3.14053075","65","65"
"66","3.14241775","72","3.1419615","72","3.141424","72","72"
"67","3.14145725","66","3.14233775","66","3.14117225","66","66"
"68","3.14084425","67","3.14204675","67","3.14180975","67","67"
"69","3.1416005","68","3.141622","68","3.141743","68","68"
"70","3.14222","70","3.1420585","70","3.14102225","70","71"
"71","3.14190375","64","3.14187775","64","3.14122725","64","64"
"72","3.14127225","65","3.141552","65","3.141893","65","65"
"73","3.14166375","73","3.14064","73","3.142484","73","73"
"74","3.1415995","75","3.142071","75","3.14179","75","75"
"75","3.141165","65","3.1422245","65","3.1418135","65","65"
"76","3.14144875","75","3.14157125","75","3.1420425","75","75"
"77","3.141331","63","3.14141675","63","3.14248175","63","63"
"78","3.1411345","74","3.14160475","74","3.14226775","74","74"
"79","3.141998","68","3.14193175","68","3.14099475","68","68"
"80","3.14111","64","3.14198675","64","3.14104275","64","64"
"81","3.1414365","69","3.1417105","69","3.14192475","69","69"
"82","3.14170025","66","3.14136875","66","3.141328","66","66"
"83","3.1417645","64","3.14108925","64","3.14112525","64","65"
"84","3.14172625","64","3.14047325","64","3.14147925","64","65"
"85","3.14176175","74","3.1410245","74","3.14121525","74","74"
"86","3.14147225","70","3.14095325","70","3.1414845","70","70"
"87","3.14088775","63","3.1414455","63","3.141939","63","63"
"88","3.14113175","69","3.14198775","69","3.1414935","69","70"
"89","3.1414425","60","3.14150575","60","3.14198925","60","60"
"90","3.14122075","64","3.141647","64","3.1416305","64","64"
"91","3.14154025","67","3.14146","67","3.14145325","67","67"
"92","3.1413185","63","3.14164875","63","3.14175225","63","63"
"93","3.14149775","67","3.141287","67","3.141873","67","67"
"94","3.14149125","67","3.1418345","67","3.14203275","67","67"
"95","3.14185725","71","3.141568","71","3.1409155","71","71"
"96","3.142065","66","3.1418985","66","3.14175625","66","66"
"97","3.14211675","66","3.1416835","66","3.14208","66","66"
"98","3.1417185","80","3.1417215","80","3.14164925","80","80"
"99","3.14128075","68","3.14165525","68","3.14192625","68","68"
"100","3.14138475","63","3.141303","63","3.1416315","63","66"
