"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"1","3.14187625","288","3.1408505","288","3.14225275","288","3.141451","288","3.141057","288","3.1410105","288","3.1413475","288","3.14072475","288","3.14123775","288","3.14174","288","3.14156125","288","3.1413465","288","3.141741","288","3.141533","288","3.14156775","288","301"
"2","3.14137275","284","3.14166875","284","3.14146875","284","3.141029","284","3.141678","284","3.14140875","284","3.142196","284","3.1416885","284","3.14177425","284","3.14193625","284","3.14184025","284","3.14171725","284","3.14194825","284","3.14161925","284","3.1417505","284","284"
"3","3.140903","287","3.14187525","287","3.14211725","287","3.14284225","287","3.1412835","287","3.142512","287","3.141422","287","3.14100375","287","3.141913","287","3.14130625","287","3.1422725","287","3.141217","287","3.1414835","287","3.14134975","287","3.14137525","287","287"
"4","3.14149275","281","3.14071425","281","3.14183475","281","3.14127875","281","3.14169275","281","3.141288","281","3.140993","281","3.14063025","281","3.14141875","281","3.141493","281","3.141623","281","3.14157425","281","3.1416995","281","3.14180825","281","3.140918","281","282"
"5","3.14222775","290","3.14154025","290","3.141725","290","3.14147275","290","3.14080125","290","3.14141475","290","3.142447","290","3.1420495","290","3.141496","290","3.14192425","290","3.1424685","290","3.14149875","290","3.14086025","290","3.1417575","290","3.1411155","290","293"
"6","3.141763","287","3.14128425","287","3.14204925","287","3.14168125","287","3.141704","287","3.14152575","287","3.1418345","287","3.14135775","287","3.14221375","287","3.14170925","287","3.141518","287","3.14217275","287","3.141331","287","3.14199775","287","3.14200975","287","287"
"7","3.14150525","286","3.14140925","286","3.14121875","286","3.14128675","286","3.1408305","286","3.14109175","286","3.141447","286","3.14141875","286","3.142311","286","3.14228525","286","3.1420125","286","3.1418275","286","3.1414255","286","3.1409495","286","3.14145725","286","287"
"8","3.14120775","294","3.141349","294","3.1423385","294","3.141701","294","3.14118725","294","3.14077975","294","3.14235325","294","3.142178","294","3.1413985","294","3.14149025","294","3.14099075","294","3.141463","294","3.14197825","294","3.141523","294","3.14206575","294","294"
"9","3.1411135","282","3.1421755","282","3.142044","282","3.141244","282","3.142049","282","3.1419585","282","3.1421405","282","3.14154025","282","3.141841","282","3.14140275","282","3.14141825","282","3.14153675","282","3.142174","282","3.142224","282","3.14205725","282","282"
"10","3.14175","287","3.1414235","287","3.14183825","287","3.14137175","287","3.14166925","287","3.1415135","287","3.1412325","287","3.1416515","287","3.14171825","287","3.14168","287","3.141634","287","3.14198375","287","3.14197875","287","3.14078","287","3.1414565","287","287"
