"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Total Runtime (ms)"
"33","3.14126375","208","3.14181225","208","3.14157725","208","3.14183775","208","3.14171375","208","3.14190275","208","3.1416375","208","3.141343","208","3.14187675","208","3.14110875","208","3.14152875","208","208"
"34","3.140938","214","3.141582","214","3.14199825","214","3.1418755","214","3.1413555","214","3.14151675","214","3.1413605","214","3.141834","214","3.14171625","214","3.141761","214","3.14142275","214","215"
"35","3.14107225","213","3.14164975","213","3.14196525","213","3.14116825","213","3.14180825","213","3.14189625","213","3.1414865","213","3.14187475","213","3.1424365","213","3.141239","213","3.14237975","213","213"
"36","3.1420665","218","3.14208225","218","3.1415585","218","3.1418335","218","3.1415975","218","3.14176475","218","3.14087525","218","3.1415215","218","3.14206025","218","3.14175525","218","3.14102825","218","218"
"37","3.1415065","213","3.14273775","213","3.14195175","213","3.14157575","213","3.141526","213","3.1409595","213","3.1419015","213","3.14203325","213","3.14134625","213","3.1416025","213","3.14168825","213","213"
"38","3.14100075","215","3.14188025","215","3.14147725","215","3.1411775","215","3.1410415","215","3.14101575","215","3.14081675","215","3.14176475","215","3.14197825","215","3.141459","215","3.14102625","215","215"
"39","3.1426025","221","3.14178025","221","3.14127225","221","3.14170025","221","3.14074175","221","3.1418585","221","3.142237","221","3.14173475","221","3.14184075","221","3.141777","221","3.14133475","221","221"
"40","3.14153525","210","3.14107975","210","3.14180575","210","3.141956","210","3.141256","210","3.14205925","210","3.1412085","210","3.1413085","210","3.1416515","210","3.141382","210","3.141214","210","211"
"41","3.1418955","214","3.1421145","214","3.14227475","214","3.14161475","214","3.14102425","214","3.1411975","214","3.14154625","214","3.1413","214","3.1412325","214","3.1419075","214","3.1416575","214","214"
"42","3.14207125","213","3.14190975","213","3.1414505","213","3.141764","213","3.14151575","213","3.14154875","213","3.14233425","213","3.142028","213","3.14210275","213","3.14098125","213","3.141164","213","215"
"43","3.14178625","206","3.141843","206","3.14182275","206","3.140699","206","3.14148775","206","3.1416245","206","3.1416605","206","3.141025","206","3.14166675","206","3.140916","206","3.14159475","206","206"
"44","3.14162175","216","3.1419375","216","3.1419955","216","3.14113725","216","3.1413065","216","3.14110225","216","3.14190425","216","3.14101825","216","3.141795","216","3.14142825","216","3.140928","216","216"
"45","3.14171125","214","3.14129575","214","3.14269","214","3.14079825","214","3.14075825","214","3.14089775","214","3.14135225","214","3.14108325","214","3.14217075","214","3.141276","214","3.1415125","214","214"
"46","3.14138075","214","3.1413295","214","3.141829","214","3.14210775","214","3.14092075","214","3.14121","214","3.14149825","214","3.14153425","214","3.141629","214","3.1422245","214","3.1413375","214","214"
