"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Total Runtime (ms)"
"1","3.14181825","175","3.141511","175","3.14105475","175","3.142322","175","3.141455","175","3.14094","175","3.1417605","175","3.1418015","175","3.14217875","175","185"
"2","3.14103575","173","3.1419505","173","3.14102125","173","3.1422725","173","3.141177","173","3.1413415","173","3.141821","173","3.1414205","173","3.1417565","173","173"
"3","3.14129325","175","3.14142025","175","3.14203025","175","3.14145","175","3.1417585","175","3.1417845","175","3.142206","175","3.141462","175","3.140784","175","175"
"4","3.141395","177","3.14201425","177","3.1424375","177","3.14225875","177","3.141091","177","3.14153575","177","3.14184875","177","3.141882","177","3.14197975","177","177"
"5","3.14155375","174","3.1416965","174","3.1418475","174","3.1406225","174","3.14090925","174","3.1411985","174","3.14099775","174","3.1414235","174","3.1419225","174","174"
"6","3.1417405","177","3.1417235","177","3.140643","177","3.14142125","177","3.14229425","177","3.14204925","177","3.1418695","177","3.142043","177","3.141593","177","182"
"7","3.1408535","175","3.141301","175","3.14158025","175","3.1419375","175","3.1413895","175","3.14173","175","3.1415075","175","3.1418875","175","3.14175575","175","175"
"8","3.141327","172","3.14089325","172","3.14236","172","3.141604","172","3.1404415","172","3.1414985","172","3.142472","172","3.1415285","172","3.14177525","172","172"
"9","3.14197075","178","3.14196225","178","3.14151825","178","3.14087525","178","3.1419885","178","3.14098125","178","3.1415575","178","3.1411335","178","3.14151175","178","178"
"10","3.1414115","176","3.1416125","176","3.14113625","176","3.140953","176","3.1419675","176","3.141867","176","3.14168375","176","3.141692","176","3.14148025","176","176"
"11","3.141596","173","3.1419785","173","3.14221725","173","3.1413135","173","3.1413545","173","3.1413475","173","3.1417395","173","3.14132","173","3.141577","173","173"
