"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Total Runtime (ms)"
"1","3.1410275","194","3.14151525","194","3.142245","194","3.14148","194","3.141329","194","3.14180425","194","3.1414515","194","3.1416975","194","3.1414865","194","3.14139275","194","205"
"2","3.14108175","188","3.141709","188","3.141852","188","3.14187825","188","3.14176825","188","3.142211","188","3.14157375","188","3.14153875","188","3.14139825","188","3.14165175","188","188"
"3","3.141796","194","3.141552","194","3.1413585","194","3.14177175","194","3.1421745","194","3.14200525","194","3.142673","194","3.14118875","194","3.1415625","194","3.14179725","194","194"
"4","3.14136625","194","3.1415725","194","3.141508","194","3.141226","194","3.141599","194","3.140821","194","3.14158525","194","3.14162","194","3.14099625","194","3.1412255","194","194"
"5","3.141727","196","3.141369","196","3.14245525","196","3.142221","196","3.1416715","196","3.14196725","196","3.141353","196","3.1410055","196","3.1424725","196","3.141529","196","196"
"6","3.14136425","187","3.14112525","187","3.14150925","187","3.14164725","187","3.141756","187","3.1418625","187","3.1423725","187","3.14188825","187","3.14115375","187","3.1416365","187","195"
"7","3.142116","193","3.14136575","193","3.14183975","193","3.14191675","193","3.14152825","193","3.142341","193","3.142058","193","3.14208425","193","3.14188475","193","3.14179275","193","193"
"8","3.14170925","188","3.1411245","188","3.141892","188","3.1424595","188","3.142467","188","3.14153175","188","3.1412845","188","3.14105225","188","3.14159825","188","3.1410005","188","188"
"9","3.14182125","191","3.14145925","191","3.142554","191","3.14122975","191","3.1414025","191","3.1412935","191","3.141754","191","3.141932","191","3.14119025","191","3.14114875","191","191"
"10","3.14159475","193","3.14106575","193","3.1415185","193","3.14215475","193","3.141485","193","3.14200925","193","3.14141225","193","3.1418605","193","3.141963","193","3.1419375","193","193"
"11","3.14166","190","3.14119225","190","3.14115","190","3.14244825","190","3.1413605","190","3.141925","190","3.14238325","190","3.1417735","190","3.1415005","190","3.14228225","190","190"
"12","3.1417995","194","3.141988","194","3.14124725","194","3.1409975","194","3.1415025","194","3.14101875","194","3.141904","194","3.1411955","194","3.14169375","194","3.1410495","194","195"
"13","3.141715","195","3.14114375","195","3.1417925","195","3.141535","195","3.14137825","195","3.141462","195","3.1421245","195","3.142061","195","3.14256875","195","3.142617","195","195"
"14","3.14224175","190","3.1419235","190","3.141119","190","3.141044","190","3.14221075","190","3.14129875","190","3.14134325","190","3.14214075","190","3.141608","190","3.142293","190","191"
"15","3.1420945","198","3.1422635","198","3.14152075","198","3.14192025","198","3.14116725","198","3.14182175","198","3.14129","198","3.141959","198","3.141467","198","3.141705","198","199"
"16","3.141746","192","3.141636","192","3.14129375","192","3.1416625","192","3.141505","192","3.14176075","192","3.1409275","192","3.14187825","192","3.14087025","192","3.14213","192","192"
"17","3.14164775","200","3.1412565","200","3.14163475","200","3.14118575","200","3.1414475","200","3.14166675","200","3.140335","200","3.14175475","200","3.14104275","200","3.14163675","200","200"
"18","3.141566","190","3.14171175","190","3.141959","190","3.1425175","190","3.14240825","190","3.14194675","190","3.14104025","190","3.14157775","190","3.14201775","190","3.14140975","190","191"
"19","3.14223575","191","3.141858","191","3.14165425","191","3.141577","191","3.14203525","191","3.14213","191","3.14111125","191","3.14194675","191","3.1409755","191","3.14141575","191","191"
"20","3.14212325","190","3.141528","190","3.141546","190","3.14176975","190","3.1405585","190","3.14197425","190","3.141631","190","3.14212025","190","3.14081","190","3.1411515","190","190"
"21","3.14148325","196","3.141652","196","3.14193375","196","3.1414685","196","3.14155025","196","3.14166975","196","3.141617","196","3.14130275","196","3.1417265","196","3.1416605","196","196"
"22","3.14197175","199","3.14186025","199","3.141939","199","3.14058725","199","3.1411525","199","3.140887","199","3.142007","199","3.1415985","199","3.14101","199","3.14188575","199","199"
"23","3.1423445","196","3.1416845","196","3.14146975","196","3.14163275","196","3.1410055","196","3.14186925","196","3.14206025","196","3.14140225","196","3.14110275","196","3.1417485","196","197"
"24","3.1410645","191","3.14192625","191","3.14191475","191","3.14106275","191","3.141709","191","3.1418965","191","3.1412695","191","3.1412475","191","3.141832","191","3.142523","191","191"
"25","3.14134225","191","3.141259","191","3.14179725","191","3.1413915","191","3.14202725","191","3.1411795","191","3.1412305","191","3.14171625","191","3.14159225","191","3.14095325","191","196"
"26","3.14134675","195","3.141009","195","3.141241","195","3.1411435","195","3.14117825","195","3.1415175","195","3.141589","195","3.141317","195","3.14186","195","3.1422295","195","195"
"27","3.14159025","190","3.14140325","190","3.14128","190","3.142054","190","3.1417115","190","3.14119125","190","3.14204","190","3.14060425","190","3.14139425","190","3.1410825","190","191"
"28","3.14156725","191","3.14190175","191","3.14118675","191","3.1414735","191","3.1416655","191","3.1407325","191","3.1416875","191","3.1413625","191","3.141347","191","3.14146675","191","191"
"29","3.14066475","201","3.1413035","201","3.1415715","201","3.141436","201","3.14126775","201","3.14122625","201","3.14181725","201","3.14147975","201","3.141493","201","3.14146475","201","201"
"30","3.14162825","192","3.1420485","192","3.14161175","192","3.14222925","192","3.14204175","192","3.14160975","192","3.141586","192","3.14212025","192","3.1416285","192","3.1414695","192","192"
"31","3.140945","197","3.141988","197","3.141882","197","3.14089","197","3.141874","197","3.14186225","197","3.1413155","197","3.14183625","197","3.142077","197","3.14212875","197","197"
"32","3.141408","193","3.14121575","193","3.14192075","193","3.14104775","193","3.14163225","193","3.141594","193","3.14175325","193","3.141885","193","3.141665","193","3.1415265","193","193"
"33","3.141699","193","3.14132025","193","3.141296","193","3.1410855","193","3.14112175","193","3.141554","193","3.14235025","193","3.141449","193","3.14105325","193","3.14113075","193","194"
"34","3.14139125","196","3.14162275","196","3.14177625","196","3.14203","196","3.14168575","196","3.1418075","196","3.140915","196","3.141304","196","3.14119375","196","3.14103275","196","196"
"35","3.14186","199","3.14147475","199","3.14147675","199","3.14123275","199","3.141387","199","3.1415175","199","3.1414655","199","3.14148025","199","3.14119525","199","3.1419205","199","199"
"36","3.14122825","194","3.14147425","194","3.1416455","194","3.141568","194","3.1421315","194","3.1412945","194","3.1419215","194","3.1410785","194","3.14205925","194","3.141779","194","195"
"37","3.14119","197","3.141514","197","3.14110975","197","3.141428","197","3.14158375","197","3.140956","197","3.141644","197","3.14198925","197","3.14176075","197","3.14198","197","197"
"38","3.14190025","191","3.14183175","191","3.14182425","191","3.1410355","191","3.1419415","191","3.141706","191","3.14098475","191","3.1412395","191","3.1418725","191","3.141368","191","191"
"39","3.1417865","195","3.140997","195","3.14188575","195","3.14055575","195","3.14095825","195","3.14247825","195","3.141309","195","3.1417685","195","3.141264","195","3.14120225","195","195"
"40","3.14144375","187","3.1420475","187","3.141953","187","3.1415535","187","3.14135125","187","3.14150675","187","3.141882","187","3.1414595","187","3.14151375","187","3.14087075","187","187"
"41","3.14139525","194","3.14153775","194","3.1418405","194","3.141825","194","3.14175375","194","3.141752","194","3.1416585","194","3.1421","194","3.1421675","194","3.1412255","194","194"
"42","3.14178625","203","3.14191175","203","3.1419135","203","3.14164075","203","3.14212125","203","3.14098975","203","3.14210175","203","3.14157025","203","3.14209525","203","3.14071825","203","203"
"43","3.14219075","195","3.1408715","195","3.14070525","195","3.1418745","195","3.14173625","195","3.14208325","195","3.14199525","195","3.1410315","195","3.14203625","195","3.1411465","195","195"
"44","3.14153675","201","3.14070725","201","3.14134725","201","3.1412955","201","3.1413155","201","3.14137725","201","3.1419215","201","3.14138575","201","3.1412985","201","3.141739","201","203"
"45","3.1419245","196","3.14132375","196","3.14151","196","3.1419715","196","3.141725","196","3.14126575","196","3.1421005","196","3.1412055","196","3.1417575","196","3.14117275","196","196"
"46","3.1414665","196","3.14133375","196","3.14132225","196","3.14125975","196","3.14142425","196","3.142275","196","3.14134175","196","3.14203775","196","3.141659","196","3.1412865","196","197"
