"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"22","3.14154025","294","3.141614","294","3.14176175","294","3.141099","294","3.142043","294","3.14148425","294","3.14147325","294","3.14171775","294","3.14200825","294","3.141451","294","3.14122375","294","3.14210675","294","3.14213775","294","3.1410275","294","3.1418515","294","3.14205","294","304"
"23","3.14116325","302","3.1418485","302","3.140934","302","3.1421345","302","3.1414995","302","3.14134625","302","3.14195725","302","3.1422285","302","3.1416825","302","3.1418665","302","3.1412235","302","3.14175675","302","3.14125925","302","3.1413595","302","3.1410515","302","3.1426175","302","302"
"24","3.1412325","312","3.14198125","312","3.14198425","312","3.14120375","312","3.14086675","312","3.1417515","312","3.1414355","312","3.14156475","312","3.14168225","312","3.14171025","312","3.14155","312","3.141099","312","3.141336","312","3.14181175","312","3.14058375","312","3.14112625","312","312"
"25","3.1415925","301","3.14126175","301","3.1411545","301","3.14204375","301","3.14182925","301","3.1421125","301","3.1411245","301","3.14181675","301","3.14195475","301","3.14105225","301","3.141217","301","3.14209475","301","3.14171925","301","3.14205325","301","3.14189675","301","3.14075","301","302"
"26","3.14044475","304","3.141579","304","3.14137075","304","3.1417495","304","3.14111275","304","3.14175075","304","3.14141675","304","3.142271","304","3.141147","304","3.14181825","304","3.14166725","304","3.1415145","304","3.141347","304","3.14162325","304","3.141349","304","3.14194875","304","304"
"27","3.14168675","299","3.14132975","299","3.14212575","299","3.140687","299","3.141306","299","3.1416525","299","3.14155775","299","3.14158175","299","3.1420995","299","3.14152125","299","3.141371","299","3.140945","299","3.141035","299","3.14148725","299","3.14203575","299","3.14087225","299","300"
"28","3.14150675","304","3.14203075","304","3.1420345","304","3.141705","304","3.141751","304","3.1409735","304","3.14146975","304","3.141474","304","3.14153325","304","3.1410635","304","3.14237275","304","3.14076325","304","3.141743","304","3.1416075","304","3.141669","304","3.14152325","304","304"
"29","3.14159425","312","3.14146","312","3.14089075","312","3.142047","312","3.1414765","312","3.14158775","312","3.140951","312","3.14178425","312","3.14142425","312","3.14122325","312","3.14203675","312","3.1415185","312","3.14189375","312","3.14136575","312","3.1414725","312","3.142424","312","312"
"30","3.140871","281","3.1420745","281","3.142049","281","3.142154","281","3.141248","281","3.142291","281","3.14154825","281","3.142147","281","3.141622","281","3.141558","281","3.14190075","281","3.1418345","281","3.1415805","281","3.14145725","281","3.14150425","281","3.14155025","281","301"
"31","3.1414775","309","3.14240475","309","3.1409615","309","3.14130075","309","3.14169025","309","3.1410395","309","3.1411615","309","3.14192975","309","3.14236075","309","3.14126825","309","3.141596","309","3.14151175","309","3.1424025","309","3.14213325","309","3.14178675","309","3.14137975","309","309"
"32","3.1415945","304","3.141261","304","3.14170125","304","3.14174425","304","3.14217175","304","3.1415465","304","3.1419335","304","3.14142275","304","3.141287","304","3.14212675","304","3.140947","304","3.1414935","304","3.1422065","304","3.141916","304","3.1421515","304","3.1412805","304","304"
"33","3.14153775","304","3.1414295","304","3.14134","304","3.141681","304","3.141867","304","3.14171775","304","3.14178225","304","3.142362","304","3.14132725","304","3.14130025","304","3.1420315","304","3.1419575","304","3.1415695","304","3.14185425","304","3.14185775","304","3.14245825","304","305"
"34","3.141459","307","3.1417655","307","3.14214425","307","3.14209925","307","3.14261875","307","3.1412265","307","3.14159325","307","3.14163625","307","3.14130025","307","3.142052","307","3.14162275","307","3.141605","307","3.14124625","307","3.1415775","307","3.14218675","307","3.14082425","307","307"
"35","3.14218625","309","3.14226225","309","3.1417345","309","3.14094475","309","3.1410495","309","3.141222","309","3.14199475","309","3.14117175","309","3.14076225","309","3.14147525","309","3.14152725","309","3.141311","309","3.14187575","309","3.14129625","309","3.14144625","309","3.14211175","309","309"
"36","3.14232825","306","3.141967","306","3.1413495","306","3.141596","306","3.1410185","306","3.142254","306","3.141597","306","3.14177125","306","3.14118525","306","3.141198","306","3.141106","306","3.1411165","306","3.1409","306","3.14147575","306","3.14090375","306","3.14121875","306","307"
"37","3.14132675","304","3.1417675","304","3.14132675","304","3.14112425","304","3.14154375","304","3.14151075","304","3.14092725","304","3.141748","304","3.14138725","304","3.1412095","304","3.14062775","304","3.1420895","304","3.14207175","304","3.141786","304","3.14143225","304","3.14179675","304","304"
"38","3.14108325","305","3.1412355","305","3.1418355","305","3.142024","305","3.14197675","305","3.141296","305","3.1408215","305","3.14150925","305","3.14142275","305","3.1415645","305","3.14185275","305","3.14087525","305","3.141492","305","3.141738","305","3.141716","305","3.140969","305","305"
