"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Total Runtime (ms)"
"1","3.1416395","130","3.14104375","130","3.14145625","130","3.14210975","130","3.14187825","130","3.141896","130","141"
"2","3.14192275","130","3.1412775","130","3.14158825","130","3.142058","130","3.14162625","130","3.14132275","130","130"
"3","3.1413865","114","3.14148425","114","3.14184175","114","3.14153025","114","3.14164425","114","3.141693","114","114"
"4","3.1416385","119","3.1422645","119","3.1418535","119","3.141206","119","3.14147525","119","3.141161","119","119"
"5","3.141155","120","3.14164525","120","3.1415795","120","3.14179525","120","3.14161375","120","3.141779","120","120"
"6","3.14115275","120","3.1408095","120","3.1412635","120","3.1414195","120","3.14156575","120","3.141013","120","120"
"7","3.1415195","119","3.141779","119","3.1419595","119","3.1420325","119","3.14178125","119","3.14155825","119","119"
"8","3.1416655","122","3.1421185","122","3.14144725","122","3.1419515","122","3.14222875","122","3.14186075","122","122"
"9","3.14160775","128","3.141459","128","3.141191","128","3.14077725","128","3.140955","128","3.1413355","128","128"
"10","3.1413835","121","3.14175075","121","3.14133175","121","3.14138725","121","3.14139275","121","3.14119075","121","121"
"11","3.14154275","125","3.1420545","125","3.14116275","125","3.14192725","125","3.1416415","125","3.14178475","125","126"
"12","3.1412185","115","3.14140475","115","3.1420655","115","3.1414085","115","3.14138575","115","3.14163725","115","115"
"13","3.1423565","117","3.141304","117","3.1422085","117","3.142191","117","3.14192525","117","3.141595","117","117"
"14","3.141563","115","3.141383","115","3.1413995","115","3.1413605","115","3.14133475","115","3.141568","115","115"
"15","3.141664","119","3.14226275","119","3.14144125","119","3.14237725","119","3.14162125","119","3.14069325","119","119"
"16","3.1424045","123","3.14175775","123","3.1414045","123","3.14143825","123","3.14202025","123","3.141259","123","123"
"17","3.14182775","118","3.142035","118","3.14153325","118","3.141195","118","3.14192375","118","3.141666","118","118"
"18","3.141205","119","3.14167925","119","3.1420645","119","3.14195075","119","3.1424065","119","3.141359","119","119"
"19","3.1418665","120","3.14184025","120","3.141189","120","3.142137","120","3.14175025","120","3.1417095","120","121"
"20","3.1415025","116","3.1418925","116","3.1410435","116","3.1413685","116","3.14163925","116","3.1411345","116","116"
"21","3.14160725","122","3.1407935","122","3.14157575","122","3.14124775","122","3.141627","122","3.1419335","122","122"
"22","3.1420295","122","3.1419815","122","3.141721","122","3.14144975","122","3.141268","122","3.141759","122","122"
"23","3.14256775","125","3.1410365","125","3.14142875","125","3.141444","125","3.14127","125","3.1417975","125","127"
"24","3.14104325","131","3.141901","131","3.141741","131","3.1417365","131","3.141876","131","3.14121675","131","131"
"25","3.1420525","123","3.14145425","123","3.141426","123","3.1423075","123","3.14180525","123","3.141645","123","123"
"26","3.141576","122","3.14195875","122","3.1414","122","3.14233925","122","3.1414625","122","3.1418505","122","122"
"27","3.14144225","119","3.1413115","119","3.1411795","119","3.14166425","119","3.14134675","119","3.141444","119","119"
"28","3.14073175","119","3.141179","119","3.14145425","119","3.14171275","119","3.14141325","119","3.1417815","119","119"
"29","3.14155275","118","3.14143725","118","3.1413145","118","3.1412725","118","3.1420235","118","3.1418805","118","119"
"30","3.14211575","111","3.14145275","111","3.141779","111","3.142058","111","3.1420705","111","3.14219475","111","126"
"31","3.1414995","119","3.1414025","119","3.1418015","119","3.14177625","119","3.1415965","119","3.14140075","119","119"
"32","3.14170275","129","3.1412375","129","3.1422085","129","3.141196","129","3.1411035","129","3.141779","129","130"
"33","3.14170425","121","3.1411","121","3.14196025","121","3.14142625","121","3.1413555","121","3.141144","121","122"
"34","3.1407275","122","3.142208","122","3.14223725","122","3.1426665","122","3.142421","122","3.1417625","122","122"
"35","3.1423715","119","3.14140325","119","3.1414225","119","3.14226925","119","3.14151825","119","3.14157775","119","119"
"36","3.1410125","121","3.141783","121","3.141513","121","3.14150525","121","3.14220125","121","3.14162225","121","121"
"37","3.14173","120","3.14151075","120","3.14146525","120","3.1413375","120","3.14172","120","3.14149775","120","120"
"38","3.14250325","121","3.1415225","121","3.14264475","121","3.141411","121","3.1410355","121","3.1415435","121","122"
"39","3.14145625","127","3.14129575","127","3.1425465","127","3.1416735","127","3.14193","127","3.1409405","127","128"
"40","3.1414515","135","3.14099175","135","3.1417265","135","3.14094225","135","3.14127875","135","3.14223275","135","135"
"41","3.141567","118","3.1420405","118","3.1415235","118","3.1424155","118","3.14105625","118","3.14163575","118","118"
"42","3.141966","127","3.14205325","127","3.14179425","127","3.1412065","127","3.14137025","127","3.14148525","127","127"
"43","3.14076425","119","3.1414585","119","3.142105","119","3.14154325","119","3.14125925","119","3.14193175","119","120"
"44","3.14197225","124","3.1415675","124","3.141964","124","3.14216675","124","3.14162725","124","3.14126225","124","124"
"45","3.14128825","121","3.14053275","121","3.14132375","121","3.140881","121","3.14190375","121","3.1413625","121","121"
"46","3.140896","122","3.14133875","122","3.14130575","122","3.14149275","122","3.14130125","122","3.1414085","122","122"
"47","3.14168075","126","3.14134875","126","3.14085375","126","3.14163525","126","3.141292","126","3.141272","126","126"
"48","3.1413715","129","3.14185175","129","3.142523","129","3.14267675","129","3.1413915","129","3.14144925","129","129"
"49","3.14173325","132","3.14153425","132","3.14194425","132","3.141506","132","3.1410755","132","3.140587","132","132"
"50","3.14151625","118","3.14179175","118","3.14111275","118","3.1407715","118","3.14193525","118","3.1421215","118","118"
"51","3.1413505","120","3.14151475","120","3.14207125","120","3.1411415","120","3.14172725","120","3.1411905","120","120"
"52","3.1414745","124","3.141554","124","3.14155625","124","3.14130475","124","3.14183725","124","3.14140425","124","124"
"53","3.142212","117","3.141966","117","3.14164125","117","3.14180925","117","3.14179625","117","3.141557","117","117"
"54","3.14138975","120","3.141911","120","3.14117175","120","3.14203975","120","3.14204","120","3.14178475","120","120"
"55","3.14127325","119","3.14141975","119","3.14175625","119","3.141403","119","3.1415495","119","3.1423535","119","119"
"56","3.142105","126","3.14170275","126","3.14118975","126","3.141356","126","3.14197375","126","3.14197825","126","126"
