"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Total Runtime (ms)"
"84","3.14183125","88","3.14136425","88","3.14109925","88","3.14134225","88","88"
"85","3.14142775","83","3.141653","83","3.1409705","83","3.1414435","83","83"
"86","3.14150225","83","3.141164","83","3.141033","83","3.14109625","83","83"
"87","3.14191525","86","3.1413805","86","3.14096175","86","3.141663","86","86"
"88","3.141883","82","3.14205075","82","3.14138925","82","3.1417","82","82"
"89","3.14206475","87","3.141787","87","3.14162225","87","3.1425955","87","87"
"90","3.1414915","84","3.14189375","84","3.14141275","84","3.14186325","84","84"
"91","3.141379","88","3.14203825","88","3.1409125","88","3.14074775","88","88"
"92","3.14126825","88","3.14120925","88","3.14172375","88","3.1423975","88","88"
"93","3.14100925","90","3.14109175","90","3.141781","90","3.1413785","90","90"
"94","3.1414385","93","3.1411065","93","3.14156275","93","3.14166275","93","93"
"95","3.14183575","86","3.14201925","86","3.14115625","86","3.14241875","86","86"
"96","3.14134775","83","3.14157825","83","3.14136225","83","3.14196725","83","83"
"97","3.14270125","82","3.14161475","82","3.14149525","82","3.14198775","82","82"
"98","3.14177375","83","3.1416575","83","3.14179675","83","3.142342","83","83"
"99","3.142072","87","3.14109225","87","3.1416795","87","3.141368","87","87"
"100","3.142157","94","3.14186075","94","3.14124325","94","3.14161575","94","94"
