"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Total Runtime (ms)"
"30","3.1417035","228","3.1418245","228","3.14183175","228","3.14084","228","3.1412435","228","3.14124975","228","3.14080875","228","3.14172875","228","3.14140575","228","3.141036","228","3.14129825","228","3.140896","228","228"
"31","3.141386","228","3.14174525","228","3.14143425","228","3.141598","228","3.14210475","228","3.14130375","228","3.14193275","228","3.1412055","228","3.14182","228","3.1428865","228","3.14142075","228","3.141917","228","228"
"32","3.14181","211","3.14169675","211","3.142143","211","3.141377","211","3.14185275","211","3.14131675","211","3.141449","211","3.1426085","211","3.14168675","211","3.1422965","211","3.14108425","211","3.14135775","211","230"
"33","3.14129225","232","3.140935","232","3.1414825","232","3.1419295","232","3.1417","232","3.14097575","232","3.142128","232","3.1425695","232","3.14194275","232","3.1417745","232","3.14192825","232","3.14116175","232","232"
"34","3.141566","240","3.14175075","240","3.14188125","240","3.14162475","240","3.1412725","240","3.14146925","240","3.1410725","240","3.141918","240","3.14241275","240","3.14094","240","3.1417155","240","3.141503","240","240"
"35","3.1414775","231","3.141943","231","3.1410505","231","3.1413265","231","3.14157","231","3.14092575","231","3.141192","231","3.1414295","231","3.14215825","231","3.14117675","231","3.141311","231","3.14198625","231","232"
"36","3.1417745","238","3.1421705","238","3.141412","238","3.1418165","238","3.141394","238","3.1418725","238","3.1421485","238","3.14126875","238","3.14161975","238","3.140972","238","3.14150725","238","3.141579","238","238"
"37","3.14104575","229","3.141944","229","3.1415465","229","3.14056025","229","3.14132975","229","3.1423835","229","3.14184075","229","3.141509","229","3.141896","229","3.14241875","229","3.141375","229","3.14131675","229","229"
"38","3.141107","177","3.1417545","177","3.14130475","177","3.14117325","177","3.14159125","177","3.14172075","177","3.141165","177","3.14119275","177","3.1426255","177","3.14114975","177","3.1415785","177","3.141313","177","240"
"39","3.1415565","229","3.1418565","229","3.1416845","229","3.1424745","229","3.14141425","229","3.14119725","229","3.1424395","229","3.1417995","229","3.14180375","229","3.14216525","229","3.14161975","229","3.1416965","229","229"
"40","3.141811","234","3.14091","234","3.141938","234","3.14246","234","3.1415965","234","3.14056","234","3.142148","234","3.14122975","234","3.14113625","234","3.14243025","234","3.14109775","234","3.14160525","234","234"
"41","3.1419365","236","3.14128175","236","3.141628","236","3.14172875","236","3.14105525","236","3.14189325","236","3.141592","236","3.1408845","236","3.14183175","236","3.14174675","236","3.14007875","236","3.14222775","236","236"
"42","3.142032","244","3.14149075","244","3.1419705","244","3.1414725","244","3.14133175","244","3.1421135","244","3.141357","244","3.14154875","244","3.141803","244","3.142","244","3.14195475","244","3.14165725","244","245"
"43","3.14151575","255","3.1417155","255","3.14180725","255","3.14203775","255","3.141898","255","3.141451","255","3.14156475","255","3.1418305","255","3.1415125","255","3.14150975","255","3.1417525","255","3.141499","255","255"
"44","3.14138675","240","3.1425575","240","3.141623","240","3.142118","240","3.14082775","240","3.14159275","240","3.1409605","240","3.14154675","240","3.14138875","240","3.1417575","240","3.14121475","240","3.1411955","240","240"
"45","3.141551","232","3.14154875","232","3.141282","232","3.14156425","232","3.141662","232","3.14210225","232","3.1414045","232","3.1409855","232","3.1420645","232","3.14094225","232","3.14238375","232","3.141269","232","232"
"46","3.14164725","226","3.141945","226","3.141625","226","3.141661","226","3.14154275","226","3.141455","226","3.14127775","226","3.1412205","226","3.14146825","226","3.14168975","226","3.1418945","226","3.14215725","226","226"
"47","3.14103","231","3.1418335","231","3.14103075","231","3.14177975","231","3.14126725","231","3.14139075","231","3.14115975","231","3.14181325","231","3.1414845","231","3.14165425","231","3.141471","231","3.14152075","231","231"
"48","3.14163225","229","3.14195075","229","3.14188225","229","3.1415495","229","3.14210725","229","3.141231","229","3.1421465","229","3.14121725","229","3.14219425","229","3.14152","229","3.142049","229","3.142065","229","229"
"49","3.1416545","238","3.141549","238","3.14279625","238","3.14181775","238","3.1413725","238","3.14145575","238","3.1417935","238","3.141627","238","3.140859","238","3.142004","238","3.14119825","238","3.14132925","238","241"
"50","3.14103975","240","3.1408275","240","3.14152375","240","3.1411395","240","3.14271","240","3.140936","240","3.141037","240","3.1415935","240","3.14171775","240","3.14203325","240","3.141588","240","3.141839","240","240"
"51","3.141126","227","3.1412945","227","3.1419085","227","3.1416995","227","3.14157325","227","3.14158675","227","3.14123325","227","3.1412615","227","3.14182525","227","3.1411455","227","3.141524","227","3.14137375","227","227"
"52","3.141724","225","3.142142","225","3.14181025","225","3.14168725","225","3.14170775","225","3.141136","225","3.14169425","225","3.1416155","225","3.14190075","225","3.14177475","225","3.141518","225","3.14155575","225","225"
"53","3.141838","224","3.14203275","224","3.14182975","224","3.142254","224","3.14179225","224","3.1414015","224","3.14227375","224","3.140635","224","3.1416885","224","3.1417485","224","3.14166275","224","3.1415165","224","224"
"54","3.141955","226","3.14170675","226","3.141744","226","3.14124925","226","3.14080975","226","3.14215275","226","3.14136275","226","3.14154825","226","3.141159","226","3.1420445","226","3.14151825","226","3.142146","226","228"
