"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"26","3.14173575","287","3.14151125","287","3.1411815","287","3.14202625","287","3.14134025","287","3.140899","287","3.14070075","287","3.14204","287","3.14132525","287","3.14163975","287","3.141527","287","3.14146125","287","3.14214725","287","3.14174325","287","287"
"27","3.1418045","271","3.14177275","271","3.14173725","271","3.14129575","271","3.141143","271","3.141953","271","3.14141725","271","3.14182125","271","3.142161","271","3.1417625","271","3.1415755","271","3.1413435","271","3.140875","271","3.14172025","271","271"
"28","3.141146","280","3.14212775","280","3.14195825","280","3.1411075","280","3.14093525","280","3.141684","280","3.14073275","280","3.141457","280","3.14170075","280","3.14121225","280","3.1418945","280","3.141119","280","3.14145","280","3.14160725","280","280"
"29","3.1411865","284","3.1414095","284","3.14172325","284","3.14169275","284","3.14233075","284","3.1412765","284","3.141789","284","3.14188925","284","3.14158425","284","3.14157025","284","3.14167975","284","3.14075425","284","3.14169","284","3.14174025","284","284"
"30","3.1407745","281","3.14112725","281","3.141718","281","3.14160125","281","3.1415955","281","3.14147175","281","3.1413375","281","3.14205625","281","3.14150875","281","3.141147","281","3.141807","281","3.1412445","281","3.14198775","281","3.1413495","281","281"
"31","3.14126325","284","3.14150525","284","3.14168775","284","3.14195725","284","3.141351","284","3.1424355","284","3.1408665","284","3.14149625","284","3.141128","284","3.14167625","284","3.14190625","284","3.1415605","284","3.14130725","284","3.14157325","284","284"
"32","3.14101075","276","3.14118775","276","3.14140175","276","3.141046","276","3.1418335","276","3.1417325","276","3.141642","276","3.14138375","276","3.14166175","276","3.1418105","276","3.1415245","276","3.14144475","276","3.141143","276","3.14158675","276","277"
"33","3.14238525","279","3.14193275","279","3.1417445","279","3.14115125","279","3.140947","279","3.1419035","279","3.141557","279","3.14093725","279","3.1422195","279","3.14163625","279","3.14148525","279","3.14188225","279","3.14180025","279","3.14262","279","279"
"34","3.14171775","280","3.14120825","280","3.141294","280","3.1416555","280","3.14138325","280","3.14123875","280","3.14162575","280","3.1417855","280","3.14189575","280","3.14159425","280","3.1417025","280","3.1413545","280","3.14163125","280","3.14182675","280","280"
"35","3.1414855","277","3.141411","277","3.141891","277","3.1414855","277","3.1416715","277","3.14035025","277","3.14095825","277","3.1415505","277","3.14219725","277","3.141669","277","3.14172125","277","3.14142475","277","3.141556","277","3.1416325","277","278"
"36","3.14116975","269","3.14193925","269","3.14159","269","3.14176375","269","3.141229","269","3.141723","269","3.14125825","269","3.14187325","269","3.14146125","269","3.14215875","269","3.14214975","269","3.14214225","269","3.14134825","269","3.141569","269","269"
"37","3.14128975","279","3.14162125","279","3.14124475","279","3.14204775","279","3.14213075","279","3.1417025","279","3.14160225","279","3.14202275","279","3.14143475","279","3.1416855","279","3.14158525","279","3.14232825","279","3.141363","279","3.141408","279","279"
"38","3.14148975","276","3.14088925","276","3.14170975","276","3.142399","276","3.1416445","276","3.141273","276","3.14114825","276","3.141191","276","3.14131475","276","3.1421335","276","3.1424985","276","3.1416815","276","3.14140125","276","3.141808","276","276"
"39","3.141266","275","3.1420035","275","3.14120225","275","3.14179175","275","3.1419475","275","3.1410635","275","3.141941","275","3.14140375","275","3.141798","275","3.139987","275","3.14208925","275","3.14130275","275","3.14223375","275","3.14143375","275","275"
"40","3.1408275","278","3.14174625","278","3.141999","278","3.14171325","278","3.14042375","278","3.140775","278","3.14177525","278","3.14162275","278","3.140415","278","3.1412735","278","3.14162175","278","3.1412285","278","3.14152125","278","3.14193325","278","278"
"41","3.141642","273","3.14183425","273","3.14133875","273","3.14174475","273","3.1416845","273","3.1415985","273","3.1414065","273","3.14186675","273","3.14167575","273","3.14219625","273","3.1420645","273","3.14104925","273","3.14122725","273","3.14144075","273","273"
