"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Total Runtime (ms)"
"1","3.1409865","221","3.1421345","221","3.1412205","221","3.1413965","221","3.14052775","221","3.14146525","221","3.1417545","221","3.141522","221","3.14157575","221","3.141976","221","3.14182475","221","232"
"2","3.141647","224","3.14185275","224","3.14153525","224","3.141511","224","3.14185325","224","3.14163625","224","3.14197675","224","3.14168275","224","3.141588","224","3.14129475","224","3.14120275","224","224"
"3","3.142011","228","3.14186075","228","3.14193425","228","3.141197","228","3.14138825","228","3.1410745","228","3.1415915","228","3.14146175","228","3.141354","228","3.14133725","228","3.141196","228","228"
"4","3.14178925","216","3.1413265","216","3.14180175","216","3.14078775","216","3.14140075","216","3.1419715","216","3.1413965","216","3.14178575","216","3.14205775","216","3.14111425","216","3.1416605","216","216"
"5","3.1423785","219","3.14161275","219","3.142014","219","3.141666","219","3.14200275","219","3.14083475","219","3.141214","219","3.141045","219","3.14193225","219","3.141548","219","3.14157825","219","219"
"6","3.1416495","230","3.14199475","230","3.14194375","230","3.14134375","230","3.1415825","230","3.14164275","230","3.14147775","230","3.14185125","230","3.141506","230","3.1411125","230","3.141906","230","231"
"7","3.1417735","216","3.1412745","216","3.1420245","216","3.14093725","216","3.1413815","216","3.14133075","216","3.1412255","216","3.14173325","216","3.141087","216","3.1415165","216","3.142052","216","216"
"8","3.1413945","234","3.14237425","234","3.141434","234","3.14199525","234","3.14177825","234","3.14154425","234","3.14196025","234","3.14155625","234","3.1414615","234","3.140883","234","3.141402","234","234"
"9","3.14083875","223","3.141903","223","3.14173725","223","3.14258475","223","3.14157425","223","3.141797","223","3.1414425","223","3.142281","223","3.1414435","223","3.1413385","223","3.14185375","223","223"
"10","3.141885","224","3.14217925","224","3.14175325","224","3.140447","224","3.1417755","224","3.1416795","224","3.1419695","224","3.1417615","224","3.14090125","224","3.14115625","224","3.1408415","224","224"
"11","3.1415285","218","3.14162325","218","3.14174875","218","3.1420435","218","3.14145025","218","3.1422305","218","3.14146","218","3.14107425","218","3.14183625","218","3.14119175","218","3.1418615","218","218"
"12","3.14116525","224","3.14151925","224","3.1414425","224","3.14159775","224","3.14115425","224","3.14078125","224","3.141829","224","3.141151","224","3.14269925","224","3.142023","224","3.140926","224","224"
"13","3.14134925","230","3.14211575","230","3.140818","230","3.14104275","230","3.1414385","230","3.141871","230","3.1419575","230","3.14143825","230","3.14142925","230","3.14194625","230","3.14146275","230","230"
"14","3.14056175","217","3.141489","217","3.141691","217","3.14150225","217","3.1423675","217","3.1421955","217","3.14167025","217","3.141943","217","3.14215025","217","3.14178075","217","3.14165975","217","218"
"15","3.14239875","228","3.1422035","228","3.14222","228","3.14201825","228","3.14154475","228","3.14105875","228","3.141188","228","3.141366","228","3.141854","228","3.14120875","228","3.142068","228","228"
"16","3.141046","224","3.14223275","224","3.14098075","224","3.14181525","224","3.1419255","224","3.14129375","224","3.1409835","224","3.1407075","224","3.14233","224","3.141754","224","3.14171675","224","224"
"17","3.1417555","218","3.14102975","218","3.14203125","218","3.141834","218","3.1420495","218","3.141631","218","3.14177675","218","3.141739","218","3.14193875","218","3.14140525","218","3.1411115","218","218"
"18","3.1409495","222","3.141303","222","3.141842","222","3.1415215","222","3.14269175","222","3.141788","222","3.14247225","222","3.14187875","222","3.141846","222","3.14147225","222","3.14107675","222","223"
"19","3.1418605","221","3.14121075","221","3.1412375","221","3.14169025","221","3.141167","221","3.14212925","221","3.14137675","221","3.1409575","221","3.142112","221","3.14174575","221","3.141709","221","221"
"20","3.1416475","228","3.142323","228","3.141547","228","3.1421675","228","3.14067325","228","3.14223125","228","3.141627","228","3.14124","228","3.14160125","228","3.14180075","228","3.14153075","228","228"
"21","3.1419065","215","3.1412575","215","3.1418715","215","3.142102","215","3.14152575","215","3.14188175","215","3.14189525","215","3.14203675","215","3.14229275","215","3.14107575","215","3.1416785","215","215"
"22","3.14091925","218","3.14102125","218","3.141036","218","3.1410005","218","3.141661","218","3.14083575","218","3.141358","218","3.142671","218","3.14151","218","3.14187025","218","3.14115575","218","218"
"23","3.14155325","228","3.14136425","228","3.14155375","228","3.1416185","228","3.14184075","228","3.14179","228","3.1416895","228","3.140977","228","3.14180425","228","3.14143175","228","3.1417165","228","228"
"24","3.14172175","212","3.14191725","212","3.1416745","212","3.14237775","212","3.14158325","212","3.142309","212","3.14225025","212","3.1418955","212","3.14200075","212","3.1416535","212","3.14169525","212","212"
"25","3.142183","234","3.1414665","234","3.14112925","234","3.141787","234","3.142248","234","3.1417645","234","3.14157175","234","3.14116225","234","3.14182375","234","3.142251","234","3.1418555","234","234"
"26","3.14174775","248","3.14095825","248","3.14154425","248","3.141534","248","3.14120425","248","3.1416145","248","3.1414855","248","3.14145","248","3.142266","248","3.14196","248","3.141457","248","248"
"27","3.141622","226","3.14189325","226","3.14114175","226","3.141588","226","3.14184675","226","3.141361","226","3.14145025","226","3.1416095","226","3.14212475","226","3.14157625","226","3.142571","226","226"
"28","3.1417375","231","3.14129325","231","3.142325","231","3.142034","231","3.14127375","231","3.140474","231","3.141754","231","3.14173","231","3.14103175","231","3.14257275","231","3.14133625","231","231"
"29","3.1415695","223","3.141158","223","3.14090125","223","3.14176825","223","3.142471","223","3.14100025","223","3.14154875","223","3.14138825","223","3.1411635","223","3.142288","223","3.14167825","223","223"
