"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"24","3.141493","304","3.14164125","304","3.141198","304","3.141828","304","3.14206775","304","3.14190425","304","3.141842","304","3.14167325","304","3.1418005","304","3.141402","304","3.1414455","304","3.14280425","304","3.1421905","304","3.14192325","304","3.14176575","304","305"
"25","3.141736","332","3.14115475","332","3.14187975","332","3.14149275","332","3.14131975","332","3.14148825","332","3.141724","332","3.14130925","332","3.14174375","332","3.140871","332","3.1414725","332","3.14127875","332","3.14193025","332","3.1416225","332","3.14210625","332","332"
"26","3.1415825","295","3.14153525","295","3.141608","295","3.14189925","295","3.1414675","295","3.14129775","295","3.1420415","295","3.14167925","295","3.142021","295","3.14167875","295","3.14132475","295","3.1418295","295","3.14121725","295","3.1414855","295","3.14145425","295","296"
"27","3.141473","303","3.14120275","303","3.141773","303","3.1407805","303","3.14161825","303","3.141984","303","3.141713","303","3.1415545","303","3.14133075","303","3.141307","303","3.14181775","303","3.141971","303","3.1413695","303","3.14186425","303","3.14136775","303","303"
"28","3.1420095","298","3.14165775","298","3.1418335","298","3.140816","298","3.141543","298","3.1419065","298","3.14163775","298","3.140918","298","3.141565","298","3.141937","298","3.14210325","298","3.1417235","298","3.14153525","298","3.14062475","298","3.141817","298","298"
"29","3.14156425","301","3.14217","301","3.141666","301","3.14161225","301","3.1412005","301","3.14115225","301","3.141242","301","3.142372","301","3.141419","301","3.1413775","301","3.142141","301","3.142083","301","3.141438","301","3.14132275","301","3.14165125","301","301"
"30","3.141705","300","3.14119725","300","3.14175875","300","3.141678","300","3.142174","300","3.1422065","300","3.1417155","300","3.14218825","300","3.1411045","300","3.141569","300","3.1419195","300","3.14201125","300","3.1413225","300","3.14184075","300","3.1423075","300","301"
"31","3.14233525","299","3.14227525","299","3.142143","299","3.14167175","299","3.1423055","299","3.141784","299","3.1413185","299","3.14166125","299","3.14086025","299","3.1422525","299","3.14161375","299","3.14150825","299","3.14194775","299","3.141348","299","3.141318","299","299"
"32","3.14104775","300","3.1414155","300","3.14201325","300","3.14149725","300","3.1428725","300","3.14138025","300","3.141842","300","3.141834","300","3.14163975","300","3.141591","300","3.14198075","300","3.141894","300","3.142785","300","3.14158675","300","3.14187425","300","300"
"33","3.14129425","289","3.141937","289","3.1419045","289","3.1413885","289","3.1418325","289","3.14149375","289","3.141393","289","3.142118","289","3.1413735","289","3.1411695","289","3.141536","289","3.14133425","289","3.141122","289","3.141898","289","3.1421355","289","289"
"34","3.1412795","287","3.14085175","287","3.141087","287","3.142338","287","3.14130275","287","3.14176825","287","3.1420755","287","3.14159875","287","3.140973","287","3.14166275","287","3.14207925","287","3.14134775","287","3.14209625","287","3.141544","287","3.1417135","287","288"
"35","3.1420725","294","3.14136675","294","3.14139575","294","3.14161","294","3.14155025","294","3.14189475","294","3.1415155","294","3.14156025","294","3.141656","294","3.141904","294","3.1411375","294","3.141611","294","3.14141825","294","3.14217775","294","3.141633","294","294"
"36","3.14122025","309","3.1409895","309","3.14170975","309","3.141515","309","3.141021","309","3.14141525","309","3.141337","309","3.1413135","309","3.14117325","309","3.141906","309","3.1415175","309","3.14155375","309","3.14152275","309","3.14112275","309","3.141089","309","309"
"37","3.140839","298","3.14182075","298","3.14205075","298","3.14168475","298","3.141602","298","3.14207525","298","3.1407285","298","3.1420255","298","3.1408175","298","3.14174875","298","3.14240225","298","3.14157525","298","3.14191","298","3.1420825","298","3.14188525","298","299"
"38","3.14127975","303","3.142012","303","3.141645","303","3.141362","303","3.14175075","303","3.1412595","303","3.14063025","303","3.141909","303","3.1414195","303","3.1410865","303","3.141499","303","3.1413945","303","3.141654","303","3.140954","303","3.14108975","303","303"
"39","3.141839","305","3.1417665","305","3.14171125","305","3.14187875","305","3.14135875","305","3.14140925","305","3.1423515","305","3.141582","305","3.14105075","305","3.14188225","305","3.14192225","305","3.141905","305","3.1421855","305","3.14107175","305","3.14150975","305","305"
"40","3.14140125","298","3.1426475","298","3.1412045","298","3.1416035","298","3.14124825","298","3.14123625","298","3.14084075","298","3.141716","298","3.1419705","298","3.14190375","298","3.14207875","298","3.14143575","298","3.14170625","298","3.14155275","298","3.14162625","298","298"
"41","3.1409","291","3.14106725","291","3.141158","291","3.14150175","291","3.14153075","291","3.1417085","291","3.1412705","291","3.14121775","291","3.14139375","291","3.14132325","291","3.14249975","291","3.1417665","291","3.141782","291","3.141351","291","3.1415305","291","291"
"42","3.1416545","298","3.14080075","298","3.141409","298","3.141218","298","3.1414705","298","3.1415625","298","3.1419915","298","3.1416665","298","3.14100625","298","3.141214","298","3.1414525","298","3.141569","298","3.14183225","298","3.1414845","298","3.1411955","298","304"
"43","3.14287125","299","3.14124075","299","3.14117","299","3.14097425","299","3.141539","299","3.142113","299","3.142076","299","3.14137675","299","3.141933","299","3.1418915","299","3.14112675","299","3.141589","299","3.14182675","299","3.141034","299","3.141239","299","299"
"44","3.14138875","297","3.1413775","297","3.14220875","297","3.14160575","297","3.141728","297","3.14157375","297","3.141952","297","3.142046","297","3.141101","297","3.14221725","297","3.14142475","297","3.14153225","297","3.141061","297","3.1413625","297","3.14212","297","300"
"45","3.14135325","299","3.141513","299","3.142097","299","3.1415865","299","3.140879","299","3.141139","299","3.14158","299","3.14173525","299","3.14123025","299","3.14154275","299","3.14161375","299","3.14045025","299","3.14134825","299","3.14122725","299","3.14128","299","300"
"46","3.141654","295","3.1418975","295","3.14138275","295","3.1416905","295","3.14114675","295","3.140541","295","3.1416685","295","3.1406645","295","3.141583","295","3.14135775","295","3.1420585","295","3.141535","295","3.141622","295","3.141371","295","3.14185675","295","296"
"47","3.142323","296","3.1418655","296","3.14176875","296","3.14202275","296","3.14121","296","3.141937","296","3.1426165","296","3.1415405","296","3.14204925","296","3.14210475","296","3.14123325","296","3.141904","296","3.14180825","296","3.14146725","296","3.141635","296","296"
"48","3.140948","296","3.1412465","296","3.1411085","296","3.1418295","296","3.1425315","296","3.14180275","296","3.141883","296","3.1415475","296","3.14201225","296","3.14151325","296","3.1418275","296","3.141675","296","3.14206775","296","3.1417345","296","3.141547","296","296"
"49","3.14125375","295","3.14160075","295","3.1418435","295","3.14128025","295","3.1411025","295","3.14194425","295","3.141275","295","3.140647","295","3.14137925","295","3.1411425","295","3.14206525","295","3.142129","295","3.1417765","295","3.141952","295","3.14168","295","295"
"50","3.141259","294","3.1414765","294","3.142042","294","3.142364","294","3.141402","294","3.141988","294","3.1416035","294","3.14144","294","3.1421595","294","3.1420035","294","3.14167075","294","3.14106725","294","3.1416645","294","3.14233775","294","3.14168175","294","298"
"51","3.14140875","299","3.14176925","299","3.1414745","299","3.14155075","299","3.1418015","299","3.1408575","299","3.1410595","299","3.141397","299","3.1415945","299","3.1414365","299","3.14101825","299","3.14137075","299","3.14194125","299","3.1413205","299","3.141329","299","302"
"52","3.1413085","298","3.141801","298","3.14244275","298","3.14161375","298","3.14143475","298","3.1416395","298","3.14118675","298","3.14147875","298","3.14139275","298","3.141851","298","3.14125375","298","3.1417125","298","3.140828","298","3.141733","298","3.14194075","298","298"
"53","3.14168","288","3.14191525","288","3.14100975","288","3.14163675","288","3.14191825","288","3.141847","288","3.1412725","288","3.1416065","288","3.141616","288","3.141937","288","3.14150225","288","3.14138575","288","3.14143025","288","3.14238475","288","3.14134075","288","288"
"54","3.14203575","292","3.1425405","292","3.141833","292","3.1416255","292","3.141748","292","3.14084525","292","3.14136225","292","3.14125","292","3.1410465","292","3.14136025","292","3.1418175","292","3.1413075","292","3.1405565","292","3.14101975","292","3.14115325","292","292"
"55","3.141623","302","3.14126825","302","3.141249","302","3.141917","302","3.140893","302","3.14198675","302","3.14155975","302","3.14137375","302","3.14143075","302","3.14194325","302","3.14125875","302","3.140554","302","3.1421025","302","3.14199425","302","3.14187075","302","302"
"56","3.141505","297","3.14074675","297","3.14100175","297","3.14074775","297","3.1415505","297","3.141357","297","3.1418255","297","3.14139775","297","3.1416415","297","3.1417955","297","3.1414605","297","3.140794","297","3.1416685","297","3.14156475","297","3.1419935","297","297"
"57","3.14192075","299","3.141495","299","3.14240375","299","3.14083475","299","3.14202075","299","3.14206125","299","3.14142275","299","3.14187675","299","3.14141725","299","3.141541","299","3.140672","299","3.141511","299","3.14201525","299","3.14162325","299","3.141734","299","299"
"58","3.14138275","304","3.14162975","304","3.14130925","304","3.1412765","304","3.141515","304","3.1410465","304","3.14135975","304","3.14196125","304","3.14207575","304","3.1415215","304","3.14194775","304","3.14216925","304","3.1412505","304","3.141658","304","3.1416755","304","304"
"59","3.14195425","296","3.14213575","296","3.1414035","296","3.14165","296","3.1418395","296","3.14150725","296","3.142035","296","3.14130875","296","3.1422625","296","3.14200375","296","3.1416145","296","3.1416555","296","3.14176575","296","3.1423915","296","3.141903","296","296"
"60","3.1418425","299","3.141346","299","3.14165625","299","3.14261725","299","3.1411515","299","3.1415525","299","3.14178375","299","3.1414685","299","3.14185625","299","3.1414935","299","3.1416585","299","3.1415905","299","3.14154425","299","3.14150575","299","3.14151275","299","299"
