"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Total Runtime (ms)"
"45","3.14097375","162","3.141903","162","3.14117475","162","3.1413125","162","3.14162725","162","3.1415055","162","3.14172975","162","3.141701","162","162"
"46","3.140915","161","3.14201125","161","3.14104125","161","3.14162025","161","3.14107925","161","3.14147925","161","3.1417755","161","3.141781","161","161"
"47","3.14135225","166","3.141653","166","3.141985","166","3.14223025","166","3.1416635","166","3.14140625","166","3.14183475","166","3.14089725","166","166"
"48","3.14232825","156","3.14140925","156","3.1420315","156","3.14116325","156","3.14122125","156","3.14190375","156","3.1411115","156","3.14100425","156","157"
"49","3.141602","161","3.14172225","161","3.142334","161","3.14151475","161","3.14086175","161","3.1417115","161","3.1415095","161","3.142137","161","162"
"50","3.141153","158","3.141705","158","3.14218025","158","3.1412945","158","3.14097","158","3.14188125","158","3.1423855","158","3.1415365","158","159"
"51","3.141561","175","3.14115975","175","3.141262","175","3.14125","175","3.14143175","175","3.1416945","175","3.14270475","175","3.141522","175","175"
"52","3.14118475","154","3.14128775","154","3.14099775","154","3.141817","154","3.14190325","154","3.14128525","154","3.1414065","154","3.14192025","154","154"
"53","3.14157275","166","3.14180775","166","3.1410605","166","3.14181975","166","3.1418925","166","3.141613","166","3.142147","166","3.14145025","166","166"
"54","3.14179525","159","3.1411755","159","3.1413555","159","3.14159","159","3.141849","159","3.14122875","159","3.1416805","159","3.14128775","159","159"
"55","3.1408665","167","3.14144425","167","3.1416375","167","3.1414995","167","3.14157825","167","3.14141625","167","3.14153025","167","3.141898","167","167"
"56","3.1417725","156","3.1416065","156","3.1419365","156","3.1414115","156","3.14194125","156","3.1410865","156","3.14182975","156","3.1415565","156","157"
"57","3.141339","169","3.141388","169","3.1406575","169","3.14171375","169","3.14223725","169","3.14195825","169","3.1421865","169","3.1412075","169","169"
"58","3.141222","161","3.1407445","161","3.1415835","161","3.1413085","161","3.14230875","161","3.141948","161","3.14195525","161","3.1414805","161","161"
"59","3.14128125","166","3.14126375","166","3.14171","166","3.1416625","166","3.14129","166","3.1413545","166","3.14197075","166","3.140817","166","166"
"60","3.14167825","157","3.1412945","157","3.141673","157","3.141643","157","3.14165875","157","3.1419555","157","3.14177125","157","3.1418095","157","157"
"61","3.1414525","173","3.140866","173","3.14122725","173","3.141702","173","3.141377","173","3.141357","173","3.1415925","173","3.141619","173","173"
"62","3.14139","161","3.14139675","161","3.14197275","161","3.14152575","161","3.141541","161","3.141673","161","3.14170975","161","3.1416255","161","162"
"63","3.14187325","173","3.14198475","173","3.14175175","173","3.14168125","173","3.14148825","173","3.141505","173","3.141719","173","3.141735","173","173"
"64","3.141366","159","3.14184875","159","3.1414785","159","3.14161925","159","3.141082","159","3.14179575","159","3.14282025","159","3.142177","159","159"
"65","3.14208775","170","3.14157375","170","3.1412295","170","3.1413105","170","3.14090625","170","3.141584","170","3.141028","170","3.1423575","170","170"
"66","3.14199575","158","3.1411865","158","3.14248775","158","3.14114275","158","3.1418975","158","3.1413355","158","3.14205","158","3.141254","158","158"
"67","3.1410735","165","3.1417985","165","3.1414","165","3.1422105","165","3.1414655","165","3.14158475","165","3.1422985","165","3.141642","165","165"
"68","3.141772","158","3.141575","158","3.1413525","158","3.141645","158","3.141644","158","3.14257625","158","3.14208775","158","3.14149625","158","158"
"69","3.14142175","168","3.1412745","168","3.14177675","168","3.141851","168","3.1417275","168","3.140778","168","3.141775","168","3.14179075","168","168"
"70","3.14138425","158","3.141819","158","3.14116475","158","3.14139875","158","3.141332","158","3.141959","158","3.142328","158","3.14175225","158","158"
"71","3.1419095","169","3.14237475","169","3.14181875","169","3.1419535","169","3.14177025","169","3.14149475","169","3.14155425","169","3.14124975","169","169"
"72","3.141547","160","3.14164875","160","3.14121725","160","3.140934","160","3.14182375","160","3.1417925","160","3.13959025","160","3.1418175","160","160"
"73","3.14114925","166","3.1414325","166","3.142481","166","3.14132375","166","3.14237125","166","3.14097475","166","3.1417155","166","3.1419245","166","166"
"74","3.14188","158","3.141166","158","3.14164725","158","3.14123675","158","3.14156225","158","3.14185275","158","3.142244","158","3.141559","158","158"
"75","3.141698","174","3.14131075","174","3.1415645","174","3.14131875","174","3.141475","174","3.14133775","174","3.14148125","174","3.141467","174","174"
"76","3.14166225","156","3.141551","156","3.14172675","156","3.14152875","156","3.14184725","156","3.14136325","156","3.14089675","156","3.14147025","156","156"
"77","3.14123525","170","3.141821","170","3.1413995","170","3.14187775","170","3.14115925","170","3.14219425","170","3.141403","170","3.140712","170","170"
"78","3.1422825","158","3.1417905","158","3.14221325","158","3.14121775","158","3.141947","158","3.141651","158","3.1416905","158","3.14157225","158","158"
"79","3.140967","172","3.142173","172","3.141232","172","3.14110425","172","3.14168575","172","3.14138225","172","3.14215425","172","3.141982","172","172"
"80","3.14119475","160","3.14117075","160","3.14083275","160","3.14131375","160","3.14116825","160","3.141511","160","3.14128875","160","3.142077","160","160"
