"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Total Runtime (ms)"
"1","3.1407615","90","3.140833","90","3.1417875","90","3.14203525","90","100"
"2","3.1410315","85","3.1414805","85","3.1417695","85","3.14197225","85","85"
"3","3.1414095","87","3.1423015","87","3.1412875","87","3.1417735","87","87"
"4","3.14185825","93","3.14219075","93","3.141405","93","3.1408575","93","93"
"5","3.14113875","88","3.1412985","88","3.141984","88","3.14131875","88","88"
"6","3.141445","84","3.14153","84","3.141052","84","3.14174675","84","84"
"7","3.14111325","88","3.141952","88","3.14203075","88","3.1413725","88","88"
"8","3.141314","106","3.141478","106","3.141863","106","3.1415895","106","106"
"9","3.141228","86","3.141991","86","3.14133475","86","3.141956","86","86"
"10","3.14147025","84","3.14159725","84","3.1415775","84","3.1413785","84","84"
"11","3.14122975","87","3.141573","87","3.14170375","87","3.1410685","87","87"
"12","3.14188875","92","3.1414365","92","3.1420805","92","3.14197825","92","94"
"13","3.14101925","86","3.14139325","86","3.1418545","86","3.14159825","86","86"
"14","3.14147925","89","3.141844","89","3.141964","89","3.1417875","89","89"
"15","3.14213875","86","3.142384","86","3.14136375","86","3.1412435","86","86"
"16","3.141879","93","3.14144775","93","3.14159025","93","3.14135275","93","93"
"17","3.14160125","87","3.141376","87","3.14097125","87","3.1418145","87","87"
"18","3.1413085","83","3.14157275","83","3.14173225","83","3.141831","83","83"
"19","3.14197475","85","3.14157375","85","3.14165625","85","3.14150025","85","85"
"20","3.142036","106","3.14108025","106","3.14152875","106","3.142164","106","106"
"21","3.1409385","84","3.1415475","84","3.14158525","84","3.14141225","84","84"
"22","3.14138675","85","3.1418885","85","3.141861","85","3.1417045","85","85"
"23","3.14230725","82","3.141355","82","3.1421405","82","3.140703","82","82"
"24","3.14170725","97","3.141484","97","3.141507","97","3.14127975","97","97"
"25","3.14193575","81","3.14149725","81","3.1415515","81","3.14144925","81","81"
"26","3.1415155","82","3.14150975","82","3.14102375","82","3.1416455","82","82"
"27","3.14074925","80","3.14162825","80","3.14135475","80","3.14142075","80","81"
"28","3.14136625","93","3.14177775","93","3.1416","93","3.14149075","93","93"
"29","3.14198325","83","3.14133425","83","3.14161025","83","3.14148025","83","83"
"30","3.14227925","85","3.14155425","85","3.14161425","85","3.1411815","85","85"
"31","3.141288","82","3.14184425","82","3.14063275","82","3.14140275","82","82"
"32","3.14116","92","3.1418895","92","3.14117425","92","3.14164575","92","92"
"33","3.1412205","85","3.14067825","85","3.14124625","85","3.14142925","85","85"
"34","3.14163875","85","3.141686","85","3.141423","85","3.140898","85","85"
"35","3.1407735","85","3.142132","85","3.14151325","85","3.14255675","85","85"
"36","3.14078725","93","3.14127875","93","3.14109175","93","3.141742","93","93"
"37","3.14153175","88","3.1412445","88","3.1410955","88","3.1413755","88","88"
"38","3.1414885","85","3.14172175","85","3.14140825","85","3.14121625","85","85"
"39","3.141695","88","3.1413225","88","3.1409025","88","3.14210825","88","88"
"40","3.1412475","93","3.142145","93","3.1413565","93","3.1415885","93","93"
"41","3.1411715","86","3.14089525","86","3.1421405","86","3.14193225","86","86"
"42","3.1407345","85","3.141659","85","3.141227","85","3.1411175","85","86"
"43","3.14161825","86","3.141078","86","3.14164925","86","3.141776","86","86"
"44","3.14131675","95","3.14194125","95","3.1412845","95","3.141413","95","96"
"45","3.141767","82","3.14189775","82","3.14108575","82","3.141346","82","82"
"46","3.14106725","83","3.1408815","83","3.1427345","83","3.141655","83","84"
"47","3.1416235","84","3.1410645","84","3.141181","84","3.14156975","84","84"
"48","3.1413225","107","3.14182175","107","3.141116","107","3.142006","107","108"
"49","3.1415105","86","3.14151675","86","3.14157575","86","3.1415505","86","86"
"50","3.141582","86","3.1416885","86","3.141771","86","3.14193575","86","86"
"51","3.14112875","79","3.14229","79","3.14140675","79","3.1417195","79","80"
"52","3.1417575","96","3.141719","96","3.141168","96","3.14171975","96","96"
"53","3.1423425","84","3.1412425","84","3.14161825","84","3.14143575","84","84"
"54","3.14179375","86","3.1412505","86","3.14132025","86","3.14185175","86","86"
"55","3.1409245","88","3.14171775","88","3.14168375","88","3.14220475","88","88"
"56","3.142334","100","3.14241175","100","3.14100775","100","3.141227","100","100"
"57","3.1408655","89","3.1412675","89","3.14068925","89","3.141789","89","89"
"58","3.1420505","83","3.141917","83","3.14142125","83","3.14101075","83","83"
"59","3.14191175","81","3.14205425","81","3.1409405","81","3.14133975","81","81"
"60","3.1416405","106","3.14197225","106","3.14108325","106","3.1415505","106","106"
"61","3.141681","91","3.1412675","91","3.141487","91","3.141759","91","91"
"62","3.14175125","86","3.14092525","86","3.14095375","86","3.14210975","86","86"
"63","3.14197525","89","3.141385","89","3.14139425","89","3.1419745","89","89"
"64","3.14109575","99","3.1408415","99","3.141901","99","3.141696","99","99"
"65","3.14168025","80","3.14204","80","3.14142475","80","3.14110725","80","80"
"66","3.14162375","85","3.14188025","85","3.1414815","85","3.14204975","85","85"
"67","3.14185525","88","3.1417815","88","3.141678","88","3.1415635","88","88"
"68","3.1417765","87","3.1415865","87","3.14189375","87","3.14187375","87","87"
"69","3.141939","85","3.140783","85","3.1414325","85","3.14211525","85","85"
"70","3.14199425","89","3.14152225","89","3.14110875","89","3.14214725","89","89"
"71","3.1414665","86","3.14132675","86","3.141716","86","3.14197575","86","86"
"72","3.1421195","88","3.1408275","88","3.141961","88","3.141135","88","88"
"73","3.14198075","87","3.1421365","87","3.1415155","87","3.1410315","87","87"
"74","3.14216025","83","3.14175075","83","3.14040825","83","3.14113825","83","86"
"75","3.1405545","96","3.14186525","96","3.14148525","96","3.14196875","96","97"
"76","3.1415155","86","3.14016725","86","3.141775","86","3.141397","86","86"
"77","3.1416175","83","3.14141875","83","3.14230125","83","3.1412245","83","83"
"78","3.142047","84","3.141751","84","3.14183625","84","3.14093475","84","84"
"79","3.14115675","102","3.1419955","102","3.141999","102","3.14126475","102","102"
"80","3.1419605","86","3.141887","86","3.141336","86","3.1419295","86","86"
"81","3.1408005","87","3.14206425","87","3.14122275","87","3.14092875","87","87"
"82","3.1416985","87","3.1422785","87","3.1416735","87","3.14233675","87","88"
"83","3.141723","98","3.1423015","98","3.14199375","98","3.14218225","98","98"
"84","3.14135375","85","3.1407585","85","3.14050625","85","3.14166275","85","85"
"85","3.14147825","79","3.141573","79","3.14204875","79","3.14186925","79","82"
"86","3.14161525","87","3.141617","87","3.1420555","87","3.141609","87","87"
"87","3.1416375","95","3.1429715","95","3.1408715","95","3.14171675","95","95"
"88","3.14092525","86","3.14196975","86","3.1414245","86","3.141199","86","86"
"89","3.14154","83","3.14142675","83","3.14114575","83","3.1419505","83","83"
"90","3.14126325","83","3.14117175","83","3.141475","83","3.1415745","83","83"
"91","3.1411415","91","3.14207975","91","3.1409585","91","3.14111","91","91"
"92","3.14183025","88","3.141389","88","3.14195625","88","3.142199","88","88"
"93","3.14176375","84","3.141011","84","3.1419495","84","3.14137625","84","84"
"94","3.141933","85","3.14214925","85","3.14184875","85","3.1423155","85","86"
"95","3.141314","96","3.1410955","96","3.14231275","96","3.14227575","96","97"
"96","3.141402","86","3.140783","86","3.14176575","86","3.141485","86","86"
"97","3.1413905","81","3.14158925","81","3.14127625","81","3.1417935","81","82"
"98","3.141632","85","3.14161125","85","3.142361","85","3.14180425","85","85"
"99","3.1416125","95","3.142197","95","3.14138","95","3.1407405","95","95"
