"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Total Runtime (ms)"
"1","3.141107","244","3.141698","244","3.141861","244","3.141284","244","3.1413395","244","3.14152425","244","3.142075","244","3.14049975","244","3.14188075","244","3.141624","244","3.14204675","244","3.1418525","244","254"
"2","3.141137","242","3.14122325","242","3.141521","242","3.14152575","242","3.14206175","242","3.14213875","242","3.14120525","242","3.14190475","242","3.14188725","242","3.1419365","242","3.14178925","242","3.14138525","242","242"
"3","3.14207325","237","3.14184125","237","3.14182775","237","3.141599","237","3.142029","237","3.1419175","237","3.14135525","237","3.1413475","237","3.14239625","237","3.1410675","237","3.142157","237","3.14156575","237","237"
"4","3.141653","233","3.141748","233","3.141994","233","3.14147875","233","3.14153775","233","3.141191","233","3.14190475","233","3.14088075","233","3.14154125","233","3.14194275","233","3.14129525","233","3.14145825","233","233"
"5","3.141067","241","3.14110125","241","3.14208425","241","3.14164275","241","3.14220025","241","3.14128525","241","3.14154775","241","3.14164925","241","3.1415935","241","3.14177575","241","3.141736","241","3.1416235","241","241"
"6","3.141932","246","3.1416485","246","3.14188075","246","3.14179175","246","3.14173075","246","3.14184225","246","3.1419765","246","3.1415005","246","3.14182075","246","3.142078","246","3.14110675","246","3.141967","246","246"
"7","3.141871","232","3.14178425","232","3.1411805","232","3.1423195","232","3.140634","232","3.141807","232","3.14153625","232","3.1401315","232","3.140556","232","3.14169375","232","3.14203975","232","3.1424365","232","232"
"8","3.1421005","233","3.1414785","233","3.1409495","233","3.14148525","233","3.14099225","233","3.14207025","233","3.14110975","233","3.1422475","233","3.14135525","233","3.141693","233","3.14083525","233","3.141152","233","233"
"9","3.14182875","233","3.14151475","233","3.141778","233","3.14090675","233","3.14192475","233","3.1410455","233","3.141565","233","3.1416465","233","3.1420195","233","3.141417","233","3.1411375","233","3.14210675","233","233"
"10","3.141448","247","3.14175025","247","3.1409765","247","3.14160925","247","3.14160175","247","3.14138675","247","3.14105575","247","3.14159875","247","3.141801","247","3.14193075","247","3.1419285","247","3.14174775","247","248"
"11","3.141964","243","3.14151075","243","3.140945","243","3.141886","243","3.14187","243","3.14120525","243","3.14103825","243","3.14134075","243","3.14234125","243","3.14093575","243","3.14177425","243","3.142137","243","243"
"12","3.14210025","234","3.1415395","234","3.14179825","234","3.141755","234","3.14145675","234","3.14165125","234","3.14196525","234","3.14158475","234","3.141842","234","3.14141325","234","3.14152325","234","3.141405","234","234"
"13","3.14236325","239","3.14175","239","3.14221725","239","3.14101075","239","3.1418435","239","3.142596","239","3.14145075","239","3.14179475","239","3.141656","239","3.14176825","239","3.14139175","239","3.14195975","239","239"
"14","3.14178975","240","3.14172225","240","3.14244125","240","3.1415685","240","3.1419355","240","3.14247825","240","3.14147525","240","3.14161475","240","3.14139225","240","3.14176325","240","3.1412975","240","3.14151","240","240"
