"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Total Runtime (ms)"
"1","3.14169875","108","3.141322","108","3.14126125","108","3.1410215","108","3.1416395","108","119"
"2","3.1419105","106","3.142009","106","3.1411785","106","3.1412845","106","3.14213175","106","106"
"3","3.1419155","114","3.14166625","114","3.14131025","114","3.14281875","114","3.1418845","114","114"
"4","3.1411585","102","3.14182375","102","3.142798","102","3.14110675","102","3.14173975","102","102"
"5","3.14128575","104","3.141539","104","3.141599","104","3.14179975","104","3.14189025","104","104"
"6","3.14161625","112","3.1417275","112","3.14152325","112","3.1419075","112","3.141164","112","112"
"7","3.1413645","104","3.1410755","104","3.14133175","104","3.14209625","104","3.14218875","104","104"
"8","3.14156325","108","3.14147075","108","3.14202075","108","3.141199","108","3.14146075","108","108"
"9","3.141372","112","3.14191675","112","3.1415785","112","3.14102275","112","3.14091875","112","112"
"10","3.1416755","103","3.14134025","103","3.141988","103","3.14198775","103","3.141439","103","103"
"11","3.14245025","102","3.14129625","102","3.141338","102","3.1418795","102","3.14170875","102","102"
"12","3.14187525","110","3.1421835","110","3.14156675","110","3.14196925","110","3.142497","110","110"
"13","3.140997","103","3.140795","103","3.141949","103","3.141318","103","3.14188275","103","104"
"14","3.1412425","101","3.1415745","101","3.14111975","101","3.14183425","101","3.1414755","101","102"
"15","3.14189325","120","3.14123025","120","3.14255","120","3.14130275","120","3.14111425","120","120"
"16","3.141411","106","3.141658","106","3.141334","106","3.1428475","106","3.1416225","106","106"
"17","3.141221","104","3.14148375","104","3.141576","104","3.140684","104","3.141089","104","104"
"18","3.141985","122","3.14197925","122","3.14172075","122","3.14183975","122","3.14183325","122","122"
"19","3.1408895","103","3.141325","103","3.140862","103","3.1419555","103","3.14147825","103","103"
"20","3.14129925","103","3.142003","103","3.1415075","103","3.14126175","103","3.141281","103","103"
"21","3.14180575","108","3.14175325","108","3.14129325","108","3.1417985","108","3.14162275","108","108"
"22","3.14175075","106","3.14156375","106","3.141702","106","3.14164675","106","3.14162","106","106"
"23","3.14131825","106","3.14183875","106","3.141409","106","3.142147","106","3.1415325","106","106"
"24","3.1414365","103","3.14172025","103","3.141624","103","3.14183075","103","3.14200725","103","103"
"25","3.141812","114","3.1418455","114","3.14124125","114","3.141212","114","3.14173075","114","114"
"26","3.14212625","104","3.14164825","104","3.1414825","104","3.1412195","104","3.14147","104","104"
"27","3.142078","105","3.14195725","105","3.1416375","105","3.1411025","105","3.14197025","105","105"
"28","3.14187475","114","3.1414485","114","3.14146475","114","3.14194925","114","3.14109525","114","114"
"29","3.141508","116","3.14161","116","3.141608","116","3.14132325","116","3.1407045","116","116"
"30","3.1418805","102","3.14155975","102","3.14251925","102","3.1418275","102","3.14147025","102","102"
"31","3.1426495","121","3.14192025","121","3.1410405","121","3.1418825","121","3.14232","121","121"
"32","3.14114425","106","3.14137075","106","3.1421845","106","3.141113","106","3.141185","106","106"
"33","3.14181225","104","3.14113375","104","3.1418395","104","3.14138","104","3.1416375","104","104"
