"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"1","3.14130125","314","3.141781","314","3.14173675","314","3.14174975","314","3.14134525","314","3.14096525","314","3.14155175","314","3.141912","314","3.141474","314","3.14129875","314","3.14141025","314","3.14120275","314","3.1420255","314","3.1412405","314","3.142514","314","3.1416205","314","324"
"2","3.14164275","318","3.142157","318","3.14218525","318","3.14128425","318","3.1413235","318","3.14164575","318","3.14112225","318","3.141711","318","3.14139175","318","3.14104325","318","3.1417255","318","3.141151","318","3.14176775","318","3.14196475","318","3.1417975","318","3.141836","318","318"
"3","3.1423165","324","3.14205725","324","3.14177325","324","3.14153425","324","3.14185325","324","3.14114375","324","3.141611","324","3.14135175","324","3.14102125","324","3.1419935","324","3.1423355","324","3.14154925","324","3.141337","324","3.14194375","324","3.14175425","324","3.14244575","324","324"
"4","3.14172475","327","3.14168125","327","3.141388","327","3.14144825","327","3.14276775","327","3.141492","327","3.14198575","327","3.14111875","327","3.14083325","327","3.14123625","327","3.1410085","327","3.14083","327","3.141029","327","3.1417155","327","3.14178975","327","3.1417905","327","327"
"5","3.14098225","320","3.1411505","320","3.140496","320","3.1416495","320","3.14162775","320","3.1412255","320","3.14177475","320","3.14127275","320","3.1426835","320","3.141038","320","3.14123325","320","3.1411885","320","3.141512","320","3.142017","320","3.14191575","320","3.14109175","320","320"
"6","3.1415495","316","3.141119","316","3.14227","316","3.14231325","316","3.1421915","316","3.1413515","316","3.14082975","316","3.14153575","316","3.14113525","316","3.14101975","316","3.14144475","316","3.14183325","316","3.1418235","316","3.14145825","316","3.141077","316","3.1412955","316","320"
"7","3.14176925","318","3.1419655","318","3.14131475","318","3.14205875","318","3.14180625","318","3.1416875","318","3.1418745","318","3.141505","318","3.14115625","318","3.14173175","318","3.14195925","318","3.141498","318","3.14174225","318","3.1417965","318","3.1413545","318","3.141683","318","322"
"8","3.14171375","315","3.1423915","315","3.141519","315","3.1414665","315","3.14194525","315","3.141435","315","3.14168525","315","3.141197","315","3.1418575","315","3.141316","315","3.14113725","315","3.14147325","315","3.14241525","315","3.141143","315","3.1419445","315","3.1419255","315","316"
"9","3.1418055","322","3.141586","322","3.140777","322","3.14146025","322","3.141467","322","3.14133425","322","3.14115275","322","3.14177225","322","3.142098","322","3.141154","322","3.14157475","322","3.14220725","322","3.1407755","322","3.14150475","322","3.14129325","322","3.14200125","322","323"
"10","3.141641","314","3.14159075","314","3.14167925","314","3.14181475","314","3.14168525","314","3.1406805","314","3.14063975","314","3.14140425","314","3.14166525","314","3.1411055","314","3.1416575","314","3.1410245","314","3.14124825","314","3.14138325","314","3.1413365","314","3.1415015","314","314"
