"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Total Runtime (ms)"
"28","3.1415435","265","3.14168275","265","3.1419295","265","3.142057","265","3.14193525","265","3.142179","265","3.14128125","265","3.14197","265","3.141173","265","3.141415","265","3.1416995","265","3.14216525","265","3.141097","265","265"
"29","3.14149775","255","3.14148","255","3.14123175","255","3.14141225","255","3.141679","255","3.1417205","255","3.14102025","255","3.1422735","255","3.141195","255","3.14167225","255","3.1411325","255","3.1416615","255","3.14246725","255","256"
"30","3.14207525","263","3.14152775","263","3.1413235","263","3.1415935","263","3.14092525","263","3.141281","263","3.14080275","263","3.1413665","263","3.14111425","263","3.14111125","263","3.14209225","263","3.1416055","263","3.141625","263","263"
"31","3.1414575","266","3.14124625","266","3.1409435","266","3.1414265","266","3.140834","266","3.14071925","266","3.1414995","266","3.14191625","266","3.14110225","266","3.14128225","266","3.14223725","266","3.14161025","266","3.14082825","266","266"
"32","3.14107425","270","3.1420845","270","3.1415035","270","3.1414395","270","3.14124675","270","3.14139375","270","3.1425265","270","3.14099575","270","3.14210425","270","3.141373","270","3.14110925","270","3.14087025","270","3.14188525","270","270"
"33","3.14137025","246","3.14124575","246","3.141768","246","3.1424255","246","3.142002","246","3.14178425","246","3.14220825","246","3.14173575","246","3.1416165","246","3.14150725","246","3.14170025","246","3.14141925","246","3.141079","246","246"
"34","3.1416855","267","3.1420285","267","3.14170425","267","3.14159175","267","3.1418355","267","3.141691","267","3.1414365","267","3.14139775","267","3.14124375","267","3.1412955","267","3.141463","267","3.14066475","267","3.141453","267","267"
"35","3.14163225","261","3.141767","261","3.14180325","261","3.14154975","261","3.1418355","261","3.1411855","261","3.141167","261","3.14124175","261","3.14253375","261","3.141599","261","3.14212375","261","3.141011","261","3.14163825","261","261"
"36","3.14140425","261","3.14141075","261","3.14101625","261","3.1406095","261","3.1417195","261","3.141871","261","3.1413315","261","3.1409985","261","3.14201225","261","3.1413585","261","3.14141275","261","3.14158125","261","3.14145625","261","263"
"37","3.14077625","268","3.142076","268","3.1419815","268","3.14200125","268","3.1414595","268","3.14147725","268","3.1419515","268","3.14182175","268","3.14107375","268","3.142221","268","3.14159225","268","3.141811","268","3.1416595","268","268"
"38","3.141164","252","3.14181925","252","3.141899","252","3.14209625","252","3.1421115","252","3.1415505","252","3.14161125","252","3.1416365","252","3.14139075","252","3.14139","252","3.14198975","252","3.141541","252","3.14220525","252","252"
"39","3.14206275","263","3.141326","263","3.14147525","263","3.14146625","263","3.141864","263","3.14162625","263","3.14180025","263","3.14224175","263","3.14217225","263","3.14146325","263","3.142427","263","3.1409475","263","3.1414365","263","263"
"40","3.14158025","260","3.141355","260","3.1420435","260","3.14195675","260","3.14202425","260","3.1416905","260","3.141569","260","3.14153325","260","3.141906","260","3.14157375","260","3.14040025","260","3.14104575","260","3.14131","260","260"
"41","3.14113975","261","3.14179625","261","3.141268","261","3.14187425","261","3.14112","261","3.14215575","261","3.14170425","261","3.140921","261","3.141465","261","3.14162425","261","3.14082775","261","3.14164825","261","3.14142575","261","261"
"42","3.141632","261","3.141355","261","3.141457","261","3.1428795","261","3.14212225","261","3.14190725","261","3.141266","261","3.14107775","261","3.14161875","261","3.1418815","261","3.1409575","261","3.14105225","261","3.14176175","261","261"
"43","3.14102425","261","3.141413","261","3.14151625","261","3.14194625","261","3.1405225","261","3.14138325","261","3.14219325","261","3.14106875","261","3.141578","261","3.14097925","261","3.1416515","261","3.14099","261","3.1408235","261","261"
"44","3.14159475","251","3.1411335","251","3.14190475","251","3.14157925","251","3.1407185","251","3.1414075","251","3.14152025","251","3.1407","251","3.14150175","251","3.1415545","251","3.14162275","251","3.14142275","251","3.14180575","251","251"
"45","3.141327","261","3.14112075","261","3.14225925","261","3.14211025","261","3.14206025","261","3.141517","261","3.1411","261","3.14185125","261","3.1416665","261","3.1419","261","3.14098275","261","3.14125025","261","3.1412035","261","261"
"46","3.1423645","261","3.1414605","261","3.1414115","261","3.1411815","261","3.14136025","261","3.14106425","261","3.1411365","261","3.1412125","261","3.14167375","261","3.141314","261","3.14184675","261","3.14210125","261","3.141687","261","261"
"47","3.14183725","261","3.141552","261","3.14137375","261","3.141289","261","3.141175","261","3.14189825","261","3.14144575","261","3.14184125","261","3.1412305","261","3.14163475","261","3.14166925","261","3.14130075","261","3.14163325","261","261"
"48","3.1423055","259","3.1409415","259","3.1409375","259","3.14173","259","3.1403805","259","3.14145975","259","3.1422875","259","3.141237","259","3.1423165","259","3.14172725","259","3.14106725","259","3.1418675","259","3.14180575","259","259"
"49","3.14105725","264","3.1415025","264","3.14138575","264","3.141592","264","3.1418265","264","3.14162625","264","3.14173525","264","3.14193375","264","3.14076125","264","3.1418925","264","3.14135875","264","3.141643","264","3.14206025","264","264"
"50","3.14162925","249","3.141357","249","3.14135875","249","3.14289025","249","3.14107775","249","3.1408145","249","3.1419965","249","3.1421925","249","3.14194075","249","3.1418625","249","3.1414765","249","3.14194225","249","3.14230475","249","249"
"51","3.141974","258","3.14166025","258","3.1415365","258","3.1415955","258","3.14259575","258","3.14170475","258","3.141551","258","3.141107","258","3.14195875","258","3.1415505","258","3.141806","258","3.1425275","258","3.14201625","258","258"
"52","3.1408655","266","3.14165125","266","3.1425425","266","3.14189375","266","3.14239425","266","3.1418275","266","3.141305","266","3.141423","266","3.14141975","266","3.1407425","266","3.141646","266","3.1417845","266","3.1418045","266","266"
"53","3.1415295","259","3.14099775","259","3.141235","259","3.14171075","259","3.14215375","259","3.141916","259","3.14177375","259","3.14162875","259","3.14096875","259","3.14097825","259","3.14132875","259","3.14084875","259","3.1419565","259","261"
"54","3.142003","257","3.14076125","257","3.1412225","257","3.14175225","257","3.141554","257","3.141633","257","3.1419755","257","3.14125675","257","3.14209825","257","3.14186525","257","3.14142425","257","3.141779","257","3.14208425","257","263"
"55","3.14104475","250","3.1411235","250","3.14215675","250","3.14166775","250","3.1415485","250","3.141502","250","3.141713","250","3.141081","250","3.141603","250","3.141854","250","3.141241","250","3.141837","250","3.14149575","250","251"
"56","3.1409025","264","3.141504","264","3.1421595","264","3.1423185","264","3.14133875","264","3.14243775","264","3.14151225","264","3.14228225","264","3.1408055","264","3.14153675","264","3.142668","264","3.14214025","264","3.141764","264","264"
"57","3.14129975","265","3.14230875","265","3.141222","265","3.14175825","265","3.14164575","265","3.1418035","265","3.1420005","265","3.1410605","265","3.14163825","265","3.1417605","265","3.14128725","265","3.1424215","265","3.141047","265","265"
"58","3.14127175","263","3.141675","263","3.14150125","263","3.141481","263","3.14171425","263","3.14161725","263","3.14152375","263","3.141143","263","3.14108525","263","3.1407465","263","3.14160325","263","3.14197425","263","3.141537","263","264"
"59","3.14114175","259","3.1414615","259","3.141735","259","3.141231","259","3.14180275","259","3.14155025","259","3.141171","259","3.14099575","259","3.14192475","259","3.14082475","259","3.14155525","259","3.14202575","259","3.142098","259","259"
"60","3.14159175","263","3.14180025","263","3.14222125","263","3.14151325","263","3.1419765","263","3.1414545","263","3.1414585","263","3.14118","263","3.14148075","263","3.1422215","263","3.1422515","263","3.14184375","263","3.1416365","263","264"
"61","3.1418685","249","3.1421015","249","3.14167775","249","3.1422555","249","3.14170425","249","3.14125475","249","3.14186625","249","3.14036825","249","3.14219575","249","3.141443","249","3.14119175","249","3.1419925","249","3.142032","249","249"
"62","3.14165375","263","3.1412795","263","3.141765","263","3.141673","263","3.14111975","263","3.14079925","263","3.14169125","263","3.1415265","263","3.1410085","263","3.14077025","263","3.14199025","263","3.141525","263","3.1417445","263","267"
"63","3.1408535","254","3.142156","254","3.1418495","254","3.14206975","254","3.14146625","254","3.1421385","254","3.14124175","254","3.1419695","254","3.141563","254","3.14239275","254","3.14234875","254","3.141443","254","3.14154175","254","262"
"64","3.14138625","261","3.14079325","261","3.14217","261","3.14069725","261","3.14084025","261","3.14139475","261","3.14173475","261","3.14173","261","3.14130525","261","3.14175475","261","3.140894","261","3.14145375","261","3.14157225","261","261"
"65","3.14139","262","3.14122525","262","3.1408265","262","3.14186","262","3.14245375","262","3.141661","262","3.14225425","262","3.14122975","262","3.14163725","262","3.140834","262","3.14161375","262","3.141931","262","3.1413625","262","262"
"66","3.1411975","263","3.141115","263","3.140873","263","3.141642","263","3.14151825","263","3.14129625","263","3.14148225","263","3.14087575","263","3.14111675","263","3.141602","263","3.1413845","263","3.14131975","263","3.14107225","263","263"
"67","3.1415725","262","3.14137675","262","3.14107525","262","3.14065825","262","3.141438","262","3.14110775","262","3.14232675","262","3.141658","262","3.141335","262","3.14156275","262","3.1413295","262","3.14193075","262","3.1417705","262","262"
"68","3.14251025","256","3.1425035","256","3.1422575","256","3.14090975","256","3.141548","256","3.14145025","256","3.141632","256","3.1415885","256","3.14146675","256","3.141372","256","3.14232325","256","3.141413","256","3.14188175","256","257"
"69","3.142061","262","3.1420745","262","3.14147725","262","3.14144375","262","3.14148525","262","3.14224625","262","3.1414755","262","3.141994","262","3.14221975","262","3.1416355","262","3.142104","262","3.14170525","262","3.1412715","262","262"
"70","3.1419065","259","3.14133675","259","3.14130525","259","3.1419345","259","3.1417575","259","3.1418385","259","3.14103425","259","3.14157075","259","3.14162075","259","3.1420895","259","3.1415315","259","3.14149625","259","3.14158925","259","259"
"71","3.1415475","262","3.14150775","262","3.1413355","262","3.14117975","262","3.14204975","262","3.1418615","262","3.14153075","262","3.141383","262","3.1408845","262","3.14156375","262","3.1415065","262","3.14203525","262","3.141267","262","262"
"72","3.14167675","254","3.141858","254","3.1417535","254","3.142012","254","3.141595","254","3.14141975","254","3.14112325","254","3.14100325","254","3.14094525","254","3.14183775","254","3.14102725","254","3.14165275","254","3.14155625","254","254"
"73","3.14184425","270","3.14172725","270","3.140312","270","3.1415645","270","3.14193225","270","3.14200875","270","3.1419995","270","3.1407385","270","3.142001","270","3.14221925","270","3.1417675","270","3.142345","270","3.14149425","270","271"
"74","3.142098","266","3.141987","266","3.14106575","266","3.14191525","266","3.14180525","266","3.141278","266","3.141787","266","3.1418185","266","3.1418925","266","3.14165975","266","3.14163525","266","3.14154275","266","3.14202975","266","266"
"75","3.14187525","261","3.14223475","261","3.1421595","261","3.1408205","261","3.142458","261","3.141589","261","3.14145","261","3.141189","261","3.14241675","261","3.1417535","261","3.1416145","261","3.14139725","261","3.1420295","261","261"
"76","3.14139625","260","3.1419905","260","3.14203175","260","3.142371","260","3.141551","260","3.1419455","260","3.141996","260","3.14215375","260","3.141823","260","3.1418395","260","3.1423055","260","3.14170275","260","3.1411075","260","261"
"77","3.141496","265","3.14146425","265","3.14206325","265","3.1412785","265","3.14162325","265","3.141492","265","3.14110525","265","3.14243275","265","3.1422075","265","3.14208375","265","3.14228325","265","3.1416335","265","3.1416315","265","265"
"78","3.1412115","250","3.14188625","250","3.1415455","250","3.14120975","250","3.141146","250","3.141398","250","3.141382","250","3.14197375","250","3.1419545","250","3.1408805","250","3.14207575","250","3.14169825","250","3.141726","250","250"
"79","3.14128825","260","3.14217575","260","3.14176125","260","3.142154","260","3.14204475","260","3.14159525","260","3.1411985","260","3.1414445","260","3.14165625","260","3.142335","260","3.141365","260","3.14211425","260","3.14150475","260","260"
"80","3.14224425","261","3.14221625","261","3.1418445","261","3.14185175","261","3.14159975","261","3.141844","261","3.14201625","261","3.1415555","261","3.141751","261","3.14171675","261","3.14207075","261","3.141589","261","3.14166225","261","261"
"81","3.14146675","263","3.14214925","263","3.1413665","263","3.141446","263","3.14182675","263","3.14137","263","3.14139725","263","3.1414205","263","3.1416495","263","3.1419695","263","3.141283","263","3.14188975","263","3.14249225","263","263"
"82","3.141188","262","3.1414815","262","3.141343","262","3.14092575","262","3.14121525","262","3.14178925","262","3.14117975","262","3.14177725","262","3.14125375","262","3.140683","262","3.141555","262","3.1413225","262","3.14210975","262","262"
"83","3.14178375","264","3.14178075","264","3.1416735","264","3.14122275","264","3.14142325","264","3.141796","264","3.1418885","264","3.140759","264","3.1417895","264","3.1416745","264","3.1410515","264","3.141475","264","3.141642","264","264"
"84","3.1408905","249","3.140844","249","3.1417135","249","3.14155275","249","3.14079175","249","3.14138925","249","3.14182175","249","3.1415585","249","3.14143825","249","3.14170425","249","3.14122175","249","3.14149225","249","3.141753","249","249"
"85","3.1412385","262","3.14143525","262","3.1419075","262","3.141651","262","3.141305","262","3.141002","262","3.1416495","262","3.14085575","262","3.14120375","262","3.1414535","262","3.1411695","262","3.14162875","262","3.141239","262","263"
"86","3.14139675","262","3.14169","262","3.141216","262","3.14152675","262","3.142029","262","3.14149675","262","3.1412295","262","3.1420405","262","3.1418105","262","3.14207925","262","3.14170925","262","3.1420485","262","3.14196025","262","262"
"87","3.1414115","257","3.14175775","257","3.1420955","257","3.14171875","257","3.14195225","257","3.14156825","257","3.14152625","257","3.14101175","257","3.1410475","257","3.1418675","257","3.14149575","257","3.14172325","257","3.1414755","257","257"
"88","3.14148825","266","3.14191775","266","3.1409035","266","3.141395","266","3.1418585","266","3.1410955","266","3.141156","266","3.14176125","266","3.1421405","266","3.141144","266","3.14220325","266","3.14126","266","3.1417125","266","267"
"89","3.14173875","250","3.14224125","250","3.1419105","250","3.14171675","250","3.14085625","250","3.1416035","250","3.14186975","250","3.14159175","250","3.141661","250","3.1418285","250","3.14218","250","3.14119125","250","3.14115925","250","250"
"90","3.14151775","262","3.14165175","262","3.141094","262","3.14040425","262","3.14208925","262","3.1414365","262","3.14105175","262","3.1415405","262","3.1406605","262","3.14128475","262","3.14201425","262","3.142345","262","3.14181575","262","262"
"91","3.141577","255","3.14164725","255","3.14208325","255","3.1412975","255","3.14115975","255","3.14163525","255","3.14126275","255","3.140839","255","3.14102025","255","3.14199925","255","3.14129275","255","3.141175","255","3.141207","255","255"
"92","3.1419975","264","3.14161425","264","3.14104675","264","3.14209725","264","3.14136425","264","3.1415575","264","3.1420555","264","3.141696","264","3.14191125","264","3.14202875","264","3.14125075","264","3.1405645","264","3.14168825","264","264"
"93","3.141061","265","3.14218675","265","3.14086075","265","3.142163","265","3.14204175","265","3.141362","265","3.14240625","265","3.14168125","265","3.14174575","265","3.14142325","265","3.14124825","265","3.14107575","265","3.141278","265","265"
"94","3.14163525","271","3.142038","271","3.14122375","271","3.141061","271","3.14169125","271","3.1412835","271","3.14177825","271","3.14179675","271","3.1417495","271","3.1414745","271","3.141425","271","3.14182725","271","3.1417385","271","271"
"95","3.14180675","257","3.14067125","257","3.1410275","257","3.142046","257","3.14147175","257","3.14147325","257","3.141592","257","3.141269","257","3.140851","257","3.14079775","257","3.141838","257","3.141334","257","3.140798","257","258"
"96","3.141375","261","3.141742","261","3.1419075","261","3.14196","261","3.14091025","261","3.1412765","261","3.1422405","261","3.1415125","261","3.1423885","261","3.1425945","261","3.1415915","261","3.141511","261","3.14126575","261","262"
"97","3.141501","256","3.141819","256","3.14147375","256","3.14126525","256","3.14212","256","3.141752","256","3.14129025","256","3.14168575","256","3.14164575","256","3.1410145","256","3.1412675","256","3.141505","256","3.14176775","256","256"
"98","3.141808","262","3.1415835","262","3.14137875","262","3.14202275","262","3.14140675","262","3.14108625","262","3.142187","262","3.1418705","262","3.1421735","262","3.14174","262","3.14123775","262","3.141818","262","3.14071225","262","262"
"99","3.141063","261","3.141784","261","3.14172475","261","3.1411475","261","3.140492","261","3.14114","261","3.14124525","261","3.14205325","261","3.1410945","261","3.1408865","261","3.141537","261","3.1416585","261","3.1413595","261","262"
"100","3.14134325","252","3.14180225","252","3.1414525","252","3.1418555","252","3.14186225","252","3.142076","252","3.14184275","252","3.14150775","252","3.141801","252","3.1412005","252","3.141207","252","3.14184175","252","3.14181525","252","253"
