"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Total Runtime (ms)"
"1","3.14201375","148","3.14231625","148","3.1415725","148","3.1417385","148","3.14252125","148","3.1414705","148","3.1416575","148","158"
"2","3.1414055","139","3.14193675","139","3.14176875","139","3.1415875","139","3.1415295","139","3.14141075","139","3.142168","139","140"
"3","3.141478","158","3.14164375","158","3.14193225","158","3.14219275","158","3.141617","158","3.141646","158","3.142087","158","158"
"4","3.1417865","149","3.141319","149","3.141322","149","3.1417425","149","3.141652","149","3.14195925","149","3.14159975","149","149"
"5","3.1415365","152","3.1412595","152","3.14199075","152","3.14185225","152","3.14142725","152","3.1423855","152","3.14134525","152","152"
"6","3.1414785","142","3.1416895","142","3.14165375","142","3.142099","142","3.141992","142","3.14174425","142","3.1418505","142","143"
"7","3.142828","153","3.14152825","153","3.14220775","153","3.1417375","153","3.141503","153","3.14192275","153","3.14084225","153","153"
"8","3.14184725","139","3.14115725","139","3.14238275","139","3.1420555","139","3.14180825","139","3.14196175","139","3.14133125","139","139"
"9","3.141587","155","3.1415035","155","3.14165425","155","3.141117","155","3.1422155","155","3.14149525","155","3.141695","155","155"
"10","3.14152425","159","3.14168325","159","3.1420095","159","3.14102625","159","3.1415485","159","3.14125","159","3.14185525","159","159"
"11","3.14164025","141","3.14137175","141","3.1416345","141","3.14180825","141","3.1419825","141","3.1415005","141","3.1419685","141","141"
"12","3.1415575","148","3.14146125","148","3.1412835","148","3.14143825","148","3.141899","148","3.14131925","148","3.14115775","148","148"
"13","3.140973","144","3.14132225","144","3.14182975","144","3.14197225","144","3.14121075","144","3.14184975","144","3.1413455","144","144"
"14","3.140604","164","3.14169125","164","3.1417385","164","3.141613","164","3.141247","164","3.14089425","164","3.14116925","164","164"
"15","3.1412395","139","3.14120475","139","3.141009","139","3.14171575","139","3.1415745","139","3.1418005","139","3.1415825","139","139"
"16","3.141843","145","3.14184375","145","3.1417815","145","3.1420625","145","3.141129","145","3.14152775","145","3.1414695","145","145"
"17","3.141348","148","3.14120725","148","3.1415565","148","3.14130075","148","3.14121475","148","3.14122975","148","3.141294","148","148"
"18","3.14164075","135","3.14170375","135","3.14154125","135","3.14100075","135","3.14227875","135","3.14135575","135","3.141739","135","135"
"19","3.1415705","147","3.14247725","147","3.14134","147","3.14176475","147","3.1415405","147","3.141329","147","3.14196","147","147"
"20","3.142423","140","3.14108175","140","3.14148725","140","3.14203475","140","3.141488","140","3.1414075","140","3.1408925","140","140"
"21","3.1415025","147","3.141722","147","3.1422775","147","3.1415185","147","3.141039","147","3.1413695","147","3.14209375","147","147"
"22","3.141288","148","3.1424445","148","3.14161525","148","3.14068375","148","3.1416185","148","3.14068475","148","3.14232925","148","149"
"23","3.141742","148","3.142062","148","3.141496","148","3.141459","148","3.14156525","148","3.1416945","148","3.141042","148","148"
"24","3.14166975","154","3.1420035","154","3.14210875","154","3.141281","154","3.1412415","154","3.14197075","154","3.1416345","154","154"
"25","3.1415785","140","3.14140375","140","3.1412695","140","3.1414295","140","3.14164725","140","3.1407275","140","3.1415035","140","140"
"26","3.14153","143","3.1417745","143","3.14087275","143","3.142061","143","3.14139125","143","3.14185075","143","3.14139725","143","143"
"27","3.14137375","140","3.14140275","140","3.14188425","140","3.1414205","140","3.14219275","140","3.14173","140","3.1409175","140","140"
"28","3.1422025","154","3.1415885","154","3.14154325","154","3.141671","154","3.14152825","154","3.1416615","154","3.14124025","154","154"
"29","3.1415505","139","3.1416605","139","3.14129725","139","3.14147225","139","3.1411575","139","3.142081","139","3.14167225","139","139"
"30","3.14133875","152","3.141123","152","3.14180775","152","3.141812","152","3.14130375","152","3.14074475","152","3.1416925","152","152"
"31","3.141116","140","3.14215125","140","3.1414195","140","3.1411835","140","3.14166975","140","3.14141725","140","3.14112075","140","141"
"32","3.141557","157","3.14191475","157","3.141706","157","3.141106","157","3.141704","157","3.14212675","157","3.14207525","157","157"
"33","3.14199075","138","3.141924","138","3.1421175","138","3.14201775","138","3.1420415","138","3.14148525","138","3.14152625","138","138"
"34","3.141163","138","3.1407375","138","3.14139325","138","3.14235475","138","3.14111","138","3.14113375","138","3.14084775","138","138"
"35","3.14151725","138","3.14114","138","3.14139925","138","3.14145325","138","3.14175925","138","3.14150075","138","3.14148675","138","140"
"36","3.1418745","139","3.14202175","139","3.14135525","139","3.1419465","139","3.14198675","139","3.141998","139","3.142174","139","139"
"37","3.14133725","147","3.1419645","147","3.141471","147","3.14146025","147","3.14140925","147","3.14163525","147","3.14132675","147","152"
"38","3.14071","140","3.1410095","140","3.14169275","140","3.14113825","140","3.14181225","140","3.14115975","140","3.14168125","140","140"
"39","3.1415705","147","3.14186775","147","3.14161575","147","3.142041","147","3.141567","147","3.14160325","147","3.14157525","147","147"
"40","3.1418725","141","3.14205275","141","3.14121475","141","3.140246","141","3.1411915","141","3.14126275","141","3.140992","141","141"
"41","3.1408405","153","3.141497","153","3.14136425","153","3.14165075","153","3.14084475","153","3.14142625","153","3.141731","153","153"
"42","3.14156025","142","3.14074325","142","3.1413645","142","3.14224","142","3.1419495","142","3.142397","142","3.14106575","142","142"
"43","3.14178325","143","3.141866","143","3.14067625","143","3.1409375","143","3.1411675","143","3.141411","143","3.1415535","143","143"
"44","3.14198025","150","3.141821","150","3.141682","150","3.14181975","150","3.142159","150","3.1413945","150","3.14137275","150","150"
"45","3.14158175","142","3.141047","142","3.14100375","142","3.14172275","142","3.1412835","142","3.1415055","142","3.14155225","142","142"
"46","3.14122275","149","3.14076225","149","3.14109975","149","3.14154125","149","3.14282025","149","3.14148","149","3.141689","149","149"
"47","3.14108925","140","3.1415135","140","3.141564","140","3.14163325","140","3.14163625","140","3.141677","140","3.14083425","140","140"
"48","3.14139325","146","3.14172025","146","3.14228","146","3.141896","146","3.141347","146","3.14207775","146","3.14123075","146","146"
"49","3.14153375","140","3.140989","140","3.14100075","140","3.14111525","140","3.14172125","140","3.141561","140","3.14140225","140","140"
"50","3.1415875","153","3.14176125","153","3.141014","153","3.141656","153","3.14162675","153","3.1420855","153","3.14221275","153","153"
"51","3.14125075","140","3.14183025","140","3.1418185","140","3.1423785","140","3.14174075","140","3.141949","140","3.14131725","140","140"
"52","3.14123125","140","3.14174875","140","3.1416035","140","3.14163025","140","3.141313","140","3.14129775","140","3.14164725","140","141"
"53","3.14206925","147","3.141979","147","3.1421135","147","3.14124575","147","3.14155775","147","3.14225475","147","3.14167525","147","147"
"54","3.14153375","142","3.1420405","142","3.14144675","142","3.14181875","142","3.14173775","142","3.142039","142","3.14149225","142","142"
"55","3.1414075","152","3.1418845","152","3.14161175","152","3.14179275","152","3.14118875","152","3.1418005","152","3.14137525","152","152"
"56","3.141469","143","3.1408445","143","3.14177725","143","3.14120775","143","3.140711","143","3.1417165","143","3.14205475","143","143"
"57","3.1417185","146","3.14179175","146","3.1420515","146","3.1411555","146","3.141576","146","3.141093","146","3.1416695","146","146"
"58","3.1413215","146","3.14135975","146","3.1422","146","3.14116975","146","3.141742","146","3.141977","146","3.14080825","146","146"
"59","3.14167125","149","3.14085075","149","3.14176425","149","3.14192775","149","3.14199375","149","3.1413505","149","3.14198925","149","149"
"60","3.1408405","141","3.14241025","141","3.14170575","141","3.1418365","141","3.14182525","141","3.1413745","141","3.14171325","141","141"
"61","3.141288","145","3.14112975","145","3.141633","145","3.14159625","145","3.14165575","145","3.1417235","145","3.14122625","145","145"
"62","3.141186","156","3.140864","156","3.14169625","156","3.14134725","156","3.1418575","156","3.141396","156","3.14144925","156","156"
"63","3.14175125","139","3.14147175","139","3.1410015","139","3.14034475","139","3.14203925","139","3.141066","139","3.14138275","139","139"
"64","3.14218425","149","3.14140725","149","3.14106125","149","3.141391","149","3.14119675","149","3.142426","149","3.141754","149","149"
"65","3.14164125","141","3.1410925","141","3.14086375","141","3.14140425","141","3.141915","141","3.14152825","141","3.14136525","141","141"
"66","3.1416555","146","3.140741","146","3.1419325","146","3.1412835","146","3.14174125","146","3.140976","146","3.14120375","146","146"
"67","3.14139825","142","3.1417465","142","3.14192025","142","3.1411995","142","3.14158975","142","3.1417845","142","3.14225225","142","142"
"68","3.1408015","159","3.14130525","159","3.14195225","159","3.1420615","159","3.1417035","159","3.14122975","159","3.14166775","159","159"
